state_ut,district,year,infanticid,other_murder,rape,kidnapping_and_abduction,foeticide,abetment_of_suicide,exposure_and_abandonment,procuration_of_minor_girls,buying_of_girls_for_prostitution,selling_of_girls_for_prostitution,prohibition_of_child_marriage_act,other_crimes,total
West Bengal,SILIGURI_PC,2013,0,0,0,46,0,0,0,0,0,0,2,0,48
West Bengal,UTTAR DINAJPUR,2013,0,5,14,18,0,0,0,31,0,9,6,0,83
West Bengal,TOTAL,2013,0,68,377,1388,3,5,1,486,1,69,43,89,2530
A&N Islands,CAR,2013,0,0,0,0,0,0,0,0,0,0,0,1,1
A&N Islands,NORTH,2013,0,0,4,5,0,0,0,0,0,0,0,6,15
A&N Islands,SOUTH,2013,0,0,17,7,1,0,2,0,0,0,0,11,38
A&N Islands,TOTAL,2013,0,0,21,12,1,0,2,0,0,0,0,18,54
Chandigarh,CHANDIGARH,2013,0,2,19,164,0,0,2,0,0,0,0,26,213
Chandigarh,TOTAL,2013,0,2,19,164,0,0,2,0,0,0,0,26,213
D&N Haveli,D&N HAVELI,2013,0,0,4,10,0,0,0,0,0,0,0,0,14
D&N Haveli,TOTAL,2013,0,0,4,10,0,0,0,0,0,0,0,0,14
Daman & Diu,DAMAN,2013,0,1,4,8,0,0,0,0,0,0,0,1,14
Daman & Diu,DIU,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,TOTAL,2013,0,1,4,8,0,0,0,0,0,0,0,1,14
Delhi UT,CAW,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,CENTRAL,2013,0,2,39,197,1,0,3,0,0,0,0,57,299
Delhi UT,CRIME BRANCH,2013,0,0,2,1,0,0,0,0,0,0,0,1,4
Delhi UT,EAST,2013,0,3,83,674,0,0,9,0,0,0,0,3,772
Delhi UT,EOW,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,GRP(RLY),2013,0,1,4,17,0,0,9,0,0,0,0,1,32
Delhi UT,IGI AIRPORT,2013,0,0,0,1,0,0,0,0,0,0,0,0,1
Delhi UT,METRO RAIL,2013,0,0,0,7,0,0,1,0,0,0,0,1,9
Delhi UT,NEW DELHI,2013,0,0,10,63,0,0,1,0,0,0,0,15,89
Delhi UT,NORTH,2013,0,1,17,251,0,0,3,0,0,0,0,13,285
Delhi UT,NORTH-EAST,2013,0,5,91,845,0,0,10,0,0,0,0,29,980
Delhi UT,NORTH-WEST,2013,0,0,78,569,0,0,1,0,0,0,0,32,680
Delhi UT,OUTER,2013,1,7,93,873,0,0,5,0,0,0,0,59,1038
Delhi UT,SOUTH,2013,0,2,34,482,0,0,6,0,0,0,0,65,589
Delhi UT,SOUTH-EAST,2013,0,5,120,655,1,0,2,0,0,0,0,25,808
Delhi UT,SOUTH-WEST,2013,1,1,94,503,1,0,3,0,0,0,1,86,690
Delhi UT,STF,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,WEST,2013,0,6,92,671,0,1,3,0,0,0,0,150,923
Delhi UT,TOTAL,2013,2,33,757,5809,3,1,56,0,0,0,1,537,7199
Lakshadweep,LAKSHADWEEP,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,TOTAL,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,KARAIKAL,2013,0,0,4,0,0,0,0,0,0,0,0,0,4
Puducherry,PUDUCHERRY,2013,0,0,5,34,0,0,1,0,0,0,1,2,43
Puducherry,TOTAL,2013,0,0,9,34,0,0,1,0,0,0,1,2,47
