states_uts,district,year,rape,custodial_rape,custodial_gang_rape,custodial_other_rape,rape_other_than_custodial,rape_gang_rape,rape_others,attempt_to_commit_rape,kidnapping_abduction_total,kidnaping_abduction,kidnaping_abduction_in_order_to_murder,kidnapping_for_ransom,kidnapping_abduction_of_women_to_compel_her_for_marriage,kidnaping_abduction_others,dowry_deaths,assault_on_women_with_intent_to_outrage_her_modesty_total,sexual_harassment,assault_on_women_with_intent_to_disrobe,voyeurism,stalking,others,insult_to_the_modesty_of_women_total,at_office_premises,in_places_related_to_work,in_public_transport_system,in_other_places,cruelty_by_husband_or_his_relatives,importation_of_girls_from_foreign_country,murder,attempt_to_commit_murder,culpable_homicide_not_amounting_to_murder,attempt_to_commit_culpable_homicide,grievous_hurt,hurt,acid_attack,attempt_to_acid_attack,deaths_caused_with_intent_to_cause_miscarriage,causing_miscarriage_without_consent_of_women,dacoity_total,dacoity_with_murder,other_dacoity,robbery,arson,humantrafficking,abetment_of_suicides_of_women,unnatural_offences,other_ipc_crimes,dowry_prohibition_act_1961,indecent_representation_of_women_p_act_1986,commission_of_sati_prevention_act_1987,protection_of_women_from_domestic_violence_act_2005,immoral_traffic_prevention_act,itp_under_section_5,itp_under_section_6,itp_under_section_7,itp_under_section_8,itp_under_other_sections,other_sll_crimes_against_women,total_crimes_against_women
Arunachal Pradesh,Lohit,2014,7,0,0,0,7,0,7,0,25,0,0,0,0,25,0,13,0,0,0,0,13,0,0,0,0,0,1,0,2,1,0,0,4,4,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,53
Arunachal Pradesh,Longding,2014,3,3,0,3,0,0,0,0,4,0,0,0,4,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,10
Arunachal Pradesh,Lower Dibang Valley,2014,3,0,0,0,3,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,5
Arunachal Pradesh,Papum Pare City,2014,32,0,0,0,32,2,30,2,36,22,0,1,1,12,1,26,1,0,0,0,25,0,0,0,0,0,21,0,2,1,0,0,3,3,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,124
Arunachal Pradesh,Papum Pare Rural,2014,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,9
Arunachal Pradesh,Siang East,2014,11,0,0,0,11,1,10,3,2,0,0,0,0,2,0,21,8,0,0,0,13,0,0,0,0,0,4,0,2,0,0,0,2,2,0,0,false,0,0,0,0,0,1,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,46
Arunachal Pradesh,Siang Upper,2014,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,3
Arunachal Pradesh,Siang West,2014,6,0,0,0,6,0,6,3,1,0,1,0,0,0,0,11,0,0,0,0,11,3,0,0,0,3,8,0,3,1,0,0,5,5,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,41
Arunachal Pradesh,Subansiri Lower,2014,1,0,0,0,1,1,0,0,2,0,0,0,0,2,0,6,0,0,0,0,6,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,13
Arunachal Pradesh,Subansiri Upper,2014,5,0,0,0,5,0,5,1,2,0,0,0,2,0,0,16,0,0,0,0,16,0,0,0,0,0,3,0,1,0,0,0,2,2,0,0,false,0,0,0,0,1,1,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,32
