area_name,year,group_name,sub_group_name,persons_acquitted,persons_against_whom_cases_compounded_or_withdrawn,persons_arrested,persons_chargesheeted,persons_convicted,persons_in_custody_or_on_bail_during_investigation_at_year_beginning,persons_in_custody_or_on_bail_during_investigation_at_year_end,persons_in_custody_or_on_bail_during_trial_at_year_end,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_trial_completed,persons_under_trial_at_year_beginning,total_persons_under_trial
Kerala,2001,Rape,01. Rape,136,6,712,673,33,546,572,2919,13,169,2421,3094
Lakshadweep,2001,Rape,01. Rape,0,0,0,1,0,1,0,1,0,0,0,1
Madhya Pradesh,2001,Rape,01. Rape,2285,9,3212,3199,720,132,140,8829,5,3005,8644,11843
Maharashtra,2001,Rape,01. Rape,1085,17,1886,1915,155,323,265,14394,29,1240,13736,15651
Manipur,2001,Rape,01. Rape,1,0,17,4,0,22,15,64,20,1,61,65
Meghalaya,2001,Rape,01. Rape,13,0,29,26,0,63,57,270,9,13,257,283
Mizoram,2001,Rape,01. Rape,12,0,64,69,44,52,47,98,0,56,85,154
Nagaland,2001,Rape,01. Rape,0,3,28,13,6,19,34,55,0,6,51,64
Odisha,2001,Rape,01. Rape,417,0,887,885,96,45,44,3029,3,513,2657,3542
Puducherry,2001,Rape,01. Rape,0,0,13,12,0,3,4,20,0,0,8,20
Punjab,2001,Rape,01. Rape,240,4,459,418,133,138,163,538,16,373,497,915
Rajasthan,2001,Rape,01. Rape,1055,10,1147,1146,402,41,42,5012,0,1457,5333,6479
Sikkim,2001,Rape,01. Rape,5,0,6,5,2,1,2,3,0,7,5,10
Tamil Nadu,2001,Rape,01. Rape,267,10,565,534,130,313,320,1693,24,397,1566,2100
Tripura,2001,Rape,01. Rape,59,0,139,80,17,31,40,78,50,76,74,154
Uttar Pradesh,2001,Rape,01. Rape,939,25,2685,2525,1032,236,281,9460,115,1971,8931,11456
Uttarakhand,2001,Rape,01. Rape,46,2,82,79,36,8,9,336,2,82,341,420
West Bengal,2001,Rape,01. Rape,706,0,1027,830,54,762,815,5943,144,760,5873,6703
Andaman & Nicobar Islands,2002,Rape,01. Rape,2,0,6,12,1,6,0,54,0,3,45,57
Andhra Pradesh,2002,Rape,01. Rape,856,15,1340,1322,175,545,512,2467,51,1031,2191,3513
Arunachal Pradesh,2002,Rape,01. Rape,5,0,61,29,0,30,42,371,20,5,347,376
Assam,2002,Rape,01. Rape,342,20,1019,720,99,959,1078,2590,180,441,2331,3051
Bihar,2002,Rape,01. Rape,604,0,1304,1126,157,576,425,6328,329,761,5963,7089
Chandigarh,2002,Rape,01. Rape,6,0,28,20,1,0,4,72,4,7,59,79
Chhattisgarh,2002,Rape,01. Rape,1415,68,1214,1230,674,43,20,3997,7,2089,4924,6154
Dadra & Nagar Haveli,2002,Rape,01. Rape,17,0,3,3,2,1,1,16,0,19,32,35
Daman & Diu,2002,Rape,01. Rape,0,0,0,0,0,0,0,1,0,0,1,1
Delhi,2002,Rape,01. Rape,479,0,546,453,112,159,234,2459,18,591,2597,3050
Goa,2002,Rape,01. Rape,6,0,12,13,8,7,6,54,0,14,55,68
Gujarat,2002,Rape,01. Rape,268,25,378,371,30,31,38,3259,0,298,3211,3582
Haryana,2002,Rape,01. Rape,465,6,511,535,125,35,10,959,1,590,1020,1555
Himachal Pradesh,2002,Rape,01. Rape,145,1,204,176,25,51,63,680,16,170,675,851
Jammu & Kashmir,2002,Rape,01. Rape,190,2,203,202,11,0,0,908,1,201,909,1111
Jharkhand,2002,Rape,01. Rape,969,12,873,1052,180,601,390,2238,32,1149,2347,3399
Karnataka,2002,Rape,01. Rape,361,1,357,338,42,94,97,1543,16,403,1609,1947
Kerala,2002,Rape,01. Rape,227,7,600,567,29,572,601,3223,4,256,2919,3486
Lakshadweep,2002,Rape,01. Rape,0,0,2,0,1,0,2,0,0,1,1,1
Madhya Pradesh,2002,Rape,01. Rape,2742,18,3926,3978,979,140,88,9068,0,3721,8829,12807
Maharashtra,2002,Rape,01. Rape,1468,17,1871,1821,210,265,310,14520,5,1678,14394,16215
Manipur,2002,Rape,01. Rape,0,0,18,7,0,15,22,71,4,0,64,71
Meghalaya,2002,Rape,01. Rape,2,1,45,32,0,57,62,299,8,2,270,302
Mizoram,2002,Rape,01. Rape,4,0,83,98,41,40,25,129,0,45,76,174
Nagaland,2002,Rape,01. Rape,0,0,20,18,14,34,33,59,3,14,55,73
Odisha,2002,Rape,01. Rape,469,0,820,827,133,44,36,3254,1,602,3029,3856
Puducherry,2002,Rape,01. Rape,1,0,8,5,2,4,7,22,0,3,20,25
Punjab,2002,Rape,01. Rape,319,8,538,460,143,163,198,528,43,462,538,998
Rajasthan,2002,Rape,01. Rape,1191,13,937,964,409,42,13,4363,2,1600,5012,5976
Sikkim,2002,Rape,01. Rape,2,0,2,2,1,2,2,2,0,3,3,5
Tamil Nadu,2002,Rape,01. Rape,524,12,695,642,151,320,356,1648,17,675,1693,2335
Tripura,2002,Rape,01. Rape,88,1,141,97,26,40,47,60,37,114,78,175
Uttar Pradesh,2002,Rape,01. Rape,1202,24,2050,2093,1142,281,97,9185,141,2344,9460,11553
Uttarakhand,2002,Rape,01. Rape,42,0,142,116,58,9,24,352,11,100,336,452
West Bengal,2002,Rape,01. Rape,491,0,1279,1137,79,815,868,6510,89,570,5943,7080
Andaman & Nicobar Islands,2003,Rape,01. Rape,3,0,6,1,3,0,5,49,0,6,54,55
Andhra Pradesh,2003,Rape,01. Rape,881,6,1237,1198,156,512,534,2622,17,1037,2467,3665
Arunachal Pradesh,2003,Rape,01. Rape,0,0,35,26,0,42,35,397,16,0,371,397
Assam,2003,Rape,01. Rape,438,29,1188,882,117,1078,1130,2888,254,555,2590,3472
Bihar,2003,Rape,01. Rape,870,0,1120,913,197,425,452,6174,180,1067,6328,7241
Chandigarh,2003,Rape,01. Rape,17,0,32,32,10,4,2,77,2,27,72,104
Chhattisgarh,2003,Rape,01. Rape,662,16,1020,1006,313,27,40,4168,1,975,4153,5159
Dadra & Nagar Haveli,2003,Rape,01. Rape,2,0,1,0,3,1,1,15,1,5,20,20
Daman & Diu,2003,Rape,01. Rape,0,0,6,3,0,0,3,4,0,0,1,4
Delhi,2003,Rape,01. Rape,429,0,624,596,147,234,253,2479,9,576,2459,3055
Goa,2003,Rape,01. Rape,22,1,36,18,8,6,23,41,1,30,54,72
Gujarat,2003,Rape,01. Rape,282,4,356,362,31,38,32,3304,0,313,3259,3621
Haryana,2003,Rape,01. Rape,510,0,523,519,139,10,14,829,0,649,959,1478
Himachal Pradesh,2003,Rape,01. Rape,141,0,146,157,33,63,43,663,9,174,680,837
Jammu & Kashmir,2003,Rape,01. Rape,103,4,266,265,14,0,1,1052,0,117,908,1173
Jharkhand,2003,Rape,01. Rape,354,29,759,721,189,390,407,2387,21,543,2238,2959
Karnataka,2003,Rape,01. Rape,389,1,410,349,41,97,131,1461,27,430,1543,1892
Kerala,2003,Rape,01. Rape,264,2,517,520,71,601,583,3406,15,335,3223,3743
Lakshadweep,2003,Rape,01. Rape,0,0,2,2,0,2,2,2,0,0,0,2
Madhya Pradesh,2003,Rape,01. Rape,2767,65,3694,3665,780,78,107,10366,0,3547,10313,13978
Maharashtra,2003,Rape,01. Rape,1367,33,1856,1804,261,310,350,14663,12,1628,14520,16324
Manipur,2003,Rape,01. Rape,1,0,19,4,3,22,27,71,10,4,71,75
Meghalaya,2003,Rape,01. Rape,3,0,50,18,2,62,88,312,6,5,299,317
Mizoram,2003,Rape,01. Rape,9,0,70,54,112,25,41,60,0,121,127,181
Nagaland,2003,Rape,01. Rape,1,0,14,13,12,33,32,59,2,13,59,72
Odisha,2003,Rape,01. Rape,561,0,839,819,152,36,56,3360,0,713,3254,4073
Puducherry,2003,Rape,01. Rape,0,0,1,3,1,7,5,24,0,1,22,25
Punjab,2003,Rape,01. Rape,334,12,574,481,158,198,256,505,35,492,528,1009
Rajasthan,2003,Rape,01. Rape,965,17,928,931,378,13,10,3934,0,1343,4363,5294
Sikkim,2003,Rape,01. Rape,0,0,7,3,1,2,6,4,0,1,2,5
Tamil Nadu,2003,Rape,01. Rape,419,5,661,617,128,358,393,1692,9,547,1627,2244
Tripura,2003,Rape,01. Rape,43,0,135,100,25,47,56,92,26,68,60,160
Uttar Pradesh,2003,Rape,01. Rape,981,8,1211,1121,969,97,153,8348,34,1950,9185,10306
Uttarakhand,2003,Rape,01. Rape,63,0,154,123,71,24,29,341,26,134,352,475
West Bengal,2003,Rape,01. Rape,575,0,1497,1198,120,868,1107,7013,60,695,6510,7708
Andaman & Nicobar Islands,2004,Rape,01. Rape,4,0,11,11,0,5,5,56,0,4,49,60
Andhra Pradesh,2004,Rape,01. Rape,1036,19,1443,1293,211,534,651,2649,33,1247,2622,3915
Arunachal Pradesh,2004,Rape,01. Rape,2,0,56,42,6,35,28,431,21,8,397,439
Assam,2004,Rape,01. Rape,478,50,1233,893,138,1130,1245,3115,225,616,2888,3781
Bihar,2004,Rape,01. Rape,1037,0,1157,868,139,452,559,5866,182,1176,6174,7042
Chandigarh,2004,Rape,01. Rape,23,0,27,20,1,2,1,73,8,24,77,97
Chhattisgarh,2004,Rape,01. Rape,630,501,1144,1156,329,40,16,3864,12,959,4168,5324
Dadra & Nagar Haveli,2004,Rape,01. Rape,12,0,12,9,0,1,4,12,0,12,15,24
Daman & Diu,2004,Rape,01. Rape,0,0,2,5,0,3,0,9,0,0,4,9
Delhi,2004,Rape,01. Rape,510,0,737,684,105,253,297,2548,9,615,2479,3163
Goa,2004,Rape,01. Rape,10,1,48,41,7,23,23,64,7,17,41,82
Gujarat,2004,Rape,01. Rape,335,1,481,487,50,32,26,3405,0,385,3304,3791
Haryana,2004,Rape,01. Rape,355,0,573,569,157,14,18,886,0,512,829,1398
Himachal Pradesh,2004,Rape,01. Rape,136,0,187,174,28,43,53,673,3,164,663,837
Jammu & Kashmir,2004,Rape,01. Rape,143,4,271,269,14,1,3,1160,0,157,1052,1321
Jharkhand,2004,Rape,01. Rape,354,29,759,721,189,407,424,2536,21,543,2387,3108
Karnataka,2004,Rape,01. Rape,378,10,397,359,87,131,122,1345,47,465,1461,1820
Kerala,2004,Rape,01. Rape,344,18,562,537,85,583,530,3496,78,429,3406,3943
Lakshadweep,2004,Rape,01. Rape,0,0,0,2,2,2,0,2,0,2,2,4
Madhya Pradesh,2004,Rape,01. Rape,2763,44,4181,4235,889,107,48,10905,5,3652,10366,14601
Maharashtra,2004,Rape,01. Rape,1481,23,1914,1812,290,350,430,14681,22,1771,14663,16475
Manipur,2004,Rape,01. Rape,5,1,29,2,0,27,39,67,15,5,71,73
Meghalaya,2004,Rape,01. Rape,2,0,57,26,3,88,112,333,7,5,312,338
Mizoram,2004,Rape,01. Rape,1,1,15,10,2,41,44,66,2,3,60,70
Nagaland,2004,Rape,01. Rape,9,0,20,41,35,32,11,56,0,44,59,100
Odisha,2004,Rape,01. Rape,599,0,906,896,165,56,66,3492,0,764,3360,4256
Puducherry,2004,Rape,01. Rape,2,0,6,4,2,5,7,24,0,4,24,28
Punjab,2004,Rape,01. Rape,299,24,563,536,167,256,260,551,23,466,505,1041
Rajasthan,2004,Rape,01. Rape,806,22,995,997,335,10,7,3768,1,1141,3934,4931
Sikkim,2004,Rape,01. Rape,2,0,3,2,2,6,6,2,1,4,4,6
Tamil Nadu,2004,Rape,01. Rape,471,8,681,727,127,393,323,1813,24,598,1692,2419
Tripura,2004,Rape,01. Rape,56,0,190,130,24,56,57,142,59,80,92,222
Uttar Pradesh,2004,Rape,01. Rape,988,3,1942,1788,1130,153,196,8015,111,2118,8348,10136
Uttarakhand,2004,Rape,01. Rape,42,0,226,185,49,29,41,435,29,91,341,526
West Bengal,2004,Rape,01. Rape,805,0,1661,1566,179,1107,1147,7595,55,984,7013,8579
Andaman & Nicobar Islands,2005,Rape,01. Rape,7,0,8,8,2,5,5,55,0,9,56,64
Andhra Pradesh,2005,Rape,01. Rape,1030,14,1415,1348,197,651,644,2756,74,1227,2649,3997
Arunachal Pradesh,2005,Rape,01. Rape,4,0,38,32,19,28,23,440,11,23,431,463
Assam,2005,Rape,01. Rape,507,40,1406,995,167,1245,1380,3396,276,674,3115,4110
Bihar,2005,Rape,01. Rape,1017,2,1455,1113,207,559,739,5753,162,1224,5866,6979
Chandigarh,2005,Rape,01. Rape,20,0,43,26,7,1,13,72,5,27,73,99
Chhattisgarh,2005,Rape,01. Rape,591,147,1107,1086,493,16,34,3719,3,1084,3864,4950
Dadra & Nagar Haveli,2005,Rape,01. Rape,9,0,6,8,0,4,2,11,0,9,12,20
Daman & Diu,2005,Rape,01. Rape,4,0,1,0,0,0,1,5,0,4,9,9
Delhi,2005,Rape,01. Rape,1362,0,856,848,228,297,289,1806,16,1590,2548,3396
Goa,2005,Rape,01. Rape,19,1,34,33,7,23,22,70,2,26,64,97
Gujarat,2005,Rape,01. Rape,313,0,501,475,47,26,52,3520,0,360,3405,3880
Haryana,2005,Rape,01. Rape,405,0,627,617,147,18,28,951,0,552,886,1503
Himachal Pradesh,2005,Rape,01. Rape,202,2,176,190,30,53,28,629,11,232,673,863
Jammu & Kashmir,2005,Rape,01. Rape,220,0,248,237,5,3,5,1172,9,225,1160,1397
Jharkhand,2005,Rape,01. Rape,1380,51,732,262,155,424,589,1212,305,1535,2536,2798
Karnataka,2005,Rape,01. Rape,446,0,381,424,119,122,74,1204,5,565,1345,1769
Kerala,2005,Rape,01. Rape,361,4,506,520,55,530,514,3596,2,416,3496,4016
Lakshadweep,2005,Rape,01. Rape,0,0,0,0,0,0,0,2,0,0,2,2
Madhya Pradesh,2005,Rape,01. Rape,2710,253,3900,3895,888,48,52,10949,1,3598,10905,14800
Maharashtra,2005,Rape,01. Rape,1590,14,2227,2111,208,430,520,14980,26,1798,14681,16792
Manipur,2005,Rape,01. Rape,1,0,12,7,0,39,28,73,16,1,67,74
Meghalaya,2005,Rape,01. Rape,1,0,65,34,2,112,131,364,12,3,333,367
Mizoram,2005,Rape,01. Rape,2,0,36,28,72,44,52,20,0,74,66,94
Nagaland,2005,Rape,01. Rape,5,0,19,21,27,11,6,45,3,32,56,77
Odisha,2005,Rape,01. Rape,519,0,838,822,156,66,81,3639,1,675,3492,4314
Puducherry,2005,Rape,01. Rape,1,0,10,8,3,7,9,28,0,4,24,32
Punjab,2005,Rape,01. Rape,272,9,553,503,120,260,237,653,73,392,551,1054
Rajasthan,2005,Rape,01. Rape,870,30,1110,1109,320,7,8,3657,0,1190,3768,4877
Sikkim,2005,Rape,01. Rape,0,0,8,13,3,6,1,12,0,3,2,15
Tamil Nadu,2005,Rape,01. Rape,608,3,744,732,212,323,314,1722,21,820,1813,2545
Tripura,2005,Rape,01. Rape,97,5,157,132,54,57,69,118,13,151,142,274
Uttar Pradesh,2005,Rape,01. Rape,948,21,1683,1666,980,196,159,7732,54,1928,8015,9681
Uttarakhand,2005,Rape,01. Rape,65,0,225,215,46,41,35,539,16,111,435,650
West Bengal,2005,Rape,01. Rape,703,0,2085,1997,100,1147,1137,8789,98,803,7595,9592
Andaman & Nicobar Islands,2006,Rape,01. Rape,2,0,7,10,1,5,2,62,0,3,55,65
Andhra Pradesh,2006,Rape,01. Rape,936,21,1360,1252,226,644,685,2825,67,1162,2756,4008
Arunachal Pradesh,2006,Rape,01. Rape,1,1,40,29,3,23,27,464,7,4,440,469
Assam,2006,Rape,01. Rape,517,23,1290,941,203,1380,1315,3594,414,720,3396,4337
Bihar,2006,Rape,01. Rape,1117,0,1451,1111,232,739,998,5515,81,1349,5753,6864
Chandigarh,2006,Rape,01. Rape,10,0,27,31,11,13,7,82,2,21,72,103
Chhattisgarh,2006,Rape,01. Rape,637,32,1211,1208,276,34,37,3982,0,913,3719,4927
Dadra & Nagar Haveli,2006,Rape,01. Rape,6,0,5,3,2,2,4,6,0,8,11,14
Daman & Diu,2006,Rape,01. Rape,2,0,2,3,3,1,0,3,0,5,5,8
Delhi,2006,Rape,01. Rape,403,0,778,647,209,289,397,1841,23,612,1806,2453
Goa,2006,Rape,01. Rape,8,0,20,20,0,22,15,82,7,8,70,90
Gujarat,2006,Rape,01. Rape,225,6,539,551,69,52,40,3771,0,294,3520,4071
Haryana,2006,Rape,01. Rape,363,0,772,749,153,28,51,1184,0,516,951,1700
Himachal Pradesh,2006,Rape,01. Rape,105,1,131,121,39,28,33,605,5,144,629,750
Jammu & Kashmir,2006,Rape,01. Rape,162,5,301,301,15,5,1,1291,4,177,1172,1473
Jharkhand,2006,Rape,01. Rape,741,51,943,1119,207,589,390,1332,23,948,1212,2331
Karnataka,2006,Rape,01. Rape,452,3,475,435,55,74,104,1129,10,507,1204,1639
Kerala,2006,Rape,01. Rape,395,1,666,594,80,514,585,3714,1,475,3596,4190
Lakshadweep,2006,Rape,01. Rape,0,0,0,0,0,0,0,2,0,0,2,2
Madhya Pradesh,2006,Rape,01. Rape,2917,27,3878,3858,1139,52,69,10724,3,4056,10949,14807
Maharashtra,2006,Rape,01. Rape,1358,14,2162,2049,222,520,619,15435,14,1580,14980,17029
Manipur,2006,Rape,01. Rape,1,0,20,2,0,28,39,74,7,1,73,75
Meghalaya,2006,Rape,01. Rape,11,1,71,41,2,131,147,391,14,13,364,405
Mizoram,2006,Rape,01. Rape,6,0,77,73,74,52,56,13,0,80,20,93
Nagaland,2006,Rape,01. Rape,2,1,29,24,10,6,11,56,0,12,45,69
Odisha,2006,Rape,01. Rape,489,0,1020,995,186,81,103,3959,3,675,3639,4634
Puducherry,2006,Rape,01. Rape,1,0,9,7,4,9,11,30,0,5,28,35
Punjab,2006,Rape,01. Rape,300,0,618,578,129,237,251,802,26,429,653,1231
Rajasthan,2006,Rape,01. Rape,761,11,1085,1083,377,8,10,3591,0,1138,3657,4740
Sikkim,2006,Rape,01. Rape,1,0,17,14,1,1,4,24,0,2,12,26
Tamil Nadu,2006,Rape,01. Rape,426,1,573,546,146,314,337,1695,4,572,1722,2268
Tripura,2006,Rape,01. Rape,67,0,167,145,20,69,40,176,51,87,118,263
Uttar Pradesh,2006,Rape,01. Rape,940,14,1770,1701,999,159,163,7480,65,1939,7732,9433
Uttarakhand,2006,Rape,01. Rape,129,1,233,215,57,35,25,567,28,186,539,754
West Bengal,2006,Rape,01. Rape,861,0,2045,1774,160,1137,1223,9542,185,1021,8789,10563
Andaman & Nicobar Islands,2007,Rape,01. Rape,4,0,3,3,1,2,2,60,0,5,62,65
Andhra Pradesh,2007,Rape,01. Rape,1086,5,1436,1467,199,685,637,3002,17,1285,2825,4292
Arunachal Pradesh,2007,Rape,01. Rape,3,0,57,37,7,27,24,491,23,10,464,501
Assam,2007,Rape,01. Rape,610,22,1477,965,180,1315,1495,3747,332,790,3594,4559
Bihar,2007,Rape,01. Rape,982,1,1816,1446,212,998,1148,5766,220,1194,5515,6961
Chandigarh,2007,Rape,01. Rape,12,0,24,25,14,7,6,81,0,26,82,107
Chhattisgarh,2007,Rape,01. Rape,612,51,1146,1126,238,37,54,4207,3,850,3982,5108
Dadra & Nagar Haveli,2007,Rape,01. Rape,2,0,5,6,0,4,3,10,0,2,6,12
Daman & Diu,2007,Rape,01. Rape,1,0,4,4,0,0,0,6,0,1,3,7
Delhi,2007,Rape,01. Rape,411,0,731,657,227,397,453,1860,18,638,1841,2498
Goa,2007,Rape,01. Rape,7,0,25,16,1,15,24,90,0,8,82,98
Gujarat,2007,Rape,01. Rape,251,5,503,479,59,40,60,3935,4,310,3771,4250
Haryana,2007,Rape,01. Rape,415,0,607,616,180,51,42,1205,0,595,1184,1800
Himachal Pradesh,2007,Rape,01. Rape,102,4,197,156,19,33,67,636,7,121,605,761
Jammu & Kashmir,2007,Rape,01. Rape,184,0,331,318,7,1,4,1418,10,191,1291,1609
Jharkhand,2007,Rape,01. Rape,700,8,886,832,206,390,407,1250,37,906,1332,2164
Karnataka,2007,Rape,01. Rape,276,0,518,514,59,104,98,1308,10,335,1129,1643
Kerala,2007,Rape,01. Rape,596,5,555,655,88,585,485,3680,0,684,3714,4369
Lakshadweep,2007,Rape,01. Rape,0,0,1,1,0,0,0,3,0,0,2,3
Madhya Pradesh,2007,Rape,01. Rape,2595,5,4131,4132,1133,69,68,11123,0,3728,10724,14856
Maharashtra,2007,Rape,01. Rape,1112,13,2097,2026,178,619,677,16158,13,1290,15435,17461
Manipur,2007,Rape,01. Rape,4,1,12,2,0,39,35,71,14,4,74,76
Meghalaya,2007,Rape,01. Rape,10,0,76,34,17,147,166,398,23,27,391,425
Mizoram,2007,Rape,01. Rape,4,0,87,95,32,56,48,72,0,36,13,108
Nagaland,2007,Rape,01. Rape,2,3,15,15,31,11,11,35,0,33,56,71
Odisha,2007,Rape,01. Rape,528,0,1026,1000,181,103,123,4250,6,709,3959,4959
Puducherry,2007,Rape,01. Rape,3,0,14,12,8,11,13,31,0,11,30,42
Punjab,2007,Rape,01. Rape,351,2,709,518,121,251,385,846,57,472,802,1320
Rajasthan,2007,Rape,01. Rape,593,15,1201,1205,300,10,6,3888,0,893,3591,4796
Sikkim,2007,Rape,01. Rape,3,0,30,21,0,4,7,42,6,3,24,45
Tamil Nadu,2007,Rape,01. Rape,467,14,615,591,131,337,351,1674,10,598,1695,2286
Tripura,2007,Rape,01. Rape,130,1,165,161,56,40,36,150,8,186,176,337
Uttar Pradesh,2007,Rape,01. Rape,923,9,2283,1980,962,163,146,7566,320,1885,7480,9460
Uttarakhand,2007,Rape,01. Rape,100,0,171,156,75,25,13,548,27,175,567,723
West Bengal,2007,Rape,01. Rape,1104,20,2409,2433,100,1223,1057,10751,142,1204,9542,11975
Andaman & Nicobar Islands,2008,Rape,01. Rape,6,0,13,2,0,2,13,56,0,6,60,62
Andhra Pradesh,2008,Rape,01. Rape,1317,3,1531,1526,244,637,610,2964,32,1561,3002,4528
Arunachal Pradesh,2008,Rape,01. Rape,1,0,37,28,2,24,13,516,20,3,491,519
Assam,2008,Rape,01. Rape,635,42,1445,967,201,1495,1559,3836,414,836,3747,4714
Bihar,2008,Rape,01. Rape,918,4,1464,1323,221,1148,1200,5946,89,1139,5766,7089
Chandigarh,2008,Rape,01. Rape,12,0,27,26,7,6,7,88,0,19,81,107
Chhattisgarh,2008,Rape,01. Rape,619,39,1108,1059,207,54,103,4401,0,826,4207,5266
Dadra & Nagar Haveli,2008,Rape,01. Rape,6,0,8,8,0,3,3,12,0,6,10,18
Daman & Diu,2008,Rape,01. Rape,2,0,0,0,0,0,0,4,0,2,6,6
Delhi,2008,Rape,01. Rape,324,0,573,702,155,453,307,2083,17,479,1860,2562
Goa,2008,Rape,01. Rape,20,0,41,20,6,24,45,84,0,26,90,110
Gujarat,2008,Rape,01. Rape,248,3,529,535,75,60,53,4144,1,323,3935,4470
Haryana,2008,Rape,01. Rape,529,0,849,801,175,42,90,1302,0,704,1205,2006
Himachal Pradesh,2008,Rape,01. Rape,129,2,182,176,48,67,72,633,1,177,636,812
Jammu & Kashmir,2008,Rape,01. Rape,194,5,234,236,17,4,2,1438,0,211,1418,1654
Jharkhand,2008,Rape,01. Rape,451,44,802,761,152,407,427,1364,21,603,1250,2011
Karnataka,2008,Rape,01. Rape,353,11,642,581,53,98,142,1472,17,406,1308,1889
Kerala,2008,Rape,01. Rape,325,1,623,557,45,485,544,3866,7,370,3680,4237
Lakshadweep,2008,Rape,01. Rape,0,0,1,1,1,0,0,3,0,1,3,4
Madhya Pradesh,2008,Rape,01. Rape,2888,13,3875,3847,1357,68,96,10712,0,4245,11123,14970
Maharashtra,2008,Rape,01. Rape,1221,13,2206,2056,219,677,796,16761,31,1440,16158,18214
Manipur,2008,Rape,01. Rape,0,0,19,6,0,35,34,77,14,0,71,77
Meghalaya,2008,Rape,01. Rape,20,1,82,57,11,166,185,423,6,31,398,455
Mizoram,2008,Rape,01. Rape,10,0,94,81,92,48,61,51,0,102,72,153
Nagaland,2008,Rape,01. Rape,3,2,27,20,15,11,9,35,9,18,35,55
Odisha,2008,Rape,01. Rape,667,0,1045,1065,212,123,103,4436,0,879,4250,5315
Puducherry,2008,Rape,01. Rape,2,0,8,9,0,13,12,38,0,2,31,40
Punjab,2008,Rape,01. Rape,410,4,663,589,224,385,402,797,57,634,846,1435
Rajasthan,2008,Rape,01. Rape,623,16,1211,1205,273,6,12,4181,0,896,3888,5093
Sikkim,2008,Rape,01. Rape,2,0,24,20,5,7,10,55,1,7,42,62
Tamil Nadu,2008,Rape,01. Rape,472,1,740,583,113,351,495,1671,13,585,1674,2257
Tripura,2008,Rape,01. Rape,84,0,210,173,21,36,24,218,49,105,150,323
Uttar Pradesh,2008,Rape,01. Rape,1181,4,2825,2199,1157,146,192,7423,580,2338,7566,9765
Uttarakhand,2008,Rape,01. Rape,105,0,108,106,81,13,14,468,1,186,548,654
West Bengal,2008,Rape,01. Rape,1351,29,1790,1664,148,1057,1099,10887,84,1499,10751,12415
Andaman & Nicobar Islands,2009,Rape,01. Rape,2,0,36,27,1,13,22,80,0,3,56,83
Andhra Pradesh,2009,Rape,01. Rape,1278,2,1487,1302,182,610,775,2804,20,1460,2964,4266
Arunachal Pradesh,2009,Rape,01. Rape,2,0,60,51,3,13,16,562,6,5,516,567
Assam,2009,Rape,01. Rape,408,32,1644,1040,235,1559,1701,4201,462,643,3836,4876
Bihar,2009,Rape,01. Rape,1031,0,1086,1043,237,1200,1144,5721,99,1268,5946,6989
Chandigarh,2009,Rape,01. Rape,19,0,38,25,26,7,19,68,1,45,88,113
Chhattisgarh,2009,Rape,01. Rape,577,45,1128,1117,243,103,109,4653,5,820,4401,5518
Dadra & Nagar Haveli,2009,Rape,01. Rape,1,0,5,5,1,3,3,15,0,2,12,17
