states_uts,district,year,protection_of_civil_rights_act_1955,poa_murder,poa_attempt_to_commit_murder,poa_rape,poa_attempt_to_commit_rape,poa_assault_on_women_with_intent_to_outrage_her_modesty,poa_sexual_harassment,poa_assault_on_women_with_intent_to_disrobe,poa_voyeurism,poa_stalking,poa_other_sexual_harassment,poa_insult_to_the_modesty_of_women,poa_kidnapping_abduction_grandtotal,poa_kidnaping_abduction_total,poa_kidnaping_abduction_in_order_to_murder,poa_kidnapping_for_ransom,poa_kidnapping_abduction_of_women_to_compel_her_for_marriage,poa_other_kidnapping,poa_dacoity,poa_dacoity_with_murder,poa_other_dacoity,poa_robbery,poa_arson,poa_grievous_hurt,poa_hurt,poa_acid_attack,poa_attempt_to_acid_attack,poa_riots,poa_other_ipc_crimes,poa_sc_st_prevention_of_atrocities_act_only,total_of_sc_st_prevention_of_atrocities_act_1989,ipc_murder,ipc_attempt_to_commit_murder,ipc_rape,ipc_attempt_to_commit_rape,ipc_assault_on_women_with_intent_to_outrage_her_modesty,ipc_sexual_harassment,ipc_assault_on_women_with_intent_to_disrobe,ipc_voyeurism,ipc_stalking,ipc_other_sexual_harassment,ipc_insult_to_the_modesty_of_women,ipc_kidnapping_abduction,ipc_kidnaping_abduction,ipc_kidnaping_abduction_in_order_to_murder,ipc_kidnapping_for_ransom,ipc_kidnapping_abduction_of_women_to_compel_her_for_marriage,ipc_other_kidnapping,ipc_dacoity,ipc_dacoity_with_murder,ipc_other_dacoity,ipc_robbery,ipc_arson,ipc_grievous_hurt,ipc_hurt,ipc_acid_attack,ipc_attempt_to_acid_attack,ipc_riots,ipc_other_ipc_crimes,total_ipc_crimes_against_scs,manual_scavengers_and_construction_of_dry_latrines_p_act_1993,other_sll_crime_against_scs,total_crimes_against_scs
Uttar Pradesh,Gautambudh Nagar,2014,0,4,0,7,0,0,0,0,0,0,0,0,2,0,0,false,2,0,0,false,0,0,0,3,3,false,0,0,31,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,47
Uttar Pradesh,Ghaziabad,2014,0,8,0,4,0,8,4,1,0,3,0,0,9,2,1,false,6,0,0,false,0,2,0,1,1,false,0,0,49,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,81
Uttar Pradesh,Ghazipur,2014,0,3,0,3,0,0,0,0,0,0,0,0,6,0,0,false,6,0,0,false,0,0,1,3,3,false,0,0,43,40,99,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,99
Uttar Pradesh,Gonda,2014,0,2,0,6,0,0,0,0,0,0,0,0,1,0,0,false,1,0,0,false,0,0,2,3,3,false,0,0,0,84,98,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,98
Uttar Pradesh,Gorakhpur,2014,0,12,0,10,0,0,0,0,0,0,0,0,15,0,0,false,15,0,0,false,0,0,0,3,3,false,0,0,0,157,197,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,197
Uttar Pradesh,Hamirpur,2014,0,2,0,3,0,0,0,0,0,0,0,0,7,0,0,false,7,0,0,false,0,0,1,5,5,false,0,0,29,26,73,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,73
Uttar Pradesh,Hapur,2014,0,3,2,2,1,3,1,0,0,1,1,0,2,2,0,false,0,0,0,false,0,0,0,2,2,false,0,5,13,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,33
Uttar Pradesh,Hardoi,2014,0,1,3,7,2,20,2,0,0,1,17,0,2,0,1,false,1,0,0,false,0,0,1,17,17,false,0,24,53,51,181,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,181
Uttar Pradesh,Hathras,2014,0,1,1,5,2,9,8,1,0,0,0,0,6,0,0,false,6,0,0,false,0,0,2,9,9,false,0,14,18,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,67
Uttar Pradesh,Jalaun,2014,0,2,0,3,0,0,0,0,0,0,0,0,2,0,0,false,0,2,0,false,0,0,0,2,2,false,0,0,52,20,81,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,81
