area_name,year,group_name,civilians_injured,civilians_killed,no_of_firings,policemen_injured,policemen_killed
Goa,2002,Anti Dacoity Operations,0,0,0,0,0
Gujarat,2002,Anti Dacoity Operations,2,0,1,0,0
Haryana,2002,Anti Dacoity Operations,2,1,2,3,0
Himachal Pradesh,2002,Anti Dacoity Operations,0,0,0,0,0
Jammu & Kashmir,2002,Anti Dacoity Operations,1,0,1,0,1
Jharkhand,2002,Anti Dacoity Operations,0,0,2,0,0
Karnataka,2002,Anti Dacoity Operations,1,0,2,0,0
Kerala,2002,Anti Dacoity Operations,0,0,0,0,0
Lakshadweep,2002,Anti Dacoity Operations,0,0,0,0,0
Madhya Pradesh,2002,Anti Dacoity Operations,1,46,40,13,0
Maharashtra,2002,Anti Dacoity Operations,1,2,6,9,0
Manipur,2002,Anti Dacoity Operations,0,0,0,0,0
Meghalaya,2002,Anti Dacoity Operations,0,0,0,0,0
Mizoram,2002,Anti Dacoity Operations,0,0,0,0,0
Nagaland,2002,Anti Dacoity Operations,0,0,0,0,0
Odisha,2002,Anti Dacoity Operations,0,0,0,0,0
Puducherry,2002,Anti Dacoity Operations,0,0,0,0,0
Punjab,2002,Anti Dacoity Operations,0,0,0,0,0
Rajasthan,2002,Anti Dacoity Operations,2,2,5,0,0
Sikkim,2002,Anti Dacoity Operations,0,0,0,0,0
Tamil Nadu,2002,Anti Dacoity Operations,0,0,0,0,0
Tripura,2002,Anti Dacoity Operations,19,0,0,0,0
Uttar Pradesh,2002,Anti Dacoity Operations,4,26,30,9,5
Uttarakhand,2002,Anti Dacoity Operations,0,2,2,0,0
West Bengal,2002,Anti Dacoity Operations,8,5,12,19,0
Andaman & Nicobar Islands,2003,Anti Dacoity Operations,0,0,0,0,0
Andhra Pradesh,2003,Anti Dacoity Operations,4,6,3,0,0
Arunachal Pradesh,2003,Anti Dacoity Operations,0,0,0,0,0
Assam,2003,Anti Dacoity Operations,0,1,1,0,0
Bihar,2003,Anti Dacoity Operations,0,3,7,2,0
Chandigarh,2003,Anti Dacoity Operations,0,0,0,0,0
Chhattisgarh,2003,Anti Dacoity Operations,0,0,0,0,0
Dadra & Nagar Haveli,2003,Anti Dacoity Operations,0,0,0,0,0
Daman & Diu,2003,Anti Dacoity Operations,0,0,0,0,0
Delhi,2003,Anti Dacoity Operations,0,0,0,0,0
Goa,2003,Anti Dacoity Operations,0,0,0,0,0
Gujarat,2003,Anti Dacoity Operations,0,2,1,0,0
Haryana,2003,Anti Dacoity Operations,0,0,0,0,0
Himachal Pradesh,2003,Anti Dacoity Operations,0,0,0,0,0
Jammu & Kashmir,2003,Anti Dacoity Operations,0,0,0,0,0
Jharkhand,2003,Anti Dacoity Operations,2,2,3,0,2
Karnataka,2003,Anti Dacoity Operations,0,0,0,0,0
Kerala,2003,Anti Dacoity Operations,0,0,0,0,0
Lakshadweep,2003,Anti Dacoity Operations,0,0,0,0,0
Madhya Pradesh,2003,Anti Dacoity Operations,0,14,15,1,2
Maharashtra,2003,Anti Dacoity Operations,0,0,5,2,0
Manipur,2003,Anti Dacoity Operations,0,0,0,0,0
Meghalaya,2003,Anti Dacoity Operations,0,0,0,0,0
Mizoram,2003,Anti Dacoity Operations,0,0,0,0,0
Nagaland,2003,Anti Dacoity Operations,0,0,0,0,0
Odisha,2003,Anti Dacoity Operations,0,0,1,0,0
Puducherry,2003,Anti Dacoity Operations,0,0,0,0,0
Punjab,2003,Anti Dacoity Operations,0,0,0,0,0
Rajasthan,2003,Anti Dacoity Operations,0,1,6,3,1
Sikkim,2003,Anti Dacoity Operations,0,0,0,0,0
Tamil Nadu,2003,Anti Dacoity Operations,0,0,0,0,0
Tripura,2003,Anti Dacoity Operations,0,0,0,0,0
Uttar Pradesh,2003,Anti Dacoity Operations,2,2,10,21,8
Uttarakhand,2003,Anti Dacoity Operations,1,9,6,1,0
West Bengal,2003,Anti Dacoity Operations,6,11,9,6,0
Andaman & Nicobar Islands,2004,Anti Dacoity Operations,0,0,0,0,0
Andhra Pradesh,2004,Anti Dacoity Operations,0,1,2,4,0
Arunachal Pradesh,2004,Anti Dacoity Operations,0,0,0,0,0
Assam,2004,Anti Dacoity Operations,0,0,0,0,0
Bihar,2004,Anti Dacoity Operations,0,6,3,4,0
Chandigarh,2004,Anti Dacoity Operations,0,0,0,0,0
Chhattisgarh,2004,Anti Dacoity Operations,0,0,0,0,0
Dadra & Nagar Haveli,2004,Anti Dacoity Operations,0,0,0,0,0
Daman & Diu,2004,Anti Dacoity Operations,0,0,0,0,0
Delhi,2004,Anti Dacoity Operations,0,0,0,0,0
Goa,2004,Anti Dacoity Operations,0,0,0,0,0
Gujarat,2004,Anti Dacoity Operations,0,1,3,0,1
Haryana,2004,Anti Dacoity Operations,0,0,0,0,0
Himachal Pradesh,2004,Anti Dacoity Operations,0,0,0,0,0
Jammu & Kashmir,2004,Anti Dacoity Operations,0,0,0,0,0
Jharkhand,2004,Anti Dacoity Operations,0,0,0,0,0
Karnataka,2004,Anti Dacoity Operations,0,0,0,0,0
Kerala,2004,Anti Dacoity Operations,0,0,0,0,0
Lakshadweep,2004,Anti Dacoity Operations,0,0,0,0,0
Madhya Pradesh,2004,Anti Dacoity Operations,0,13,20,4,2
Maharashtra,2004,Anti Dacoity Operations,8,3,6,6,0
Manipur,2004,Anti Dacoity Operations,0,0,0,0,0
Meghalaya,2004,Anti Dacoity Operations,0,1,1,0,0
Mizoram,2004,Anti Dacoity Operations,0,0,0,0,0
Nagaland,2004,Anti Dacoity Operations,0,0,0,0,0
Odisha,2004,Anti Dacoity Operations,0,0,0,0,0
Puducherry,2004,Anti Dacoity Operations,0,0,0,0,0
Punjab,2004,Anti Dacoity Operations,0,0,0,0,0
Rajasthan,2004,Anti Dacoity Operations,0,0,6,1,0
Sikkim,2004,Anti Dacoity Operations,0,0,0,0,0
Tamil Nadu,2004,Anti Dacoity Operations,0,0,0,0,0
Tripura,2004,Anti Dacoity Operations,0,1,2,0,1
Uttar Pradesh,2004,Anti Dacoity Operations,0,206,162,10,8
Uttarakhand,2004,Anti Dacoity Operations,0,5,4,0,0
West Bengal,2004,Anti Dacoity Operations,5,2,8,14,0
Andaman & Nicobar Islands,2005,Anti Dacoity Operations,0,0,0,0,0
Andhra Pradesh,2005,Anti Dacoity Operations,0,0,2,0,0
Arunachal Pradesh,2005,Anti Dacoity Operations,0,0,0,0,0
Assam,2005,Anti Dacoity Operations,0,0,0,0,0
Bihar,2005,Anti Dacoity Operations,1,11,5,0,0
Chandigarh,2005,Anti Dacoity Operations,0,0,0,0,0
Chhattisgarh,2005,Anti Dacoity Operations,0,0,0,0,0
Dadra & Nagar Haveli,2005,Anti Dacoity Operations,0,0,0,0,0
Daman & Diu,2005,Anti Dacoity Operations,0,0,0,0,0
Delhi,2005,Anti Dacoity Operations,0,0,2,0,0
Goa,2005,Anti Dacoity Operations,0,0,0,0,0
Gujarat,2005,Anti Dacoity Operations,0,1,1,0,0
Haryana,2005,Anti Dacoity Operations,1,6,4,1,0
Himachal Pradesh,2005,Anti Dacoity Operations,0,0,0,0,0
Jammu & Kashmir,2005,Anti Dacoity Operations,0,0,0,0,0
Jharkhand,2005,Anti Dacoity Operations,0,0,0,0,0
Karnataka,2005,Anti Dacoity Operations,0,0,0,0,0
Kerala,2005,Anti Dacoity Operations,0,0,0,0,0
Lakshadweep,2005,Anti Dacoity Operations,0,0,0,0,0
Madhya Pradesh,2005,Anti Dacoity Operations,0,16,21,1,0
Maharashtra,2005,Anti Dacoity Operations,3,2,5,1,0
Manipur,2005,Anti Dacoity Operations,0,0,0,0,0
Meghalaya,2005,Anti Dacoity Operations,1,8,8,0,0
Mizoram,2005,Anti Dacoity Operations,0,0,0,0,0
Nagaland,2005,Anti Dacoity Operations,0,0,0,0,0
Odisha,2005,Anti Dacoity Operations,0,0,0,0,0
Puducherry,2005,Anti Dacoity Operations,0,0,0,0,0
Punjab,2005,Anti Dacoity Operations,0,0,0,0,0
Rajasthan,2005,Anti Dacoity Operations,0,0,11,0,0
Sikkim,2005,Anti Dacoity Operations,0,0,0,0,0
Tamil Nadu,2005,Anti Dacoity Operations,0,2,5,7,0
Tripura,2005,Anti Dacoity Operations,0,0,0,0,0
Uttar Pradesh,2005,Anti Dacoity Operations,98,29,168,3,1
Uttarakhand,2005,Anti Dacoity Operations,0,0,0,0,0
West Bengal,2005,Anti Dacoity Operations,1,3,8,14,0
Andaman & Nicobar Islands,2006,Anti Dacoity Operations,0,0,0,0,0
Andhra Pradesh,2006,Anti Dacoity Operations,0,0,0,0,0
Arunachal Pradesh,2006,Anti Dacoity Operations,0,0,0,0,0
Assam,2006,Anti Dacoity Operations,2,0,1,0,6
Bihar,2006,Anti Dacoity Operations,0,2,1,0,0
Chandigarh,2006,Anti Dacoity Operations,0,0,0,0,0
Chhattisgarh,2006,Anti Dacoity Operations,0,0,0,0,0
Dadra & Nagar Haveli,2006,Anti Dacoity Operations,0,0,0,0,0
Daman & Diu,2006,Anti Dacoity Operations,0,0,0,0,0
Delhi,2006,Anti Dacoity Operations,0,0,0,0,0
Goa,2006,Anti Dacoity Operations,0,0,0,0,0
Gujarat,2006,Anti Dacoity Operations,0,0,1,1,0
Haryana,2006,Anti Dacoity Operations,0,0,0,0,0
Himachal Pradesh,2006,Anti Dacoity Operations,0,0,0,0,0
Jammu & Kashmir,2006,Anti Dacoity Operations,0,0,0,0,0
Jharkhand,2006,Anti Dacoity Operations,0,3,3,2,0
Karnataka,2006,Anti Dacoity Operations,0,0,9,0,0
Kerala,2006,Anti Dacoity Operations,0,0,0,0,0
Lakshadweep,2006,Anti Dacoity Operations,0,0,0,0,0
Madhya Pradesh,2006,Anti Dacoity Operations,0,6,29,0,0
Maharashtra,2006,Anti Dacoity Operations,2,3,5,0,0
Manipur,2006,Anti Dacoity Operations,0,0,0,0,0
Meghalaya,2006,Anti Dacoity Operations,0,0,0,0,0
Mizoram,2006,Anti Dacoity Operations,2,2,4,0,0
Nagaland,2006,Anti Dacoity Operations,0,0,0,0,0
Odisha,2006,Anti Dacoity Operations,1,0,1,0,0
Puducherry,2006,Anti Dacoity Operations,0,0,0,0,0
Punjab,2006,Anti Dacoity Operations,0,0,0,0,0
Rajasthan,2006,Anti Dacoity Operations,3,5,12,14,0
Sikkim,2006,Anti Dacoity Operations,0,0,0,0,0
Tamil Nadu,2006,Anti Dacoity Operations,0,0,0,0,0
Tripura,2006,Anti Dacoity Operations,0,0,0,0,0
Uttar Pradesh,2006,Anti Dacoity Operations,129,92,509,33,2
Uttarakhand,2006,Anti Dacoity Operations,0,7,6,2,0
West Bengal,2006,Anti Dacoity Operations,6,2,3,8,0
Andaman & Nicobar Islands,2007,Anti Dacoity Operations,0,0,0,0,0
Andhra Pradesh,2007,Anti Dacoity Operations,0,0,1,0,1
Arunachal Pradesh,2007,Anti Dacoity Operations,0,0,0,0,0
Assam,2007,Anti Dacoity Operations,0,0,0,0,0
Bihar,2007,Anti Dacoity Operations,0,0,0,0,0
Chandigarh,2007,Anti Dacoity Operations,0,0,0,0,0
Chhattisgarh,2007,Anti Dacoity Operations,0,0,0,0,0
Dadra & Nagar Haveli,2007,Anti Dacoity Operations,0,0,0,0,0
Daman & Diu,2007,Anti Dacoity Operations,0,0,0,0,0
Delhi,2007,Anti Dacoity Operations,0,0,0,0,0
Goa,2007,Anti Dacoity Operations,0,0,0,0,0
Gujarat,2007,Anti Dacoity Operations,0,1,1,0,0
Haryana,2007,Anti Dacoity Operations,0,0,0,0,0
Himachal Pradesh,2007,Anti Dacoity Operations,0,0,0,0,0
Jammu & Kashmir,2007,Anti Dacoity Operations,0,0,0,0,0
Jharkhand,2007,Anti Dacoity Operations,0,0,0,0,0
Karnataka,2007,Anti Dacoity Operations,0,0,0,0,0
Kerala,2007,Anti Dacoity Operations,0,0,0,0,0
Lakshadweep,2007,Anti Dacoity Operations,0,0,0,0,0
Madhya Pradesh,2007,Anti Dacoity Operations,0,4,27,0,0
Maharashtra,2007,Anti Dacoity Operations,0,6,10,2,0
Manipur,2007,Anti Dacoity Operations,0,0,0,0,0
Meghalaya,2007,Anti Dacoity Operations,0,0,0,0,0
Mizoram,2007,Anti Dacoity Operations,0,0,0,0,0
Nagaland,2007,Anti Dacoity Operations,0,0,0,0,0
Odisha,2007,Anti Dacoity Operations,0,0,0,0,0
Puducherry,2007,Anti Dacoity Operations,0,0,0,0,0
Punjab,2007,Anti Dacoity Operations,0,0,0,0,0
Rajasthan,2007,Anti Dacoity Operations,0,2,10,0,0
Sikkim,2007,Anti Dacoity Operations,0,0,0,0,0
Tamil Nadu,2007,Anti Dacoity Operations,0,0,0,0,0
Tripura,2007,Anti Dacoity Operations,0,0,0,0,0
Uttar Pradesh,2007,Anti Dacoity Operations,140,77,284,5,11
Uttarakhand,2007,Anti Dacoity Operations,0,0,0,0,0
West Bengal,2007,Anti Dacoity Operations,0,0,1,0,0
Andaman & Nicobar Islands,2008,Anti Dacoity Operations,0,0,0,0,0
Andhra Pradesh,2008,Anti Dacoity Operations,0,0,0,0,0
Arunachal Pradesh,2008,Anti Dacoity Operations,0,0,0,0,0
Assam,2008,Anti Dacoity Operations,1,1,2,1,0
Bihar,2008,Anti Dacoity Operations,0,0,0,3,0
Chandigarh,2008,Anti Dacoity Operations,0,0,0,0,0
Chhattisgarh,2008,Anti Dacoity Operations,0,0,0,0,0
Dadra & Nagar Haveli,2008,Anti Dacoity Operations,0,0,0,0,0
Daman & Diu,2008,Anti Dacoity Operations,0,0,0,0,0
Delhi,2008,Anti Dacoity Operations,0,0,0,1,0
Goa,2008,Anti Dacoity Operations,0,0,0,0,0
Gujarat,2008,Anti Dacoity Operations,0,0,0,0,0
Haryana,2008,Anti Dacoity Operations,0,1,1,0,1
Himachal Pradesh,2008,Anti Dacoity Operations,0,0,0,0,0
Jammu & Kashmir,2008,Anti Dacoity Operations,0,0,2,4,0
Jharkhand,2008,Anti Dacoity Operations,0,0,0,0,0
Karnataka,2008,Anti Dacoity Operations,0,1,1,1,1
Kerala,2008,Anti Dacoity Operations,0,0,0,0,0
Lakshadweep,2008,Anti Dacoity Operations,0,0,0,0,0
Madhya Pradesh,2008,Anti Dacoity Operations,0,1,2,0,0
Maharashtra,2008,Anti Dacoity Operations,0,1,10,2,0
Manipur,2008,Anti Dacoity Operations,0,0,0,0,0
Meghalaya,2008,Anti Dacoity Operations,0,1,1,0,0
Mizoram,2008,Anti Dacoity Operations,0,0,0,0,0
Nagaland,2008,Anti Dacoity Operations,0,0,0,0,0
Odisha,2008,Anti Dacoity Operations,4,0,1,0,0
Puducherry,2008,Anti Dacoity Operations,0,0,0,0,0
Punjab,2008,Anti Dacoity Operations,22,0,1,2,0
Rajasthan,2008,Anti Dacoity Operations,1,5,24,1,2
Sikkim,2008,Anti Dacoity Operations,0,0,0,0,0
Tamil Nadu,2008,Anti Dacoity Operations,0,0,0,0,0
Tripura,2008,Anti Dacoity Operations,0,0,0,0,0
Uttar Pradesh,2008,Anti Dacoity Operations,81,72,199,13,1
Uttarakhand,2008,Anti Dacoity Operations,0,0,0,0,0
West Bengal,2008,Anti Dacoity Operations,0,2,3,3,0
Andaman & Nicobar Islands,2009,Anti Dacoity Operations,0,0,0,0,0
Andhra Pradesh,2009,Anti Dacoity Operations,1,0,2,0,0
Arunachal Pradesh,2009,Anti Dacoity Operations,0,0,0,0,0
Assam,2009,Anti Dacoity Operations,0,1,1,0,0
Bihar,2009,Anti Dacoity Operations,0,2,2,0,0
Chandigarh,2009,Anti Dacoity Operations,0,0,0,0,0
Chhattisgarh,2009,Anti Dacoity Operations,0,0,0,0,0
Dadra & Nagar Haveli,2009,Anti Dacoity Operations,0,0,0,0,0
Daman & Diu,2009,Anti Dacoity Operations,0,0,0,0,0
Delhi,2009,Anti Dacoity Operations,0,0,0,5,0
Goa,2009,Anti Dacoity Operations,0,0,0,0,0
Gujarat,2009,Anti Dacoity Operations,0,0,2,1,0
Haryana,2009,Anti Dacoity Operations,0,2,1,0,0
Himachal Pradesh,2009,Anti Dacoity Operations,0,0,0,0,0
Jammu & Kashmir,2009,Anti Dacoity Operations,0,0,0,0,0
Jharkhand,2009,Anti Dacoity Operations,0,0,0,0,0
Karnataka,2009,Anti Dacoity Operations,1,0,1,0,0
Kerala,2009,Anti Dacoity Operations,0,0,0,0,0
Lakshadweep,2009,Anti Dacoity Operations,0,0,0,0,0
Madhya Pradesh,2009,Anti Dacoity Operations,0,16,22,7,0
Maharashtra,2009,Anti Dacoity Operations,1,0,2,2,0
Manipur,2009,Anti Dacoity Operations,0,0,0,0,0
Meghalaya,2009,Anti Dacoity Operations,0,0,0,0,0
Mizoram,2009,Anti Dacoity Operations,0,0,0,0,0
Nagaland,2009,Anti Dacoity Operations,0,0,0,0,0
Odisha,2009,Anti Dacoity Operations,0,0,5,10,0
Puducherry,2009,Anti Dacoity Operations,0,0,0,0,0
Punjab,2009,Anti Dacoity Operations,0,0,0,0,0
Rajasthan,2009,Anti Dacoity Operations,0,0,11,0,0
Sikkim,2009,Anti Dacoity Operations,0,0,0,0,0
Tamil Nadu,2009,Anti Dacoity Operations,2,0,1,0,0
Tripura,2009,Anti Dacoity Operations,0,0,0,0,0
Uttar Pradesh,2009,Anti Dacoity Operations,32,33,104,2,6
Uttarakhand,2009,Anti Dacoity Operations,0,0,0,0,0
West Bengal,2009,Anti Dacoity Operations,0,3,2,0,0
Andaman & Nicobar Islands,2010,Anti Dacoity Operations,0,0,0,0,0
Andhra Pradesh,2010,Anti Dacoity Operations,0,1,1,0,0
Arunachal Pradesh,2010,Anti Dacoity Operations,0,0,0,0,0
Assam,2010,Anti Dacoity Operations,0,0,0,0,0
Bihar,2010,Anti Dacoity Operations,0,0,0,0,0
Chandigarh,2010,Anti Dacoity Operations,0,0,0,0,0
Chhattisgarh,2010,Anti Dacoity Operations,0,0,0,0,0
Dadra & Nagar Haveli,2010,Anti Dacoity Operations,0,0,0,0,0
Daman & Diu,2010,Anti Dacoity Operations,0,0,0,0,0
Delhi,2010,Anti Dacoity Operations,0,0,0,0,0
Goa,2010,Anti Dacoity Operations,0,0,0,0,0
Gujarat,2010,Anti Dacoity Operations,0,0,1,0,0
Haryana,2010,Anti Dacoity Operations,0,0,0,0,0
Himachal Pradesh,2010,Anti Dacoity Operations,0,0,0,0,0
Jammu & Kashmir,2010,Anti Dacoity Operations,0,0,0,0,0
Jharkhand,2010,Anti Dacoity Operations,0,0,0,0,0
Karnataka,2010,Anti Dacoity Operations,0,0,0,0,0
Kerala,2010,Anti Dacoity Operations,0,0,0,0,0
Lakshadweep,2010,Anti Dacoity Operations,0,0,0,0,0
Madhya Pradesh,2010,Anti Dacoity Operations,0,5,3,0,1
Maharashtra,2010,Anti Dacoity Operations,1,1,3,3,0
Manipur,2010,Anti Dacoity Operations,0,0,0,0,0
Meghalaya,2010,Anti Dacoity Operations,0,0,0,0,0
Mizoram,2010,Anti Dacoity Operations,0,0,0,0,0
Nagaland,2010,Anti Dacoity Operations,0,0,0,0,0
Odisha,2010,Anti Dacoity Operations,0,1,1,1,0
Puducherry,2010,Anti Dacoity Operations,0,0,0,0,0
Punjab,2010,Anti Dacoity Operations,0,0,0,0,0
Rajasthan,2010,Anti Dacoity Operations,0,3,8,1,0
Sikkim,2010,Anti Dacoity Operations,0,0,0,0,0
Tamil Nadu,2010,Anti Dacoity Operations,0,0,0,0,0
Tripura,2010,Anti Dacoity Operations,0,0,0,0,0
Uttar Pradesh,2010,Anti Dacoity Operations,2,25,76,10,0
Uttarakhand,2010,Anti Dacoity Operations,0,0,0,0,0
West Bengal,2010,Anti Dacoity Operations,3,1,1,0,0
Andaman & Nicobar Islands,2001,Riot Control,0,0,0,0,0
Andhra Pradesh,2001,Riot Control,18,2,27,97,3
Arunachal Pradesh,2001,Riot Control,0,0,2,3,0
Assam,2001,Riot Control,5,1,2,13,0
Bihar,2001,Riot Control,19,11,6,14,1
Chandigarh,2001,Riot Control,0,0,0,0,0
Chhattisgarh,2001,Riot Control,40,0,2,29,0
Dadra & Nagar Haveli,2001,Riot Control,0,0,0,0,0
Daman & Diu,2001,Riot Control,0,0,0,0,0
Delhi,2001,Riot Control,4,0,5,104,0
Goa,2001,Riot Control,0,0,0,0,0
Gujarat,2001,Riot Control,9,1,13,1,0
Haryana,2001,Riot Control,23,0,1,21,0
Himachal Pradesh,2001,Riot Control,0,0,0,0,0
Jammu & Kashmir,2001,Riot Control,11,3,22,103,0
Jharkhand,2001,Riot Control,0,0,0,0,0
Karnataka,2001,Riot Control,60,1,25,57,0
Kerala,2001,Riot Control,0,1,12,11,0
Lakshadweep,2001,Riot Control,0,0,0,0,0
Madhya Pradesh,2001,Riot Control,2,5,7,15,0
Maharashtra,2001,Riot Control,59,14,37,50,0
Manipur,2001,Riot Control,57,15,34,0,0
Meghalaya,2001,Riot Control,0,0,0,0,0
Mizoram,2001,Riot Control,0,0,0,0,0
Nagaland,2001,Riot Control,0,0,0,0,0
Odisha,2001,Riot Control,3,0,2,14,0
Puducherry,2001,Riot Control,0,0,5,5,0
Punjab,2001,Riot Control,0,0,0,0,0
Rajasthan,2001,Riot Control,47,0,12,172,0
Sikkim,2001,Riot Control,0,0,0,0,0
Tamil Nadu,2001,Riot Control,5,10,18,42,0
Tripura,2001,Riot Control,0,0,0,0,0
Uttar Pradesh,2001,Riot Control,15,6,22,69,0
Uttarakhand,2001,Riot Control,5,1,1,5,0
West Bengal,2001,Riot Control,16,3,47,175,0
Andaman & Nicobar Islands,2002,Riot Control,0,0,0,0,0
Andhra Pradesh,2002,Riot Control,8,0,13,30,0
Arunachal Pradesh,2002,Riot Control,5,0,2,2,0
Assam,2002,Riot Control,26,3,19,6,0
Bihar,2002,Riot Control,1,5,16,5,0
Chandigarh,2002,Riot Control,0,0,0,0,0
Chhattisgarh,2002,Riot Control,2,0,1,15,0
Dadra & Nagar Haveli,2002,Riot Control,0,0,0,0,0
Daman & Diu,2002,Riot Control,0,0,0,0,0
Delhi,2002,Riot Control,11,0,2,23,0
Goa,2002,Riot Control,0,0,0,0,0
Gujarat,2002,Riot Control,330,206,1192,180,0
Haryana,2002,Riot Control,20,4,4,40,0
Himachal Pradesh,2002,Riot Control,0,0,0,0,0
Jammu & Kashmir,2002,Riot Control,16,0,9,38,0
Jharkhand,2002,Riot Control,2,0,1,3,0
Karnataka,2002,Riot Control,16,6,9,217,0
Kerala,2002,Riot Control,37,0,2,126,0
Lakshadweep,2002,Riot Control,0,0,0,0,0
Madhya Pradesh,2002,Riot Control,15,0,3,14,0
Maharashtra,2002,Riot Control,36,14,42,112,0
Manipur,2002,Riot Control,0,0,0,0,0
Meghalaya,2002,Riot Control,0,0,0,0,0
Mizoram,2002,Riot Control,0,0,0,0,0
Nagaland,2002,Riot Control,0,0,0,0,0
Odisha,2002,Riot Control,10,0,2,11,0
Puducherry,2002,Riot Control,0,0,2,0,0
Punjab,2002,Riot Control,0,0,0,0,0
Rajasthan,2002,Riot Control,33,5,7,176,0
Sikkim,2002,Riot Control,0,0,0,0,0
Tamil Nadu,2002,Riot Control,0,0,3,5,0
Tripura,2002,Riot Control,20,2,1,0,0
Uttar Pradesh,2002,Riot Control,4,0,3,31,6
Uttarakhand,2002,Riot Control,0,0,0,0,0
West Bengal,2002,Riot Control,30,7,24,103,0
Andaman & Nicobar Islands,2003,Riot Control,0,0,0,0,0
Andhra Pradesh,2003,Riot Control,61,4,104,37,0
Arunachal Pradesh,2003,Riot Control,0,0,0,0,0
Assam,2003,Riot Control,10,2,5,3,0
Bihar,2003,Riot Control,4,0,6,0,0
Chandigarh,2003,Riot Control,0,0,1,0,0
Chhattisgarh,2003,Riot Control,0,0,0,0,0
Dadra & Nagar Haveli,2003,Riot Control,0,0,0,0,0
Daman & Diu,2003,Riot Control,5,1,1,9,0
Delhi,2003,Riot Control,0,0,3,5,0
Goa,2003,Riot Control,0,0,0,0,0
Gujarat,2003,Riot Control,11,7,36,33,1
Haryana,2003,Riot Control,0,3,15,12,0
Himachal Pradesh,2003,Riot Control,0,0,0,0,0
Jammu & Kashmir,2003,Riot Control,0,0,4,0,0
Jharkhand,2003,Riot Control,0,0,0,0,0
Karnataka,2003,Riot Control,0,1,8,108,0
Kerala,2003,Riot Control,161,1,9,270,1
Lakshadweep,2003,Riot Control,0,0,0,0,0
Madhya Pradesh,2003,Riot Control,40,2,2,41,0
Maharashtra,2003,Riot Control,34,0,17,72,0
Manipur,2003,Riot Control,0,0,0,0,0
Meghalaya,2003,Riot Control,0,0,0,0,0
Mizoram,2003,Riot Control,0,0,0,0,0
Nagaland,2003,Riot Control,0,0,0,0,0
Odisha,2003,Riot Control,10,2,2,24,0
Puducherry,2003,Riot Control,0,0,1,0,0
Punjab,2003,Riot Control,0,0,0,0,0
Rajasthan,2003,Riot Control,17,1,4,21,0
Sikkim,2003,Riot Control,0,0,0,0,0
Tamil Nadu,2003,Riot Control,0,0,1,1,0
Tripura,2003,Riot Control,3,2,4,0,0
Uttar Pradesh,2003,Riot Control,0,0,2,39,4
Uttarakhand,2003,Riot Control,0,0,0,0,0
West Bengal,2003,Riot Control,19,11,23,104,0
Andaman & Nicobar Islands,2004,Riot Control,0,0,0,0,0
Andhra Pradesh,2004,Riot Control,1,3,18,31,0
Arunachal Pradesh,2004,Riot Control,0,0,0,0,0
Assam,2004,Riot Control,3,5,2,2,0
Bihar,2004,Riot Control,0,1,1,0,0
Chandigarh,2004,Riot Control,0,0,0,0,0
Chhattisgarh,2004,Riot Control,0,0,31,31,0
Dadra & Nagar Haveli,2004,Riot Control,0,0,0,0,0
Daman & Diu,2004,Riot Control,0,0,0,0,0
Delhi,2004,Riot Control,2,0,1,1,0
Goa,2004,Riot Control,0,0,0,0,0
Gujarat,2004,Riot Control,2,3,14,29,0
Haryana,2004,Riot Control,0,0,0,0,0
Himachal Pradesh,2004,Riot Control,0,0,0,0,0
Jammu & Kashmir,2004,Riot Control,1,1,8,16,0
Jharkhand,2004,Riot Control,0,0,0,0,0
Karnataka,2004,Riot Control,2,0,3,7,0
Kerala,2004,Riot Control,12,0,2,5,0
Lakshadweep,2004,Riot Control,0,0,0,0,0
Madhya Pradesh,2004,Riot Control,0,0,1,0,0
Maharashtra,2004,Riot Control,6,0,8,27,0
Manipur,2004,Riot Control,1,3,4,1,0
Meghalaya,2004,Riot Control,0,0,0,0,0
Mizoram,2004,Riot Control,0,0,0,0,0
Nagaland,2004,Riot Control,0,0,0,0,0
Odisha,2004,Riot Control,3,0,3,0,0
Puducherry,2004,Riot Control,1,0,3,0,0
Punjab,2004,Riot Control,22,1,1,12,0
Rajasthan,2004,Riot Control,47,5,6,63,0
Sikkim,2004,Riot Control,0,0,0,0,0
Tamil Nadu,2004,Riot Control,0,0,4,12,0
Tripura,2004,Riot Control,0,1,1,1,1
Uttar Pradesh,2004,Riot Control,3,3,6,64,0
Uttarakhand,2004,Riot Control,1,0,1,9,0
West Bengal,2004,Riot Control,21,0,22,61,0
Andaman & Nicobar Islands,2005,Riot Control,0,0,0,0,0
Andhra Pradesh,2005,Riot Control,0,1,5,1,0
Arunachal Pradesh,2005,Riot Control,1,0,1,15,0
Assam,2005,Riot Control,1,0,4,3,0
Bihar,2005,Riot Control,2,3,1,0,0
Chandigarh,2005,Riot Control,0,0,0,0,0
Chhattisgarh,2005,Riot Control,0,0,0,0,0
Dadra & Nagar Haveli,2005,Riot Control,0,0,0,0,0
Daman & Diu,2005,Riot Control,0,0,0,0,0
Delhi,2005,Riot Control,0,0,0,0,0
Goa,2005,Riot Control,0,0,1,0,0
Gujarat,2005,Riot Control,9,1,10,13,0
Haryana,2005,Riot Control,1,1,1,2,0
Himachal Pradesh,2005,Riot Control,0,0,0,0,0
Jammu & Kashmir,2005,Riot Control,0,12,12,36,0
