area_name,year,group_name,civilians_injured,civilians_killed,no_of_firings,policemen_injured,policemen_killed
Puducherry,2010,Riot Control,0,0,1,0,0
Punjab,2010,Riot Control,0,0,0,0,0
Rajasthan,2010,Riot Control,12,3,4,78,0
Sikkim,2010,Riot Control,0,0,0,0,0
Tamil Nadu,2010,Riot Control,1,0,5,26,0
Tripura,2010,Riot Control,0,0,0,0,0
Uttar Pradesh,2010,Riot Control,52,0,5,10,1
Uttarakhand,2010,Riot Control,0,0,0,0,0
West Bengal,2010,Riot Control,32,1,27,75,0
Andaman & Nicobar Islands,2001,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Andhra Pradesh,2001,Total Casualties under Police Firing & Lathi Charge,42,126,180,114,11
Arunachal Pradesh,2001,Total Casualties under Police Firing & Lathi Charge,0,0,2,3,0
Assam,2001,Total Casualties under Police Firing & Lathi Charge,11,28,41,16,9
Bihar,2001,Total Casualties under Police Firing & Lathi Charge,28,48,48,32,7
Chandigarh,2001,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Chhattisgarh,2001,Total Casualties under Police Firing & Lathi Charge,58,2,7,43,2
Dadra & Nagar Haveli,2001,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Daman & Diu,2001,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Delhi,2001,Total Casualties under Police Firing & Lathi Charge,10,8,18,132,0
Goa,2001,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Gujarat,2001,Total Casualties under Police Firing & Lathi Charge,13,5,27,8,0
Haryana,2001,Total Casualties under Police Firing & Lathi Charge,24,1,3,21,0
Himachal Pradesh,2001,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Jammu & Kashmir,2001,Total Casualties under Police Firing & Lathi Charge,95,100,338,190,26
Jharkhand,2001,Total Casualties under Police Firing & Lathi Charge,8,13,59,36,22
Karnataka,2001,Total Casualties under Police Firing & Lathi Charge,61,6,31,62,0
Kerala,2001,Total Casualties under Police Firing & Lathi Charge,0,1,12,11,0
Lakshadweep,2001,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Madhya Pradesh,2001,Total Casualties under Police Firing & Lathi Charge,2,21,38,23,2
Maharashtra,2001,Total Casualties under Police Firing & Lathi Charge,63,118,135,69,1
Manipur,2001,Total Casualties under Police Firing & Lathi Charge,57,15,34,0,0
