state_ut,crime_head,male_below_18_years,female_below_18_years,male_between_18_30_years,female_between_18_30_years,male_between_30_45_years,female_between_30_45_years,male_between_45_60_years,female_between_45_60_years,male_above_60_years,female_above_60_years,male_total,female_total,grand_total
TOTAL (UTs),"CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304, 308 IPC)",6,1,57,2,48,1,8,1,2,0,121,5,126
TOTAL (ALL-INDIA),"CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304, 308 IPC)",48,4,3121,64,2681,79,1069,36,43,3,6962,186,7148
ANDHRA PRADESH,RAPE (SECTION 376 IPC),81,0,993,77,347,31,111,16,8,0,1540,124,1664
ARUNACHAL PRADESH,RAPE (SECTION 376 IPC),2,0,41,0,4,0,0,0,0,0,47,0,47
ASSAM,RAPE (SECTION 376 IPC),58,0,746,0,642,2,178,0,0,0,1624,2,1626
BIHAR,RAPE (SECTION 376 IPC),31,0,829,0,416,0,49,0,2,0,1327,0,1327
CHHATTISGARH,RAPE (SECTION 376 IPC),0,0,115,19,505,0,575,0,0,0,1195,19,1214
GOA,RAPE (SECTION 376 IPC),2,0,42,3,9,0,4,0,1,0,58,3,61
GUJARAT,RAPE (SECTION 376 IPC),23,0,406,5,163,11,34,3,2,0,628,19,647
HARYANA,RAPE (SECTION 376 IPC),44,1,569,16,234,20,46,4,5,1,898,42,940
HIMACHAL PRADESH,RAPE (SECTION 376 IPC),13,0,151,4,69,6,12,2,2,0,247,12,259
JAMMU & KASHMIR,RAPE (SECTION 376 IPC),3,0,210,11,123,16,21,3,1,0,358,30,388
JHARKHAND,RAPE (SECTION 376 IPC),24,0,512,10,186,6,38,4,0,0,760,20,780
KARNATAKA,RAPE (SECTION 376 IPC),13,0,437,25,233,29,89,5,10,1,782,60,842
KERALA,RAPE (SECTION 376 IPC),30,0,578,4,455,15,150,0,27,0,1240,19,1259
MADHYA PRADESH,RAPE (SECTION 376 IPC),279,5,2807,52,1239,42,351,12,32,3,4708,114,4822
MAHARASHTRA,RAPE (SECTION 376 IPC),104,2,1507,63,612,86,156,42,17,2,2396,195,2591
MANIPUR,RAPE (SECTION 376 IPC),0,0,22,2,16,2,4,0,0,0,42,4,46
MEGHALAYA,RAPE (SECTION 376 IPC),25,0,89,0,50,1,16,0,1,0,181,1,182
MIZORAM,RAPE (SECTION 376 IPC),21,0,43,0,45,0,12,0,1,0,122,0,122
NAGALAND,RAPE (SECTION 376 IPC),2,0,15,0,5,1,2,0,1,0,25,1,26
ODISHA,RAPE (SECTION 376 IPC),86,1,959,16,432,30,130,8,4,0,1611,55,1666
PUNJAB,RAPE (SECTION 376 IPC),15,1,436,36,269,44,88,6,0,0,808,87,895
RAJASTHAN,RAPE (SECTION 376 IPC),109,0,1026,24,540,9,89,6,4,0,1768,39,1807
SIKKIM,RAPE (SECTION 376 IPC),0,0,15,0,10,0,4,0,0,0,29,0,29
TAMIL NADU,RAPE (SECTION 376 IPC),30,0,568,4,239,25,84,6,5,1,926,36,962
TRIPURA,RAPE (SECTION 376 IPC),23,0,120,0,54,0,4,1,0,0,201,1,202
UTTAR PRADESH,RAPE (SECTION 376 IPC),123,0,2339,3,963,7,151,7,0,0,3576,17,3593
UTTARAKHAND,RAPE (SECTION 376 IPC),10,0,110,1,56,0,7,0,0,0,183,1,184
WEST BENGAL,RAPE (SECTION 376 IPC),89,0,1141,0,547,0,165,0,21,0,1963,0,1963
TOTAL (STATES),RAPE (SECTION 376 IPC),1240,10,16826,375,8463,383,2570,125,144,8,29243,901,30144
A & N ISLANDS,RAPE (SECTION 376 IPC),0,0,11,1,4,1,0,0,0,0,15,2,17
