state_ut,year,residential_premises_dacoity,residential_premises_robbery,residential_premises_burglary,residential_premises_theft,highways_dacoity,highways_robbery,highways_burglary,highways_theft,river_and_sea_dacoity,river_and_sea_robbery,river_and_sea_burglary,river_and_sea_theft,railways_dacoity,railways_robbery,railways_burglary,railways_theft,banks_dacoity,banks_robbery,banks_burglary,banks_theft,commercial_establishments_dacoity,commercial_establishments_robbery,commercial_establishments_burglary,commercial_establishments_theft,other_places_dacoity,other_places_robbery,other_places_burglary,other_places_theft,total_dacoity,total_robbery,total_burglary,total_theft
JAMMU & KASHMIR,2002,30,54,832,593,1,2,5,5,0,0,0,0,0,0,0,0,3,9,6,0,4,8,278,248,4,90,200,1174,42,163,1321,2020
JHARKHAND,2002,285,367,1290,1937,208,230,0,214,0,0,0,0,27,33,0,242,8,18,1,0,10,17,59,393,42,115,69,1588,580,780,1419,4374
KARNATAKA,2002,84,234,4405,4113,22,28,37,56,1,0,0,1,4,15,5,382,0,2,46,4,10,31,1342,1599,57,662,645,7663,178,972,6480,13818
KERALA,2002,22,126,2600,1594,7,37,0,120,2,0,0,10,0,1,1,304,0,3,18,5,27,35,649,299,79,408,1356,3411,137,610,4624,5743
MADHYA PRADESH,2002,53,140,10043,7756,23,257,20,479,0,7,0,17,1,48,7,1299,0,1,14,7,3,51,1070,1468,56,1325,2190,9733,136,1829,13344,20759
MAHARASHTRA,2002,154,419,9525,6754,91,264,0,508,0,1,0,2,9,46,3,2930,6,9,197,136,63,159,2532,2693,225,1238,2214,24583,548,2136,14471,37606
MANIPUR,2002,3,1,22,38,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,96,0,0,7,114,3,6,44,255
MEGHALAYA,2002,14,13,59,166,29,38,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,7,10,15,20,51,85,199,64,109,154,392
MIZORAM,2002,1,2,196,397,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,244,1,3,65,355,5,7,446,999
NAGALAND,2002,10,25,47,111,3,44,0,10,0,0,0,0,0,0,1,0,0,0,0,0,4,9,39,38,4,32,41,98,21,110,128,257
ODISHA,2002,94,223,1957,1760,33,213,6,92,0,0,0,0,2,16,0,486,2,6,12,0,12,144,427,470,103,343,482,2460,246,945,2884,5268
PUNJAB,2002,17,17,1130,565,0,5,0,894,0,0,0,2,0,0,0,27,3,18,19,0,3,19,506,161,27,51,273,1314,50,110,1928,2963
RAJASTHAN,2002,6,27,3902,3054,17,72,0,80,0,0,0,0,2,8,3,733,0,0,39,1,6,16,1489,1039,16,611,1228,11406,47,734,6661,16313
SIKKIM,2002,0,1,41,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,22,45,0,5,66,64
TAMIL NADU,2002,64,193,3539,4180,36,65,0,78,0,0,0,44,0,21,6,231,0,2,48,42,10,41,553,2845,66,331,1387,11335,176,653,5533,18755
UTTAR PRADESH,2002,259,381,4480,6588,63,1322,0,3096,0,3,0,0,15,46,1,2845,3,17,6,4,5,11,280,815,207,1060,1359,9071,552,2840,6126,22419
