state_ut,crime_head,male_below_18_years,female_below_18_years,male_between_18_30_years,female_between_18_30_years,male_between_30_45_years,female_between_30_45_years,male_between_45_60_years,female_between_45_60_years,male_above_60_years,female_above_60_years,male_total,female_total,grand_total
Lakshadweep,"Arms Act, 1959",0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,"Arms Act, 1959",0,0,104,0,136,0,1,0,0,0,241,0,241
Total (UTs),"Arms Act, 1959",3,0,903,7,409,6,28,0,0,0,1343,13,1356
Total (All-India),"Arms Act, 1959",242,2,33378,25,20491,37,4662,4,134,2,58907,70,58977
Andhra Pradesh,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
