state_ut,district,year,murder,rape,kidnapping_and_abduction,dacoity,robbery,arson,hurt,protection_of_civil_rights_pcr_act,prevention_of_atrocities_poa_act,other_crimes_against_scs
Bihar,MUZAFFARPUR,2013,0,0,0,0,0,0,0,0,352,0
Bihar,MUZAFFARPUR RLY.,2013,0,1,0,0,0,0,0,0,0,0
Bihar,NALANDA,2013,3,3,0,0,0,0,4,0,195,0
Bihar,NAUGACHIA,2013,0,3,0,0,0,0,0,0,44,0
Bihar,NAWADAH,2013,1,3,0,0,0,6,13,0,124,0
Bihar,PATNA,2013,5,6,0,0,0,1,6,0,357,339
Bihar,PATNA RLY.,2013,0,0,0,0,0,0,0,0,4,1
Bihar,PURNEA,2013,0,0,0,0,0,0,106,0,106,0
Bihar,ROHTAS,2013,0,4,0,0,0,1,0,0,183,0
Bihar,SAHARSA,2013,0,0,0,0,0,1,2,0,195,0
Bihar,SAMASTIPUR,2013,0,2,2,0,0,0,0,0,200,7
Bihar,SARAN,2013,12,1,0,0,0,6,8,0,170,1
Bihar,SHEIKHPURA,2013,1,1,1,0,0,0,1,0,68,0
Bihar,SHEOHAR,2013,0,0,0,0,0,0,0,0,13,19
Bihar,SITAMARHI,2013,1,3,0,0,0,0,0,0,130,0
Bihar,SIWAN,2013,1,3,0,0,0,0,0,0,131,0
Bihar,SUPAUL,2013,2,0,0,0,0,0,3,0,63,0
Bihar,VAISHALI,2013,1,1,0,0,0,3,11,0,80,60
Bihar,TOTAL,2013,50,68,9,0,1,51,289,0,5584,669
Chhattisgarh,BALOD,2013,0,0,0,0,0,0,0,0,1,4
Chhattisgarh,BALODA BAZAR,2013,1,2,1,0,0,0,3,0,0,8
Chhattisgarh,BALRAMPUR,2013,0,1,0,0,0,0,1,0,0,1
Chhattisgarh,BEMETARA,2013,0,1,0,0,0,0,0,0,0,1
Chhattisgarh,BILASPUR,2013,1,5,0,0,0,1,3,0,0,19
Chhattisgarh,BIZAPUR,2013,0,0,0,0,0,0,0,0,0,1
Chhattisgarh,DANTEWARA,2013,0,1,0,0,0,0,0,0,0,0
