area_name,year,ac01_no_of_cases_pending_investigation_from_previous_year,ac02_no_of_cases_registered_during_the_year,ac03_total_no_of_cases_for_investigation_during_the_year,ac04_no_of_cases_investigated_during_the_year,ac05_no_of_cases_not_investigatedor_in_which_investigation_was_dropped_due_to_any_reason_during_the_year,ac06_no_of_cases_transferred_to_local_police_during_the_year,ac07_no_of_cases_declared_false_mistake_of_fact_or_of_law_or_non_cognizable_or_civil_in_nature,ac08_no_of_cases_in_which_charge_sheets_were_laid_during_the_year,ac09_no_of_cases_pending_departmental_sanction_for_prosecution_during_the_year,ac10_no_of_cases_sent_up_for_trial_and_also_reported_for_departmental_action_during_the_year,ac11_no_of_cases_reported_for_regular_departmental_action_during_the_year,ac12_no_of_cases_reported_for_suitable_action_during_the_year,ac13_no_of_cases_in_which_charge_sheets_were_not_laid_but_final_report_submitted_during_the_year,ac14_no_of_cases_pending_investigation_at_the_end_of_the_year,ac15_no_of_cases_resulted_in_recoveries_or_seizures_during_the_year,ac16_value_of_property_recoveredseized_during_the_year_in_rs,ac17_percentage_of_cases_charge_sheeted_to_total_cases_investigated,ac18_no_of_cases_pending_trial_from_the_previous_year,ac19_no_of_cases_sent_up_for_trial_during_the_year,ac20_total_no_of_cases_for_trial_during_the_year,ac21_no_of_cases_withdrawn_or_other_wise_disposed_off_on_account_of_death_of_the_accused_during_the_year,ac22_no_of_cases_in_which_trials_were_completed_during_the_year,ac23_no_of_cases_convicted_during_the_year,ac24_no_of_cases_acquitted_or_discharged_during_the_year,ac25_no_of_cases_pending_trial_at_the_end_of_the_year,ac26_percentage_of_cases_convicted_to_cases_in_which_trials_were_completed_during_the_year,ac27_total_amount_of_fine_imposed_during_the_year_in_rs
Rajasthan,2003,1155.0000,336.0000,1491.0000,1491.0000,0.0000,0.0000,0.0000,228.0000,350.0000,0.0000,118.0000,0.0000,95.0000,1210.0000,214.0000,710975.0000,0.0000,837.0000,228.0000,1065.0000,0.0000,143.0000,48.0000,95.0000,922.0000,0.0000,439200.0000
Rajasthan,2009,719.0000,336.0000,1055.0000,1055.0000,0.0000,0.0000,0.0000,230.0000,236.0000,111.0000,111.0000,44.0000,85.0000,740.0000,228.0000,1224030.0000,0.0000,1670.0000,230.0000,1893.0000,8.0000,68.0000,23.0000,45.0000,1817.0000,0.0000,397300.0000
Andhra Pradesh,2008,193.0000,330.0000,523.0000,249.0000,2.0000,0.0000,0.0000,132.0000,18.0000,158.0000,9.0000,0.0000,18.0000,280.0000,234.0000,2915830.0000,0.0000,1012.0000,132.0000,1144.0000,5.0000,174.0000,118.0000,56.0000,965.0000,0.0000,440750.0000
Andhra Pradesh,2003,353.0000,328.0000,681.0000,278.0000,5.0000,0.0000,0.0000,181.0000,37.0000,23.0000,41.0000,0.0000,30.0000,389.0000,256.0000,1149625.0000,0.0000,864.0000,181.0000,1045.0000,4.0000,98.0000,41.0000,57.0000,943.0000,0.0000,131000.0000
Rajasthan,2008,836.0000,327.0000,1163.0000,1163.0000,0.0000,0.0000,0.0000,373.0000,260.0000,158.0000,158.0000,0.0000,71.0000,719.0000,227.0000,2754840.0000,0.0000,1439.0000,355.0000,1794.0000,6.0000,118.0000,52.0000,66.0000,1670.0000,0.0000,476200.0000
Tamil Nadu,2008,154.0000,323.0000,477.0000,477.0000,0.0000,0.0000,0.0000,160.0000,55.0000,57.0000,115.0000,111.0000,141.0000,347.0000,108.0000,14083601.0000,0.0000,242.0000,160.0000,402.0000,9.0000,85.0000,46.0000,39.0000,308.0000,0.0000,373000.0000
Andhra Pradesh,2009,280.0000,322.0000,602.0000,306.0000,4.0000,0.0000,0.0000,210.0000,38.0000,200.0000,9.0000,0.0000,38.0000,293.0000,238.0000,3019800.0000,0.0000,965.0000,210.0000,1175.0000,2.0000,151.0000,92.0000,59.0000,1022.0000,0.0000,440750.0000
Karnataka,2005,142.0000,313.0000,455.0000,455.0000,5.0000,1.0000,0.0000,172.0000,81.0000,0.0000,0.0000,0.0000,0.0000,196.0000,39.0000,19463623.0000,0.0000,683.0000,172.0000,855.0000,6.0000,271.0000,42.0000,229.0000,578.0000,0.0000,1815431.0000
Punjab,2006,522.0000,312.0000,834.0000,358.0000,7.0000,2.0000,18.0000,265.0000,174.0000,265.0000,0.0000,7.0000,94.0000,476.0000,104.0000,620700.0000,0.0000,1113.0000,265.0000,1378.0000,5.0000,193.0000,50.0000,143.0000,1180.0000,0.0000,233900.0000
Rajasthan,2005,1051.0000,311.0000,1362.0000,1362.0000,0.0000,0.0000,0.0000,242.0000,247.0000,0.0000,103.0000,0.0000,114.0000,1006.0000,197.0000,603400.0000,0.0000,1031.0000,242.0000,1273.0000,0.0000,116.0000,39.0000,77.0000,1157.0000,35.8000,892500.0000
