area_name,year,group_name,sub_group_name,ph_houses_provided_by_department,ph_houses_provided_on_leaserentgpra,ph_sanctioned_strength
Kerala,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),38,2,431
Lakshadweep,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),2,0,2
Madhya Pradesh,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),105,156,813
Maharashtra,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,NULL,952
Manipur,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),20,0,205
Meghalaya,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),45,67,112
Mizoram,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),64,0,120
Nagaland,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),11,3,125
Odisha,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),165,77,416
Puducherry,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),14,1,22
Punjab,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),47,NULL,628
Rajasthan,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),40,NULL,766
Sikkim,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),8,9,66
Tamil Nadu,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),271,NULL,887
Tripura,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),50,NULL,344
Uttar Pradesh,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),240,395,1590
Uttarakhand,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),49,0,126
West Bengal,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),513,10,627
Andaman & Nicobar Islands,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),7,4,17
Andhra Pradesh,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),32,575,607
Arunachal Pradesh,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),90,5,95
Assam,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),77,0,531
Bihar,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),144,73,475
Chandigarh,2004,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),10,0,17
