state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
MADHYA PRADESH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),5,10,0,0,15,192,207,13,180,14,3,11
MAHARASHTRA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),2,0,0,0,2,0,2,0,2,0,0,0
MIZORAM,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,8,8,0,8,0,0,0
PUNJAB,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,1,1,0,1,0,0,0
SIKKIM,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),5,25,5,5,20,10,30,0,17,13,2,11
TOTAL (STATES),IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),36,46,5,32,45,666,711,15,598,98,14,84
A & N ISLANDS,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
DELHI,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (ALL-INDIA),IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),36,46,5,32,45,666,711,15,598,98,14,84
ANDHRA PRADESH,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),3197,11779,17,3077,11882,26999,38881,534,28516,9831,1015,8816
ARUNACHAL PRADESH,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),21,86,27,38,42,241,283,0,266,17,11,6
ASSAM,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2913,2451,1004,2824,1536,5572,7108,0,5831,1277,154,1123
BIHAR,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),2929,4369,44,2276,4978,15707,20685,240,18952,1493,240,1253
CHHATTISGARH,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),105,2022,0,209,1918,7856,9774,577,6888,2309,756,1553
GOA,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),121,186,4,126,177,838,1015,0,856,159,26,133
GUJARAT,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),527,3945,0,525,3947,29956,33903,189,31252,2462,273,2189
HARYANA,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),267,989,0,172,1084,4377,5461,0,4168,1293,235,1058
HIMACHAL PRADESH,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),99,306,2,56,347,1929,2276,8,1966,302,38,264
JAMMU & KASHMIR,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),4,357,0,5,356,1293,1649,1,1300,348,59,289
JHARKHAND,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),543,944,0,535,952,1308,2260,18,1279,963,292,671
KARNATAKA,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),131,786,8,157,752,1539,2291,3,1893,395,18,377
KERALA,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),33,53,0,21,65,256,321,0,301,20,2,18
MADHYA PRADESH,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),72,6729,0,74,6727,19437,26164,371,21139,4654,1483,3171
MAHARASHTRA,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),3007,9983,18,3283,9689,90076,99765,1809,90096,7860,380,7480
MANIPUR,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),9,1,1,9,0,1,1,0,1,0,0,0
MEGHALAYA,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),24,70,6,18,70,128,198,3,175,20,15,5
MIZORAM,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),5,33,0,10,28,13,41,0,19,22,20,2
NAGALAND,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),3,17,3,8,9,9,18,0,7,11,9,2
ODISHA,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),280,3294,0,260,3314,19166,22480,0,19748,2732,512,2220
PUNJAB,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),1829,2563,62,2084,2246,9116,11362,0,9209,2153,714,1439
RAJASTHAN,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),5,6852,0,9,6848,35328,42176,374,36565,5237,2139,3098
SIKKIM,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),5,21,5,10,11,95,106,23,58,25,14,11
TAMIL NADU,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),7807,12572,408,7049,12922,28542,41464,19,34617,6828,1564,5264
TRIPURA,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),81,14,0,23,72,133,205,0,87,118,15,103
UTTAR PRADESH,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),623,11837,662,509,11289,25164,36453,325,30280,5848,3040,2808
UTTARAKHAND,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),16,531,0,18,529,1852,2381,30,1773,578,498,80
WEST BENGAL,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),1088,3704,517,870,3405,12549,15954,74,14712,1168,84,1084
TOTAL (STATES),CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),25744,86494,2788,24255,85195,339480,424675,4598,361954,58123,13606,44517
A & N ISLANDS,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),1,5,0,3,3,36,39,0,37,2,0,2
CHANDIGARH,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),6,5,0,3,8,52,60,0,53,7,1,6
D & N HAVELI,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),9,37,0,7,39,102,141,0,131,10,0,10
DAMAN & DIU,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),8,31,0,8,31,98,129,0,106,23,3,20
DELHI,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),243,514,36,178,543,1134,1677,0,1059,618,304,314
LAKSHADWEEP,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),89,248,0,167,170,630,800,0,680,120,103,17
TOTAL (UTs),CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),356,840,36,366,794,2052,2846,0,2066,780,411,369
TOTAL (ALL-INDIA),CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC),26100,87334,2824,24621,85989,341532,427521,4598,364020,58903,14017,44886
ANDHRA PRADESH,OTHER IPC CRIMES,17432,61931,0,17417,61946,102090,164036,16142,98930,48964,17832,31132
ARUNACHAL PRADESH,OTHER IPC CRIMES,452,743,252,546,397,7427,7824,75,7610,139,70,69
ASSAM,OTHER IPC CRIMES,13171,18599,8514,13367,9889,16024,25913,544,17407,7962,944,7018
BIHAR,OTHER IPC CRIMES,34261,65071,958,19185,79189,532877,612066,5631,560069,46366,6280,40086
CHHATTISGARH,OTHER IPC CRIMES,968,28384,35,1198,28119,82746,110865,3522,80631,26712,16473,10239
GOA,OTHER IPC CRIMES,607,1054,51,734,876,4270,5146,10,4533,603,183,420
GUJARAT,OTHER IPC CRIMES,6937,92325,1,8448,90813,673136,763949,1794,696112,66043,25731,40312
HARYANA,OTHER IPC CRIMES,3858,25483,0,3412,25929,86022,111951,0,81180,30771,11014,19757
HIMACHAL PRADESH,OTHER IPC CRIMES,1156,9133,12,2116,8161,65949,74110,1147,67429,5534,1226,4308
JAMMU & KASHMIR,OTHER IPC CRIMES,45,19773,0,50,19768,56613,76381,6127,55726,14528,6222,8306
JHARKHAND,OTHER IPC CRIMES,9855,19670,0,10798,18727,34553,53280,480,35022,17778,3521,14257
KARNATAKA,OTHER IPC CRIMES,8998,58570,1423,9119,57026,86087,143113,3467,84320,55326,25749,29577
KERALA,OTHER IPC CRIMES,8207,105496,0,8623,105080,225422,330502,1666,250329,78507,63922,14585
MADHYA PRADESH,OTHER IPC CRIMES,1444,182439,1,1120,182762,509984,692746,65389,511692,115665,61402,54263
MAHARASHTRA,OTHER IPC CRIMES,18591,58364,115,19151,57689,541391,599080,13959,535473,49648,4035,45613
MANIPUR,OTHER IPC CRIMES,710,546,507,728,21,1137,1158,2,1124,32,21,11
MEGHALAYA,OTHER IPC CRIMES,519,604,73,569,481,3017,3498,14,3419,65,29,36
MIZORAM,OTHER IPC CRIMES,55,326,1,103,277,237,514,8,253,253,207,46
NAGALAND,OTHER IPC CRIMES,272,336,109,188,311,144,455,6,116,333,292,41
ODISHA,OTHER IPC CRIMES,2051,29068,111,3735,27273,224170,251443,0,229556,21887,1721,20166
PUNJAB,OTHER IPC CRIMES,5954,13408,422,8573,10367,37587,47954,60,36891,11003,4922,6081
RAJASTHAN,OTHER IPC CRIMES,996,94235,0,941,94290,439157,533447,15163,445555,72729,49183,23546
SIKKIM,OTHER IPC CRIMES,150,142,65,132,95,274,369,45,162,162,60,102
TAMIL NADU,OTHER IPC CRIMES,39139,122153,2593,46719,111980,114579,226559,85,119235,107239,66428,40811
TRIPURA,OTHER IPC CRIMES,457,1685,163,451,1528,2263,3791,0,1289,2502,361,2141
UTTAR PRADESH,OTHER IPC CRIMES,11475,143470,35656,12979,106310,208757,315067,12641,248289,54137,29490,24647
UTTARAKHAND,OTHER IPC CRIMES,287,3018,109,388,2808,13155,15963,234,11773,3956,2984,972
WEST BENGAL,OTHER IPC CRIMES,24467,67885,5512,26440,60400,288664,349064,2419,327232,19413,2394,17019
TOTAL (STATES),OTHER IPC CRIMES,212514,1223911,56683,217230,1162512,4357732,5520244,150630,4511357,858257,402696,455561
A & N ISLANDS,OTHER IPC CRIMES,65,332,0,48,349,5175,5524,0,5187,337,240,97
CHANDIGARH,OTHER IPC CRIMES,508,1307,32,278,1505,3649,5154,0,4162,992,422,570
D & N HAVELI,OTHER IPC CRIMES,49,135,0,37,147,1537,1684,0,1544,140,18,122
DAMAN & DIU,OTHER IPC CRIMES,26,53,0,45,34,260,294,0,275,19,2,17
DELHI,OTHER IPC CRIMES,13056,17350,1000,13881,15525,39587,55112,0,38670,16442,8857,7585
LAKSHADWEEP,OTHER IPC CRIMES,36,21,0,55,2,120,122,0,80,42,15,27
PUDUCHERRY,OTHER IPC CRIMES,565,1964,11,746,1772,2337,4109,2,2655,1452,1381,71
TOTAL (UTs),OTHER IPC CRIMES,14305,21162,1043,15090,19334,52665,71999,2,52573,19424,10935,8489
TOTAL (ALL-INDIA),OTHER IPC CRIMES,226819,1245073,57726,232320,1181846,4410397,5592243,150632,4563930,877681,413631,464050
ANDHRA PRADESH,TOTAL COGNIZABLE IPC CRIMES,70735,246395,17,74165,242948,456873,699821,49677,466997,183147,48564,134583
ARUNACHAL PRADESH,TOTAL COGNIZABLE IPC CRIMES,1906,2483,750,2186,1453,22527,23980,154,23262,564,236,328
ASSAM,TOTAL COGNIZABLE IPC CRIMES,71641,72795,34584,70303,39549,126270,165819,1013,133014,31792,3829,27963
BIHAR,TOTAL COGNIZABLE IPC CRIMES,126882,264570,5284,105221,280947,1545413,1826360,19288,1656666,150406,16944,133462
CHHATTISGARH,TOTAL COGNIZABLE IPC CRIMES,3805,73321,35,3908,73183,273346,346529,18244,267531,60754,27696,33058
GOA,TOTAL COGNIZABLE IPC CRIMES,2275,3354,186,3084,2359,14296,16655,50,14700,1905,380,1525
GUJARAT,TOTAL COGNIZABLE IPC CRIMES,15571,182284,55,17408,180392,1609658,1790050,3989,1672345,113716,28648,85068
HARYANA,TOTAL COGNIZABLE IPC CRIMES,10869,65108,0,8617,67360,253721,321081,298,245808,74975,21375,53600
HIMACHAL PRADESH,TOTAL COGNIZABLE IPC CRIMES,2896,16726,82,3900,15640,115776,131416,2343,116995,12078,2114,9964
JAMMU & KASHMIR,TOTAL COGNIZABLE IPC CRIMES,302,40358,0,335,40325,186117,226442,10048,182627,33767,7978,25789
JHARKHAND,TOTAL COGNIZABLE IPC CRIMES,27524,53770,8,31581,49705,95421,145126,1831,98757,44538,9802,34736
KARNATAKA,TOTAL COGNIZABLE IPC CRIMES,25855,164835,4078,26218,160394,335740,496134,12902,342293,140939,30010,110929
KERALA,TOTAL COGNIZABLE IPC CRIMES,33218,209344,58,32325,210179,662591,872770,6484,723675,142611,75926,66685
MADHYA PRADESH,TOTAL COGNIZABLE IPC CRIMES,3656,343857,1,3223,344289,1196960,1541249,105846,1209723,225680,100616,125064
MAHARASHTRA,TOTAL COGNIZABLE IPC CRIMES,100486,309672,3289,106369,300500,2860753,3161253,40779,2900300,220174,15043,205131
MANIPUR,TOTAL COGNIZABLE IPC CRIMES,2505,1797,1551,2651,100,3079,3179,7,3097,75,52,23
MEGHALAYA,TOTAL COGNIZABLE IPC CRIMES,3978,1984,339,4183,1440,13194,14634,37,14294,303,109,194
MIZORAM,TOTAL COGNIZABLE IPC CRIMES,254,1721,2,478,1495,1484,2979,12,1449,1518,1337,181
NAGALAND,TOTAL COGNIZABLE IPC CRIMES,708,1010,193,485,1040,679,1719,28,589,1102,900,202
ODISHA,TOTAL COGNIZABLE IPC CRIMES,9168,96249,334,11426,93657,586663,680320,0,616200,64120,5908,58212
PUNJAB,TOTAL COGNIZABLE IPC CRIMES,27515,46632,1791,35068,37288,147533,184821,95,147571,37155,13835,23320
RAJASTHAN,TOTAL COGNIZABLE IPC CRIMES,1760,177833,6,1812,177775,933188,1110963,34382,934096,142485,86172,56313
SIKKIM,TOTAL COGNIZABLE IPC CRIMES,349,637,158,411,417,945,1362,75,767,520,236,284
TAMIL NADU,TOTAL COGNIZABLE IPC CRIMES,100827,232414,4963,109597,218681,360741,579422,191,393190,186041,94690,91351
TRIPURA,TOTAL COGNIZABLE IPC CRIMES,2782,7260,953,1677,7412,8540,15952,0,8601,7351,1100,6251
UTTAR PRADESH,TOTAL COGNIZABLE IPC CRIMES,46775,412811,97572,61577,300437,860548,1160985,24879,970606,165500,85893,79607
UTTARAKHAND,TOTAL COGNIZABLE IPC CRIMES,1770,11110,243,1803,10834,49450,60284,2220,45569,12495,8504,3991
WEST BENGAL,TOTAL COGNIZABLE IPC CRIMES,82872,177722,20479,82092,158023,879612,1037635,5633,967082,64920,5553,59367
TOTAL (STATES),TOTAL COGNIZABLE IPC CRIMES,778884,3218052,177011,802103,3017822,13601118,16618940,340505,14157804,2120631,693450,1427181
A & N ISLANDS,TOTAL COGNIZABLE IPC CRIMES,393,683,0,353,723,9852,10575,0,10034,541,297,244
CHANDIGARH,TOTAL COGNIZABLE IPC CRIMES,1646,3702,136,906,4306,10062,14368,0,11696,2672,1252,1420
D & N HAVELI,TOTAL COGNIZABLE IPC CRIMES,305,529,0,243,591,4762,5353,0,4875,478,43,435
DAMAN & DIU,TOTAL COGNIZABLE IPC CRIMES,167,387,3,146,405,1404,1809,22,1548,239,23,216
DELHI,TOTAL COGNIZABLE IPC CRIMES,24605,40775,3309,25229,36842,218910,255752,0,215839,39913,20598,19315
LAKSHADWEEP,TOTAL COGNIZABLE IPC CRIMES,252,30,27,247,8,192,200,2,120,78,32,46
PUDUCHERRY,TOTAL COGNIZABLE IPC CRIMES,1174,5858,11,2064,4957,11476,16433,46,13287,3100,2086,1014
TOTAL (UTs),TOTAL COGNIZABLE IPC CRIMES,28542,51964,3486,29188,47832,256658,304490,70,257399,47021,24331,22690
TOTAL (ALL-INDIA),TOTAL COGNIZABLE IPC CRIMES,807426,3270016,180497,831291,3065654,13857776,16923430,340575,14415203,2167652,717781,1449871
