area_name,year,group_name,sub_group_name,auto_theft_coordinated_traced,auto_theft_recovered,auto_theft_stolen
Kerala,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,17,328,1200
Lakshadweep,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,1,2
Madhya Pradesh,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,147,1843,6771
Maharashtra,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,833,3008,10104
Manipur,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,6,103
Meghalaya,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,9,56
Mizoram,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,30,37
Nagaland,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5,34,50
Odisha,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,174,508,1410
Puducherry,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,111,304
Punjab,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,301,352,844
Rajasthan,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,331,1055,5716
Sikkim,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,1,1
Tamil Nadu,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2183,2423,2784
Tripura,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,3,15
Uttar Pradesh,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,28,1605,6571
Uttarakhand,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,92,374
West Bengal,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,22,304,2303
Andaman & Nicobar Islands,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,7,8
