area_name,year,sub_group_name,education_above_primary_but_below_matric_or_higher_secondary,education_illiterate,education_matric_or_higher_secondary_above,education_total,education_upto_primary
Lakshadweep,2009,1. Education,0,0,0,0,0
Madhya Pradesh,2009,1. Education,1910,1310,925,6186,2041
Maharashtra,2009,1. Education,2544,768,892,6972,2768
Manipur,2009,1. Education,0,0,0,0,0
Meghalaya,2009,1. Education,27,14,1,88,46
Mizoram,2009,1. Education,8,0,10,20,2
Nagaland,2009,1. Education,12,2,0,20,6
Odisha,2009,1. Education,213,83,39,483,148
Puducherry,2009,1. Education,0,27,0,81,54
Punjab,2009,1. Education,57,62,47,233,67
Rajasthan,2009,1. Education,818,503,229,2456,906
Sikkim,2009,1. Education,18,12,0,60,30
Tamil Nadu,2009,1. Education,370,1727,52,2921,772
Tripura,2009,1. Education,9,22,0,91,60
Uttar Pradesh,2009,1. Education,146,113,40,475,176
Uttarakhand,2009,1. Education,32,130,30,254,62
West Bengal,2009,1. Education,47,37,27,195,84
Andaman & Nicobar Islands,2010,1. Education,5,1,1,26,19
Andhra Pradesh,2010,1. Education,421,767,115,1949,646
Arunachal Pradesh,2010,1. Education,32,0,35,81,14
Assam,2010,1. Education,26,225,9,385,125
Bihar,2010,1. Education,263,241,50,742,188
Chandigarh,2010,1. Education,48,24,33,168,63
Chhattisgarh,2010,1. Education,739,442,102,2356,1073
Dadra & Nagar Haveli,2010,1. Education,8,2,0,19,9
Daman & Diu,2010,1. Education,3,4,1,10,2
Delhi,2010,1. Education,204,154,34,627,235
Goa,2010,1. Education,37,19,6,77,15
Gujarat,2010,1. Education,662,341,176,2121,942
Haryana,2010,1. Education,443,79,139,907,246
Himachal Pradesh,2010,1. Education,92,6,92,218,28
Jammu & Kashmir,2010,1. Education,15,2,3,27,7
Jharkhand,2010,1. Education,10,47,5,104,42
Karnataka,2010,1. Education,35,63,37,204,69
Kerala,2010,1. Education,348,38,262,826,178
Lakshadweep,2010,1. Education,0,0,0,0,0
Madhya Pradesh,2010,1. Education,1941,1696,516,6449,2296
Maharashtra,2010,1. Education,2224,810,862,6388,2492
Manipur,2010,1. Education,0,0,0,0,0
Meghalaya,2010,1. Education,24,43,3,118,48
Mizoram,2010,1. Education,73,3,0,116,40
Nagaland,2010,1. Education,30,3,8,53,12
Odisha,2010,1. Education,164,195,40,544,145
Puducherry,2010,1. Education,0,0,0,49,49
Punjab,2010,1. Education,53,81,29,246,83
Rajasthan,2010,1. Education,960,322,279,2378,817
Sikkim,2010,1. Education,43,4,2,82,33
Tamil Nadu,2010,1. Education,455,445,48,1644,696
Tripura,2010,1. Education,5,35,0,46,6
Uttar Pradesh,2010,1. Education,308,166,100,852,278
Uttarakhand,2010,1. Education,31,51,1,154,71
West Bengal,2010,1. Education,153,30,35,337,119
