area_name,year,group_name,sub_group_name,cases_property_recovered,cases_property_stolen,value_of_property_recovered,value_of_property_stolen
Rajasthan,2001,Cattle - Property,2. Cattle,378,682,5191636,7635876
Sikkim,2001,Cattle - Property,2. Cattle,0,0,0,0
Tamil Nadu,2001,Cattle - Property,2. Cattle,421,445,2858450,3214400
Tripura,2001,Cattle - Property,2. Cattle,5,16,40000,280500
Uttar Pradesh,2001,Cattle - Property,2. Cattle,571,1083,7229540,13432465
Uttarakhand,2001,Cattle - Property,2. Cattle,19,33,261500,427900
West Bengal,2001,Cattle - Property,2. Cattle,69,217,331165,1315380
Andaman & Nicobar Islands,2002,Cattle - Property,2. Cattle,0,0,0,0
Andhra Pradesh,2002,Cattle - Property,2. Cattle,516,640,6450766,7661100
Arunachal Pradesh,2002,Cattle - Property,2. Cattle,14,24,120000,183900
Assam,2002,Cattle - Property,2. Cattle,290,562,1260985,2875882
Bihar,2002,Cattle - Property,2. Cattle,143,366,847961,1916398
Chandigarh,2002,Cattle - Property,2. Cattle,1,1,25000,25000
Chhattisgarh,2002,Cattle - Property,2. Cattle,150,351,1825102,1995311
Dadra & Nagar Haveli,2002,Cattle - Property,2. Cattle,1,1,2500,2500
Daman & Diu,2002,Cattle - Property,2. Cattle,0,0,0,0
Delhi,2002,Cattle - Property,2. Cattle,3,31,45000,552100
Goa,2002,Cattle - Property,2. Cattle,0,0,0,0
Gujarat,2002,Cattle - Property,2. Cattle,147,274,888300,2761760
Haryana,2002,Cattle - Property,2. Cattle,118,162,2881000,3929300
Himachal Pradesh,2002,Cattle - Property,2. Cattle,10,17,99700,335500
Jammu & Kashmir,2002,Cattle - Property,2. Cattle,29,55,460300,562900
Jharkhand,2002,Cattle - Property,2. Cattle,38,99,146650,363402
Karnataka,2002,Cattle - Property,2. Cattle,228,325,3105356,5143796
Kerala,2002,Cattle - Property,2. Cattle,36,53,136546,173821
Lakshadweep,2002,Cattle - Property,2. Cattle,0,0,0,0
Madhya Pradesh,2002,Cattle - Property,2. Cattle,781,1619,7238663,13137343
Maharashtra,2002,Cattle - Property,2. Cattle,509,858,3511572,8090893
Manipur,2002,Cattle - Property,2. Cattle,0,2,0,14650
Meghalaya,2002,Cattle - Property,2. Cattle,5,16,86500,142000
Mizoram,2002,Cattle - Property,2. Cattle,4,6,17000,40000
Nagaland,2002,Cattle - Property,2. Cattle,1,2,20000,92000
Odisha,2002,Cattle - Property,2. Cattle,111,175,336135,495896
Puducherry,2002,Cattle - Property,2. Cattle,2,2,12600,12600
Punjab,2002,Cattle - Property,2. Cattle,28,51,702600,1329100
Rajasthan,2002,Cattle - Property,2. Cattle,382,650,4504270,6604061
Sikkim,2002,Cattle - Property,2. Cattle,1,1,2000,2000
Tamil Nadu,2002,Cattle - Property,2. Cattle,551,570,3896707,4182707
Tripura,2002,Cattle - Property,2. Cattle,3,5,15000,379000
Uttar Pradesh,2002,Cattle - Property,2. Cattle,475,731,6369736,8686255
Uttarakhand,2002,Cattle - Property,2. Cattle,23,32,304500,418500
West Bengal,2002,Cattle - Property,2. Cattle,54,227,271600,976625
Andaman & Nicobar Islands,2003,Cattle - Property,2. Cattle,1,1,1000,1000
Andhra Pradesh,2003,Cattle - Property,2. Cattle,435,589,5633230,6945494
Arunachal Pradesh,2003,Cattle - Property,2. Cattle,5,8,36000,67800
Assam,2003,Cattle - Property,2. Cattle,197,492,736368,2590673
Bihar,2003,Cattle - Property,2. Cattle,123,362,526508,2409618
Chandigarh,2003,Cattle - Property,2. Cattle,0,0,0,0
Chhattisgarh,2003,Cattle - Property,2. Cattle,129,270,842600,1765851
Dadra & Nagar Haveli,2003,Cattle - Property,2. Cattle,0,0,0,0
Daman & Diu,2003,Cattle - Property,2. Cattle,0,0,0,0
Delhi,2003,Cattle - Property,2. Cattle,5,20,161800,596900
Goa,2003,Cattle - Property,2. Cattle,1,1,6000,6000
Gujarat,2003,Cattle - Property,2. Cattle,132,227,1072250,2872925
Haryana,2003,Cattle - Property,2. Cattle,138,178,3028082,3915282
Himachal Pradesh,2003,Cattle - Property,2. Cattle,16,24,199770,376484
Jammu & Kashmir,2003,Cattle - Property,2. Cattle,31,61,376100,563800
Jharkhand,2003,Cattle - Property,2. Cattle,57,148,225606,585841
Karnataka,2003,Cattle - Property,2. Cattle,165,255,1314715,2631285
Kerala,2003,Cattle - Property,2. Cattle,30,42,96850,386776
Lakshadweep,2003,Cattle - Property,2. Cattle,0,0,0,0
Madhya Pradesh,2003,Cattle - Property,2. Cattle,648,1415,5760664,11331519
Maharashtra,2003,Cattle - Property,2. Cattle,443,753,3435890,7112529
Manipur,2003,Cattle - Property,2. Cattle,1,6,19000,133000
Meghalaya,2003,Cattle - Property,2. Cattle,2,6,12900,37900
Mizoram,2003,Cattle - Property,2. Cattle,19,23,158199,210000
Nagaland,2003,Cattle - Property,2. Cattle,2,2,12400,12400
Odisha,2003,Cattle - Property,2. Cattle,130,196,407959,612469
Puducherry,2003,Cattle - Property,2. Cattle,3,3,3900,12100
Punjab,2003,Cattle - Property,2. Cattle,38,50,1004400,1243250
Rajasthan,2003,Cattle - Property,2. Cattle,297,649,4496450,9220750
Sikkim,2003,Cattle - Property,2. Cattle,1,1,6000,22000
Tamil Nadu,2003,Cattle - Property,2. Cattle,478,492,3669300,3829358
Tripura,2003,Cattle - Property,2. Cattle,8,14,49000,140500
Uttar Pradesh,2003,Cattle - Property,2. Cattle,251,360,3943500,4938600
Uttarakhand,2003,Cattle - Property,2. Cattle,11,23,168000,317400
West Bengal,2003,Cattle - Property,2. Cattle,52,221,327900,923275
Andaman & Nicobar Islands,2004,Cattle - Property,2. Cattle,1,1,1000,1000
Andhra Pradesh,2004,Cattle - Property,2. Cattle,443,559,6382872,8724125
Arunachal Pradesh,2004,Cattle - Property,2. Cattle,17,22,147500,221500
Assam,2004,Cattle - Property,2. Cattle,170,467,627700,1288236
Bihar,2004,Cattle - Property,2. Cattle,82,292,456957,1858425
Chandigarh,2004,Cattle - Property,2. Cattle,0,0,0,0
Chhattisgarh,2004,Cattle - Property,2. Cattle,93,245,579728,1579910
Dadra & Nagar Haveli,2004,Cattle - Property,2. Cattle,0,0,0,0
Daman & Diu,2004,Cattle - Property,2. Cattle,0,0,0,0
Delhi,2004,Cattle - Property,2. Cattle,6,29,47800,813900
Goa,2004,Cattle - Property,2. Cattle,2,2,73500,78000
Gujarat,2004,Cattle - Property,2. Cattle,122,227,905721,2909279
Haryana,2004,Cattle - Property,2. Cattle,124,171,2937700,3594000
Himachal Pradesh,2004,Cattle - Property,2. Cattle,15,20,212650,260200
Jammu & Kashmir,2004,Cattle - Property,2. Cattle,34,60,623800,1342450
Jharkhand,2004,Cattle - Property,2. Cattle,38,99,146650,363402
Karnataka,2004,Cattle - Property,2. Cattle,210,309,1769420,3365612
Kerala,2004,Cattle - Property,2. Cattle,39,66,189800,384850
Lakshadweep,2004,Cattle - Property,2. Cattle,0,0,0,0
Madhya Pradesh,2004,Cattle - Property,2. Cattle,765,1580,8500012,14877123
Maharashtra,2004,Cattle - Property,2. Cattle,477,805,3618730,7443005
Manipur,2004,Cattle - Property,2. Cattle,0,0,0,0
Meghalaya,2004,Cattle - Property,2. Cattle,4,4,57250,57250
Mizoram,2004,Cattle - Property,2. Cattle,0,0,0,0
Nagaland,2004,Cattle - Property,2. Cattle,2,5,13000,18500
Odisha,2004,Cattle - Property,2. Cattle,122,202,502900,1068186
Puducherry,2004,Cattle - Property,2. Cattle,4,4,55000,55000
Punjab,2004,Cattle - Property,2. Cattle,38,43,725200,891300
Rajasthan,2004,Cattle - Property,2. Cattle,348,589,5191432,7459930
Sikkim,2004,Cattle - Property,2. Cattle,1,1,10000,10000
Tamil Nadu,2004,Cattle - Property,2. Cattle,521,531,4540500,4658850
Tripura,2004,Cattle - Property,2. Cattle,3,9,25000,86000
Uttar Pradesh,2004,Cattle - Property,2. Cattle,382,596,6258300,8772900
Uttarakhand,2004,Cattle - Property,2. Cattle,15,28,317500,457200
West Bengal,2004,Cattle - Property,2. Cattle,47,181,220920,787650
Andaman & Nicobar Islands,2005,Cattle - Property,2. Cattle,0,0,0,0
Andhra Pradesh,2005,Cattle - Property,2. Cattle,467,609,6568443,10047783
Arunachal Pradesh,2005,Cattle - Property,2. Cattle,8,16,334000,403500
Assam,2005,Cattle - Property,2. Cattle,132,282,693900,1283000
Bihar,2005,Cattle - Property,2. Cattle,84,351,591480,2277664
Chandigarh,2005,Cattle - Property,2. Cattle,0,0,0,0
Chhattisgarh,2005,Cattle - Property,2. Cattle,101,225,1246220,2595679
Dadra & Nagar Haveli,2005,Cattle - Property,2. Cattle,0,0,0,0
Daman & Diu,2005,Cattle - Property,2. Cattle,0,0,0,0
Delhi,2005,Cattle - Property,2. Cattle,15,44,172950,1096500
Goa,2005,Cattle - Property,2. Cattle,0,0,0,0
Gujarat,2005,Cattle - Property,2. Cattle,102,189,962350,2604630
Haryana,2005,Cattle - Property,2. Cattle,133,207,4228800,5336800
Himachal Pradesh,2005,Cattle - Property,2. Cattle,13,19,359500,499500
Jammu & Kashmir,2005,Cattle - Property,2. Cattle,49,70,691500,1007500
Jharkhand,2005,Cattle - Property,2. Cattle,28,69,555490,563760
Karnataka,2005,Cattle - Property,2. Cattle,173,273,1978300,3158571
Kerala,2005,Cattle - Property,2. Cattle,48,61,223210,307310
Lakshadweep,2005,Cattle - Property,2. Cattle,0,0,0,0
Madhya Pradesh,2005,Cattle - Property,2. Cattle,606,1170,6709241,14159270
Maharashtra,2005,Cattle - Property,2. Cattle,546,874,4190179,8812636
Manipur,2005,Cattle - Property,2. Cattle,1,3,22000,37000
Meghalaya,2005,Cattle - Property,2. Cattle,7,19,75500,117700
Mizoram,2005,Cattle - Property,2. Cattle,0,0,0,0
Nagaland,2005,Cattle - Property,2. Cattle,3,6,9500,13000
Odisha,2005,Cattle - Property,2. Cattle,116,173,583479,1118952
Puducherry,2005,Cattle - Property,2. Cattle,3,3,16600,16600
Punjab,2005,Cattle - Property,2. Cattle,47,61,1063800,1378100
Rajasthan,2005,Cattle - Property,2. Cattle,285,494,5210200,10180200
Sikkim,2005,Cattle - Property,2. Cattle,0,3,0,134000
Tamil Nadu,2005,Cattle - Property,2. Cattle,418,430,3898240,4075120
Tripura,2005,Cattle - Property,2. Cattle,4,6,23000,35000
Uttar Pradesh,2005,Cattle - Property,2. Cattle,330,494,5924200,8160300
Uttarakhand,2005,Cattle - Property,2. Cattle,7,13,248000,471000
West Bengal,2005,Cattle - Property,2. Cattle,59,197,205350,782121
Andaman & Nicobar Islands,2006,Cattle - Property,2. Cattle,0,0,0,0
Andhra Pradesh,2006,Cattle - Property,2. Cattle,449,598,7594405,9928645
Arunachal Pradesh,2006,Cattle - Property,2. Cattle,19,22,155700,187200
Assam,2006,Cattle - Property,2. Cattle,139,333,688000,1401645
Bihar,2006,Cattle - Property,2. Cattle,101,296,825272,2433400
Chandigarh,2006,Cattle - Property,2. Cattle,2,2,35000,35000
Chhattisgarh,2006,Cattle - Property,2. Cattle,108,256,1132160,2092621
Dadra & Nagar Haveli,2006,Cattle - Property,2. Cattle,0,0,0,0
Daman & Diu,2006,Cattle - Property,2. Cattle,1,1,19200,19200
Delhi,2006,Cattle - Property,2. Cattle,8,23,111500,1037500
Goa,2006,Cattle - Property,2. Cattle,0,0,0,0
Gujarat,2006,Cattle - Property,2. Cattle,125,215,1120650,2266890
Haryana,2006,Cattle - Property,2. Cattle,135,195,3549500,4620600
Himachal Pradesh,2006,Cattle - Property,2. Cattle,11,16,79500,165100
Jammu & Kashmir,2006,Cattle - Property,2. Cattle,40,80,954600,1784000
Jharkhand,2006,Cattle - Property,2. Cattle,90,307,837140,2457800
Karnataka,2006,Cattle - Property,2. Cattle,180,252,2264531,3451281
Kerala,2006,Cattle - Property,2. Cattle,40,52,213150,276650
Lakshadweep,2006,Cattle - Property,2. Cattle,0,0,0,0
Madhya Pradesh,2006,Cattle - Property,2. Cattle,637,1281,7837025,14136881
Maharashtra,2006,Cattle - Property,2. Cattle,450,858,4229456,10684988
Manipur,2006,Cattle - Property,2. Cattle,2,10,43000,91600
Meghalaya,2006,Cattle - Property,2. Cattle,5,22,101700,136000
Mizoram,2006,Cattle - Property,2. Cattle,7,7,111774,111776
Nagaland,2006,Cattle - Property,2. Cattle,1,3,3500,6700
Odisha,2006,Cattle - Property,2. Cattle,90,132,331160,436850
Puducherry,2006,Cattle - Property,2. Cattle,2,2,15000,15000
Punjab,2006,Cattle - Property,2. Cattle,40,59,752200,1595000
Rajasthan,2006,Cattle - Property,2. Cattle,298,437,5587850,7182200
Sikkim,2006,Cattle - Property,2. Cattle,2,2,9000,14000
Tamil Nadu,2006,Cattle - Property,2. Cattle,283,289,2678200,2874550
Tripura,2006,Cattle - Property,2. Cattle,5,23,8000,59000
Uttar Pradesh,2006,Cattle - Property,2. Cattle,328,477,5325100,7694900
Uttarakhand,2006,Cattle - Property,2. Cattle,12,16,272000,343000
West Bengal,2006,Cattle - Property,2. Cattle,43,124,153080,1100500
Andaman & Nicobar Islands,2007,Cattle - Property,2. Cattle,0,0,0,0
Andhra Pradesh,2007,Cattle - Property,2. Cattle,483,593,8982110,11289433
Arunachal Pradesh,2007,Cattle - Property,2. Cattle,24,39,571900,1562400
Assam,2007,Cattle - Property,2. Cattle,170,392,554900,1477000
Bihar,2007,Cattle - Property,2. Cattle,67,261,542413,2239425
Chandigarh,2007,Cattle - Property,2. Cattle,1,1,30000,30000
Chhattisgarh,2007,Cattle - Property,2. Cattle,86,197,979069,1776946
Dadra & Nagar Haveli,2007,Cattle - Property,2. Cattle,0,0,0,0
Daman & Diu,2007,Cattle - Property,2. Cattle,0,0,0,0
Delhi,2007,Cattle - Property,2. Cattle,11,28,126900,795200
Goa,2007,Cattle - Property,2. Cattle,1,1,35000,35000
Gujarat,2007,Cattle - Property,2. Cattle,98,195,724200,2055690
Haryana,2007,Cattle - Property,2. Cattle,135,236,3723550,5668320
Himachal Pradesh,2007,Cattle - Property,2. Cattle,3,4,121000,131500
Jammu & Kashmir,2007,Cattle - Property,2. Cattle,40,84,640300,1435175
Jharkhand,2007,Cattle - Property,2. Cattle,66,264,1143085,1744965
Karnataka,2007,Cattle - Property,2. Cattle,181,245,2191260,3643970
Kerala,2007,Cattle - Property,2. Cattle,27,43,149650,335075
Lakshadweep,2007,Cattle - Property,2. Cattle,0,0,0,0
Madhya Pradesh,2007,Cattle - Property,2. Cattle,628,1171,11455773,19793655
Maharashtra,2007,Cattle - Property,2. Cattle,476,817,6210108,16854368
Manipur,2007,Cattle - Property,2. Cattle,2,4,16000,104000
Meghalaya,2007,Cattle - Property,2. Cattle,15,19,141500,169000
Mizoram,2007,Cattle - Property,2. Cattle,8,10,122500,166500
Nagaland,2007,Cattle - Property,2. Cattle,3,3,8000,12000
Odisha,2007,Cattle - Property,2. Cattle,83,137,27861,404310
Puducherry,2007,Cattle - Property,2. Cattle,4,4,28500,28500
Punjab,2007,Cattle - Property,2. Cattle,50,67,3442700,2477800
Rajasthan,2007,Cattle - Property,2. Cattle,261,415,5579160,7647730
Sikkim,2007,Cattle - Property,2. Cattle,1,1,10000,10000
Tamil Nadu,2007,Cattle - Property,2. Cattle,288,297,3219300,3358300
Tripura,2007,Cattle - Property,2. Cattle,14,32,158500,275000
Uttar Pradesh,2007,Cattle - Property,2. Cattle,334,509,6037500,8621500
Uttarakhand,2007,Cattle - Property,2. Cattle,14,21,319000,394000
West Bengal,2007,Cattle - Property,2. Cattle,36,82,313805,844605
Andaman & Nicobar Islands,2008,Cattle - Property,2. Cattle,2,3,28600,50600
Andhra Pradesh,2008,Cattle - Property,2. Cattle,438,511,12589120,15365950
Arunachal Pradesh,2008,Cattle - Property,2. Cattle,11,12,261500,263057
Assam,2008,Cattle - Property,2. Cattle,365,590,918830,1790180
Bihar,2008,Cattle - Property,2. Cattle,68,282,565072,1957632
Chandigarh,2008,Cattle - Property,2. Cattle,1,4,50000,135000
Chhattisgarh,2008,Cattle - Property,2. Cattle,78,182,872382,1844717
Dadra & Nagar Haveli,2008,Cattle - Property,2. Cattle,0,0,0,0
Daman & Diu,2008,Cattle - Property,2. Cattle,0,0,0,0
Delhi,2008,Cattle - Property,2. Cattle,5,22,42000,338000
Goa,2008,Cattle - Property,2. Cattle,2,4,19000,42000
Gujarat,2008,Cattle - Property,2. Cattle,119,231,1101170,3075870
Haryana,2008,Cattle - Property,2. Cattle,128,309,4436500,8906000
Himachal Pradesh,2008,Cattle - Property,2. Cattle,9,17,79200,215200
Jammu & Kashmir,2008,Cattle - Property,2. Cattle,38,67,779200,1469200
Jharkhand,2008,Cattle - Property,2. Cattle,35,88,329290,1009110
Karnataka,2008,Cattle - Property,2. Cattle,164,241,2517965,4877650
Kerala,2008,Cattle - Property,2. Cattle,28,40,135500,249000
Lakshadweep,2008,Cattle - Property,2. Cattle,0,0,0,0
Madhya Pradesh,2008,Cattle - Property,2. Cattle,592,1126,11251448,21146251
Maharashtra,2008,Cattle - Property,2. Cattle,487,896,7524974,19180448
Manipur,2008,Cattle - Property,2. Cattle,0,5,0,51000
Meghalaya,2008,Cattle - Property,2. Cattle,10,13,78500,168100
Mizoram,2008,Cattle - Property,2. Cattle,11,11,148800,148800
Nagaland,2008,Cattle - Property,2. Cattle,1,1,1500,1500
Odisha,2008,Cattle - Property,2. Cattle,79,149,426625,771610
Puducherry,2008,Cattle - Property,2. Cattle,6,7,148000,158000
Punjab,2008,Cattle - Property,2. Cattle,57,100,2456042,4672269
Rajasthan,2008,Cattle - Property,2. Cattle,256,424,8042500,10633600
Sikkim,2008,Cattle - Property,2. Cattle,0,0,0,0
Tamil Nadu,2008,Cattle - Property,2. Cattle,297,317,2968050,3174100
Tripura,2008,Cattle - Property,2. Cattle,14,24,129000,189900
Uttar Pradesh,2008,Cattle - Property,2. Cattle,427,696,10036300,13669900
Uttarakhand,2008,Cattle - Property,2. Cattle,24,44,3209500,6882500
West Bengal,2008,Cattle - Property,2. Cattle,37,106,194578,451264
Andaman & Nicobar Islands,2009,Cattle - Property,2. Cattle,0,0,0,0
Andhra Pradesh,2009,Cattle - Property,2. Cattle,435,556,12262020,17689820
Arunachal Pradesh,2009,Cattle - Property,2. Cattle,16,20,972300,982800
Assam,2009,Cattle - Property,2. Cattle,323,622,2158100,4290476
Bihar,2009,Cattle - Property,2. Cattle,79,257,771390,3170331
Chandigarh,2009,Cattle - Property,2. Cattle,0,1,0,25000
Chhattisgarh,2009,Cattle - Property,2. Cattle,60,163,1455030,3711630
Dadra & Nagar Haveli,2009,Cattle - Property,2. Cattle,0,0,0,0
Daman & Diu,2009,Cattle - Property,2. Cattle,0,0,0,0
Delhi,2009,Cattle - Property,2. Cattle,6,38,320000,1640000
Goa,2009,Cattle - Property,2. Cattle,2,2,40000,40000
Gujarat,2009,Cattle - Property,2. Cattle,99,217,1508600,4401540
Haryana,2009,Cattle - Property,2. Cattle,115,302,4041500,8571500
Himachal Pradesh,2009,Cattle - Property,2. Cattle,4,6,49500,111500
Jammu & Kashmir,2009,Cattle - Property,2. Cattle,42,73,890650,1783050
Jharkhand,2009,Cattle - Property,2. Cattle,25,53,231580,499040
Karnataka,2009,Cattle - Property,2. Cattle,154,244,3071240,4863072
Kerala,2009,Cattle - Property,2. Cattle,19,29,136500,273500
Lakshadweep,2009,Cattle - Property,2. Cattle,0,0,0,0
Madhya Pradesh,2009,Cattle - Property,2. Cattle,583,1033,12559187,21660806
Maharashtra,2009,Cattle - Property,2. Cattle,464,848,11026564,22774016
Manipur,2009,Cattle - Property,2. Cattle,2,14,45000,438500
Meghalaya,2009,Cattle - Property,2. Cattle,9,16,152900,265900
Mizoram,2009,Cattle - Property,2. Cattle,24,32,2909892,5346206
Nagaland,2009,Cattle - Property,2. Cattle,3,6,13600,56600
Odisha,2009,Cattle - Property,2. Cattle,77,112,672878,916658
Puducherry,2009,Cattle - Property,2. Cattle,4,4,23200,23200
Punjab,2009,Cattle - Property,2. Cattle,37,64,1059780,2835279
Rajasthan,2009,Cattle - Property,2. Cattle,238,471,7191700,11567910
Sikkim,2009,Cattle - Property,2. Cattle,0,0,0,0
Tamil Nadu,2009,Cattle - Property,2. Cattle,386,431,4466200,5211300
Tripura,2009,Cattle - Property,2. Cattle,15,27,118000,222000
Uttar Pradesh,2009,Cattle - Property,2. Cattle,473,818,11587600,18467935
Uttarakhand,2009,Cattle - Property,2. Cattle,22,31,376000,499000
West Bengal,2009,Cattle - Property,2. Cattle,17,81,137000,541350
Andaman & Nicobar Islands,2010,Cattle - Property,2. Cattle,2,2,16000,16000
Andhra Pradesh,2010,Cattle - Property,2. Cattle,387,476,10429060,12249530
Arunachal Pradesh,2010,Cattle - Property,2. Cattle,21,34,906370,1748700
Assam,2010,Cattle - Property,2. Cattle,142,346,4955130,6283060
Bihar,2010,Cattle - Property,2. Cattle,73,272,1076460,3895005
Chandigarh,2010,Cattle - Property,2. Cattle,2,5,202000,304000
Chhattisgarh,2010,Cattle - Property,2. Cattle,64,187,1098000,3561800
Dadra & Nagar Haveli,2010,Cattle - Property,2. Cattle,0,0,0,0
Daman & Diu,2010,Cattle - Property,2. Cattle,0,0,0,0
Delhi,2010,Cattle - Property,2. Cattle,1,24,172000,1487000
Goa,2010,Cattle - Property,2. Cattle,4,4,76000,76000
Gujarat,2010,Cattle - Property,2. Cattle,80,197,1209020,4081020
Haryana,2010,Cattle - Property,2. Cattle,107,405,3715000,11383600
Himachal Pradesh,2010,Cattle - Property,2. Cattle,18,20,477000,539500
Jammu & Kashmir,2010,Cattle - Property,2. Cattle,33,67,1033550,1686050
Jharkhand,2010,Cattle - Property,2. Cattle,17,85,284365,2627625
Karnataka,2010,Cattle - Property,2. Cattle,181,246,4361813,6089440
Kerala,2010,Cattle - Property,2. Cattle,26,34,221200,394200
Lakshadweep,2010,Cattle - Property,2. Cattle,0,0,0,0
Madhya Pradesh,2010,Cattle - Property,2. Cattle,520,931,16377598,27403665
Maharashtra,2010,Cattle - Property,2. Cattle,372,747,6452139,25097573
Manipur,2010,Cattle - Property,2. Cattle,2,11,75000,264800
Meghalaya,2010,Cattle - Property,2. Cattle,3,7,61000,130000
Mizoram,2010,Cattle - Property,2. Cattle,12,13,54800,54800
Nagaland,2010,Cattle - Property,2. Cattle,1,5,17000,92000
Odisha,2010,Cattle - Property,2. Cattle,53,81,890585,2835545
Puducherry,2010,Cattle - Property,2. Cattle,3,3,7500,7500
Punjab,2010,Cattle - Property,2. Cattle,49,107,2341700,6045200
Rajasthan,2010,Cattle - Property,2. Cattle,212,416,8199600,12924900
Sikkim,2010,Cattle - Property,2. Cattle,0,1,0,25000
Tamil Nadu,2010,Cattle - Property,2. Cattle,347,387,4526955,5192634
Tripura,2010,Cattle - Property,2. Cattle,13,26,286000,625000
Uttar Pradesh,2010,Cattle - Property,2. Cattle,457,750,14040600,21915300
Uttarakhand,2010,Cattle - Property,2. Cattle,25,31,785000,960000
West Bengal,2010,Cattle - Property,2. Cattle,78,215,307820,1194845
Andaman & Nicobar Islands,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,2,4,3600,18560
Andhra Pradesh,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,543,910,8760016,12225763
Arunachal Pradesh,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,10,46,203800,1544330
Assam,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,45,131,780934,3135245
Bihar,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,70,378,546668,3805708
Chandigarh,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,0,4,0,19400
Chhattisgarh,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,59,294,960450,2679885
Dadra & Nagar Haveli,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,6,7,348792,357392
Daman & Diu,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,2,8,129500,420193
Delhi,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,11,46,10800,1538695
Goa,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,4,29,55000,510218
Gujarat,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,137,530,738140,5101035
Haryana,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,274,819,3401993,15528710
Himachal Pradesh,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,23,95,402062,2087659
Jammu & Kashmir,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,6,28,80000,173150
Jharkhand,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,78,291,1189782,5065919
Karnataka,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,179,701,961899,5345576
Kerala,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,39,139,291650,2199785
Lakshadweep,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,0,0,0,0
Madhya Pradesh,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,244,944,2080893,9066375
Maharashtra,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,301,1862,5770996,36872564
Manipur,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,2,34,61751,974398
Meghalaya,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,7,14,245800,373300
Mizoram,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,14,15,180805,269735
Nagaland,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,2,14,117380,406390
Odisha,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,133,318,1846408,4061295
