states_uts,district,year,murder,attempt_to_commit_murder,culpable_homicide_not_amounting_to_murder,attempt_to_commit_culpable_homicide,rape,custodial_rape,custodial_gang_rape,custodial_other_rape,rape_other_than_custodial,rape_gang_rape,rape_others,attempt_to_commit_rape,kidnapping_abduction_total,kidnapping_abduction,kidnapping_abduction_in_order_to_murder,kidnapping_for_ransom,kidnapping_abduction_of_women_to_compel_her_for_marriage,other_kidnapping,dacoity,dacoity_with_murder,other_dacoity,making_preparation_and_assembly_for_committing_dacoity,robbery,criminal_trespass_burglary,criminal_trespass_or_burglary,house_trespass_house_breaking,theft,auto_theft,other_thefts,unlawful_assembly,riots,riots_communal,riots_industrial,riots_political,riots_caste_conflict,riots_sc_sts_vs_non_scs_sts,riots_other_caste_conflict,riots_agrarian,riots_students,riots_sectarian,riots_others,criminal_breach_of_trust,cheating,forgery,counterfeiting,counterfeit_offences_related_to_counterfeit_coin,counterfeiting_government_stamp,counterfeit_currency_bank_notes,counterfeiting_currency_notes_bank_notes,using_forged_or_counterfeiting_currency_bank_notes,possession_of_forged_or_counterfeiting_currency_bank_notes,making_or_possessing_materials_for_forged_currency_bank_notes,making_or_using_documents_resembling_currency,arson,grievous_hurt,hurt,acid_attack,attempt_to_acid_attack,dowry_deaths,assault_on_women_with_intent_to_outrage_her_modesty,sexual_harassment,assault_or_use_of_criminal_force_to_women_with_intent_to_disrobe,voyeurism,stalking,other_assault_on_women,insult_to_the_modesty_of_women,at_office_premises,other_places_related_to_work,in_public_transport_system,places_other_than_231_232_233,cruelty_by_husband_or_his_relatives,importation_of_girls_from_foreign_country,causing_death_by_negligence,deaths_due_to_negligent_driving_act,deaths_due_to_other_causes,offences_against_state,sedition,other_offences_against_state,offences_promoting_enmity_between_different_groups,promoting_enmity_between_different_groups,imputation_assertions_prejudicial_to_national_integration,extortion,disclosure_of_identity_of_victims,incidence_of_rash_driving,humantrafficking,unnatural_offence,other_ipc_crimes,total_cognizable_ipc_crimes
Andhra Pradesh,Vijayawada City,2014,23,45,1,1,64,0,0,0,64,0,64,4,42,13,1,1,11,16,3,1,2,0,48,345,106,239,2016,685,1331,25,2,0,0,0,0,0,0,0,0,0,2,68,391,46,12,0,false,12,0,12,0,0,0,21,25,25,0,0,10,279,40,15,9,91,124,212,0,0,1,211,642,0,312,312,0,1,1,0,2,2,0,34,0,1366,1,0,1835,7876
Andhra Pradesh,Vijayawada Railway,2014,1,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7,0,0,0,1085,3,1082,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,39,0,false,39,0,39,0,0,0,0,0,0,0,0,2,8,4,0,1,0,3,6,0,4,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,59,1223
Andhra Pradesh,Visakha Rural,2014,43,50,4,0,38,0,0,0,38,0,38,0,24,18,0,0,2,4,5,0,5,0,5,88,88,0,179,57,122,0,14,0,1,4,2,2,0,0,0,0,7,6,90,2,6,6,false,0,0,0,0,0,0,23,33,33,0,0,4,129,35,13,1,6,74,57,0,0,0,57,166,0,308,308,0,0,0,0,0,0,0,11,0,507,0,0,1236,3028
Andhra Pradesh,Visakhapatnam,2014,38,57,0,0,84,0,0,0,84,0,84,0,130,130,0,0,0,0,4,0,4,0,46,392,334,58,1358,401,957,0,3,0,0,3,0,0,0,0,0,0,0,71,413,3,7,0,false,7,7,0,0,0,0,14,64,63,1,0,13,147,50,0,0,27,70,112,0,0,0,112,371,0,360,353,7,0,0,0,0,0,0,8,0,1831,0,0,2202,7728
Andhra Pradesh,Vizianagaram,2014,43,23,1,0,47,0,0,0,47,1,46,1,27,0,0,0,0,27,2,0,2,0,4,176,0,176,388,92,296,0,13,0,0,0,0,0,0,0,0,0,13,14,149,0,1,0,false,1,1,0,0,0,0,13,41,41,0,0,8,225,0,0,0,0,225,327,0,0,0,327,330,0,272,272,0,0,0,0,0,0,0,5,0,913,0,0,1990,5013
Andhra Pradesh,West Godavari,2014,90,85,4,0,146,0,0,0,146,1,145,46,67,29,0,0,8,30,4,0,4,1,32,468,359,109,1096,353,743,3,26,4,0,3,0,0,0,0,0,0,19,52,410,13,14,0,false,14,1,9,4,0,0,36,52,51,1,0,24,405,126,72,12,32,163,99,0,1,0,98,661,0,614,608,6,0,0,0,14,14,0,49,0,1165,0,0,2866,8542
Andhra Pradesh,Total,2014,1175,1540,52,1,961,0,0,0,961,14,947,165,1066,355,5,7,274,425,75,1,74,1,433,4719,3510,1209,15617,4540,11077,59,1013,10,1,139,19,19,0,0,0,0,844,935,5091,199,162,6,false,156,41,102,12,1,0,450,597,589,5,3,215,4547,1072,334,71,504,2566,2649,3,84,65,2497,6362,0,7379,7260,119,1,1,0,21,21,0,276,0,14653,2,1,44187,114604
Arunachal Pradesh,Anjaw,2014,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,6,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,false,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,12,29
Arunachal Pradesh,Changlang,2014,9,3,0,0,6,0,0,0,6,0,6,0,11,0,0,0,6,5,1,0,1,0,5,18,18,0,50,4,46,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,false,0,0,0,0,0,0,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,24,0,9,0,0,23,180
Arunachal Pradesh,Crime Branch,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Arunachal Pradesh,Dibang Valley,2014,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
Arunachal Pradesh,Kameng East,2014,4,1,0,0,1,0,0,0,1,0,1,0,7,0,0,1,0,6,2,0,2,0,4,8,0,8,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,false,0,0,0,0,0,0,2,18,18,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,66,148
Arunachal Pradesh,Kameng West,2014,7,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,1,0,1,0,3,4,4,0,21,10,11,0,8,0,0,8,0,0,0,0,0,0,0,3,3,0,0,0,false,0,0,0,0,0,0,5,8,8,0,0,0,9,8,0,0,1,0,0,0,0,0,0,2,0,10,10,0,0,0,0,0,0,0,1,0,15,0,0,35,140
Arunachal Pradesh,Kukung Kumey,2014,4,1,0,0,3,1,0,1,2,0,2,0,2,0,0,0,0,2,0,0,0,0,0,5,5,0,5,1,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,false,0,0,0,0,0,0,1,10,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,49
Arunachal Pradesh,Lohit,2014,10,4,0,0,7,0,0,0,7,0,7,0,25,0,0,0,0,25,1,0,1,0,8,32,32,0,39,6,33,0,3,0,0,0,0,0,0,0,0,0,3,2,5,0,1,0,false,1,1,0,0,0,0,2,16,16,0,0,0,13,0,0,0,0,13,0,0,0,0,0,1,0,16,16,0,0,0,0,0,0,0,6,0,0,0,0,89,280
Arunachal Pradesh,Longding,2014,4,3,1,0,3,3,0,3,0,0,0,0,9,5,0,0,4,0,1,0,1,0,1,9,9,0,5,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,13,13,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,8,0,0,0,0,29,92
Arunachal Pradesh,Lower Dibang Valley,2014,2,5,0,0,3,0,0,0,3,0,3,0,4,4,0,0,0,0,1,0,1,0,1,10,10,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,false,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,0,4,0,0,5,75
Arunachal Pradesh,Papum Pare City,2014,13,5,1,0,32,0,0,0,32,2,30,2,52,35,0,2,1,14,0,0,0,0,11,36,16,20,154,105,49,0,6,0,0,0,0,0,0,0,4,0,2,8,49,7,0,0,false,0,0,0,0,0,0,3,42,42,0,0,1,26,1,0,0,0,25,0,0,0,0,0,21,0,22,21,1,0,0,0,0,0,0,30,0,29,0,0,111,661
