area_name,year,group_name,sub_group_name,trial_of_violent_crimes_by_courts_by_confession,trial_of_violent_crimes_by_courts_by_trial,trial_of_violent_crimes_by_courts_total
Himachal Pradesh,2007,TVC- Arson,10. Arson,0,37,37
Jammu & Kashmir,2007,TVC- Arson,10. Arson,0,45,45
Jharkhand,2007,TVC- Arson,10. Arson,,102,102
Karnataka,2007,TVC- Arson,10. Arson,1,146,147
Kerala,2007,TVC- Arson,10. Arson,,70,70
Madhya Pradesh,2007,TVC- Arson,10. Arson,0,615,615
Maharashtra,2007,TVC- Arson,10. Arson,0,600,600
Manipur,2007,TVC- Arson,10. Arson,0,0,0
Meghalaya,2007,TVC- Arson,10. Arson,1,4,5
Mizoram,2007,TVC- Arson,10. Arson,0,18,18
Nagaland,2007,TVC- Arson,10. Arson,0,0,0
Odisha,2007,TVC- Arson,10. Arson,0,159,159
Puducherry,2007,TVC- Arson,10. Arson,,9,9
Punjab,2007,TVC- Arson,10. Arson,,26,26
Rajasthan,2007,TVC- Arson,10. Arson,,299,299
Sikkim,2007,TVC- Arson,10. Arson,,1,1
Tamil Nadu,2007,TVC- Arson,10. Arson,0,288,288
Tripura,2007,TVC- Arson,10. Arson,,92,92
Uttar Pradesh,2007,TVC- Arson,10. Arson,,261,261
Uttarakhand,2007,TVC- Arson,10. Arson,,20,20
West Bengal,2007,TVC- Arson,10. Arson,0,124,124
Andaman & Nicobar Islands,2008,TVC- Arson,10. Arson,,2,2
Andhra Pradesh,2008,TVC- Arson,10. Arson,0,651,651
Arunachal Pradesh,2008,TVC- Arson,10. Arson,0,0,0
Assam,2008,TVC- Arson,10. Arson,3,138,141
Bihar,2008,TVC- Arson,10. Arson,0,418,418
Chandigarh,2008,TVC- Arson,10. Arson,,2,2
Chhattisgarh,2008,TVC- Arson,10. Arson,31,81,112
Dadra & Nagar Haveli,2008,TVC- Arson,10. Arson,,2,2
Daman & Diu,2008,TVC- Arson,10. Arson,,1,1
Delhi,2008,TVC- Arson,10. Arson,,4,4
Goa,2008,TVC- Arson,10. Arson,,4,4
Gujarat,2008,TVC- Arson,10. Arson,5,206,211
Haryana,2008,TVC- Arson,10. Arson,0,118,118
Himachal Pradesh,2008,TVC- Arson,10. Arson,0,46,46
Jammu & Kashmir,2008,TVC- Arson,10. Arson,0,23,23
Jharkhand,2008,TVC- Arson,10. Arson,3,68,71
Karnataka,2008,TVC- Arson,10. Arson,5,192,197
Kerala,2008,TVC- Arson,10. Arson,,136,136
Madhya Pradesh,2008,TVC- Arson,10. Arson,,621,621
Maharashtra,2008,TVC- Arson,10. Arson,0,698,698
Manipur,2008,TVC- Arson,10. Arson,0,0,0
Meghalaya,2008,TVC- Arson,10. Arson,0,10,10
