area_name,year,group_name,age_18_25_yrs,age_25_35_yrs,age_35_45_yrs,age_45_55_yrs,age_above_55_yrs,age_total
Haryana,2005,Natural Deaths of Policemen while in Service,1,7,29,55,4,96
Himachal Pradesh,2005,Natural Deaths of Policemen while in Service,0,1,7,10,1,19
Jammu & Kashmir,2005,Natural Deaths of Policemen while in Service,1,7,5,6,1,20
Jharkhand,2005,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Karnataka,2005,Natural Deaths of Policemen while in Service,2,20,37,72,18,149
Kerala,2005,Natural Deaths of Policemen while in Service,0,2,15,28,0,45
Lakshadweep,2005,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Madhya Pradesh,2005,Natural Deaths of Policemen while in Service,1,14,47,42,9,113
Maharashtra,2005,Natural Deaths of Policemen while in Service,5,44,116,198,30,393
Manipur,2005,Natural Deaths of Policemen while in Service,0,1,9,5,4,19
Meghalaya,2005,Natural Deaths of Policemen while in Service,0,1,14,1,0,16
Mizoram,2005,Natural Deaths of Policemen while in Service,0,2,8,0,0,10
Nagaland,2005,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Odisha,2005,Natural Deaths of Policemen while in Service,0,1,10,11,3,25
Puducherry,2005,Natural Deaths of Policemen while in Service,0,0,5,5,1,11
Punjab,2005,Natural Deaths of Policemen while in Service,2,32,65,52,16,167
Rajasthan,2005,Natural Deaths of Policemen while in Service,1,9,23,24,12,69
Sikkim,2005,Natural Deaths of Policemen while in Service,0,2,1,5,0,8
Tamil Nadu,2005,Natural Deaths of Policemen while in Service,0,8,45,105,33,191
Tripura,2005,Natural Deaths of Policemen while in Service,1,11,14,15,12,53
Uttar Pradesh,2005,Natural Deaths of Policemen while in Service,0,7,44,49,20,120
Uttarakhand,2005,Natural Deaths of Policemen while in Service,0,0,6,7,0,13
West Bengal,2005,Natural Deaths of Policemen while in Service,3,7,28,102,65,205
Andaman & Nicobar Islands,2006,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Andhra Pradesh,2006,Natural Deaths of Policemen while in Service,4,32,86,158,31,311
Arunachal Pradesh,2006,Natural Deaths of Policemen while in Service,0,0,0,2,0,2
Assam,2006,Natural Deaths of Policemen while in Service,0,2,7,4,1,14
Bihar,2006,Natural Deaths of Policemen while in Service,1,5,56,186,18,266
Chandigarh,2006,Natural Deaths of Policemen while in Service,0,0,9,6,2,17
Chhattisgarh,2006,Natural Deaths of Policemen while in Service,6,10,17,19,10,62
Dadra & Nagar Haveli,2006,Natural Deaths of Policemen while in Service,0,0,0,1,0,1
Daman & Diu,2006,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Delhi,2006,Natural Deaths of Policemen while in Service,1,11,49,60,21,142
Goa,2006,Natural Deaths of Policemen while in Service,0,1,2,7,1,11
Gujarat,2006,Natural Deaths of Policemen while in Service,4,19,49,67,9,148
Haryana,2006,Natural Deaths of Policemen while in Service,2,12,28,41,4,87
Himachal Pradesh,2006,Natural Deaths of Policemen while in Service,0,2,8,6,0,16
Jammu & Kashmir,2006,Natural Deaths of Policemen while in Service,0,8,6,4,0,18
Jharkhand,2006,Natural Deaths of Policemen while in Service,2,7,7,18,8,42
Karnataka,2006,Natural Deaths of Policemen while in Service,5,13,35,69,21,143
Kerala,2006,Natural Deaths of Policemen while in Service,0,2,12,37,3,54
Lakshadweep,2006,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Madhya Pradesh,2006,Natural Deaths of Policemen while in Service,1,13,33,56,12,115
Maharashtra,2006,Natural Deaths of Policemen while in Service,0,30,120,169,17,336
Manipur,2006,Natural Deaths of Policemen while in Service,0,2,5,4,1,12
Meghalaya,2006,Natural Deaths of Policemen while in Service,0,6,7,10,0,23
Mizoram,2006,Natural Deaths of Policemen while in Service,0,4,12,2,2,20
Nagaland,2006,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Odisha,2006,Natural Deaths of Policemen while in Service,0,3,4,10,0,17
Puducherry,2006,Natural Deaths of Policemen while in Service,0,0,3,8,2,13
Punjab,2006,Natural Deaths of Policemen while in Service,0,35,73,59,1,168
Rajasthan,2006,Natural Deaths of Policemen while in Service,2,13,30,43,6,94
Sikkim,2006,Natural Deaths of Policemen while in Service,0,2,1,5,0,8
Tamil Nadu,2006,Natural Deaths of Policemen while in Service,0,16,68,130,37,251
Tripura,2006,Natural Deaths of Policemen while in Service,0,0,6,11,3,20
Uttar Pradesh,2006,Natural Deaths of Policemen while in Service,1,9,55,38,15,118
Uttarakhand,2006,Natural Deaths of Policemen while in Service,0,2,6,7,3,18
West Bengal,2006,Natural Deaths of Policemen while in Service,1,9,29,94,88,221
Andaman & Nicobar Islands,2007,Natural Deaths of Policemen while in Service,0,0,2,2,0,4
Andhra Pradesh,2007,Natural Deaths of Policemen while in Service,2,19,68,118,34,241
Arunachal Pradesh,2007,Natural Deaths of Policemen while in Service,0,0,2,1,0,3
Assam,2007,Natural Deaths of Policemen while in Service,0,9,7,4,1,21
Bihar,2007,Natural Deaths of Policemen while in Service,0,11,25,55,21,112
Chandigarh,2007,Natural Deaths of Policemen while in Service,0,0,8,3,2,13
Chhattisgarh,2007,Natural Deaths of Policemen while in Service,3,2,22,17,6,50
Dadra & Nagar Haveli,2007,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Daman & Diu,2007,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Delhi,2007,Natural Deaths of Policemen while in Service,3,3,133,42,16,197
Goa,2007,Natural Deaths of Policemen while in Service,2,3,2,5,0,12
Gujarat,2007,Natural Deaths of Policemen while in Service,2,18,54,64,17,155
Haryana,2007,Natural Deaths of Policemen while in Service,1,9,34,49,5,98
Himachal Pradesh,2007,Natural Deaths of Policemen while in Service,0,4,9,7,2,22
Jammu & Kashmir,2007,Natural Deaths of Policemen while in Service,0,5,6,9,0,20
Jharkhand,2007,Natural Deaths of Policemen while in Service,6,1,18,13,3,41
Karnataka,2007,Natural Deaths of Policemen while in Service,2,13,29,49,27,120
Kerala,2007,Natural Deaths of Policemen while in Service,0,2,11,47,0,60
Lakshadweep,2007,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Madhya Pradesh,2007,Natural Deaths of Policemen while in Service,4,11,37,50,27,129
Maharashtra,2007,Natural Deaths of Policemen while in Service,2,17,79,97,17,212
Manipur,2007,Natural Deaths of Policemen while in Service,0,2,3,0,0,5
Meghalaya,2007,Natural Deaths of Policemen while in Service,0,1,0,1,0,2
Mizoram,2007,Natural Deaths of Policemen while in Service,0,2,2,6,3,13
Nagaland,2007,Natural Deaths of Policemen while in Service,0,5,0,1,0,6
Odisha,2007,Natural Deaths of Policemen while in Service,0,0,2,11,2,15
Puducherry,2007,Natural Deaths of Policemen while in Service,0,0,2,3,4,9
Punjab,2007,Natural Deaths of Policemen while in Service,1,22,41,59,13,136
Rajasthan,2007,Natural Deaths of Policemen while in Service,0,16,21,38,12,87
Sikkim,2007,Natural Deaths of Policemen while in Service,0,0,2,1,0,3
Tamil Nadu,2007,Natural Deaths of Policemen while in Service,1,13,64,121,40,239
Tripura,2007,Natural Deaths of Policemen while in Service,1,0,10,19,4,34
Uttar Pradesh,2007,Natural Deaths of Policemen while in Service,9,19,46,103,52,229
Uttarakhand,2007,Natural Deaths of Policemen while in Service,0,3,4,8,2,17
West Bengal,2007,Natural Deaths of Policemen while in Service,0,3,17,39,39,98
Andaman & Nicobar Islands,2008,Natural Deaths of Policemen while in Service,0,2,1,0,0,3
Andhra Pradesh,2008,Natural Deaths of Policemen while in Service,1,14,61,67,18,161
Arunachal Pradesh,2008,Natural Deaths of Policemen while in Service,0,0,1,4,1,6
Assam,2008,Natural Deaths of Policemen while in Service,0,0,2,1,1,4
Bihar,2008,Natural Deaths of Policemen while in Service,6,7,32,56,19,120
Chandigarh,2008,Natural Deaths of Policemen while in Service,0,0,5,4,0,9
Chhattisgarh,2008,Natural Deaths of Policemen while in Service,3,3,13,16,4,39
Dadra & Nagar Haveli,2008,Natural Deaths of Policemen while in Service,0,0,2,0,0,2
Daman & Diu,2008,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Delhi,2008,Natural Deaths of Policemen while in Service,1,4,56,61,28,150
Goa,2008,Natural Deaths of Policemen while in Service,0,1,4,5,3,13
Gujarat,2008,Natural Deaths of Policemen while in Service,0,17,51,85,8,161
Haryana,2008,Natural Deaths of Policemen while in Service,0,1,5,12,1,19
Himachal Pradesh,2008,Natural Deaths of Policemen while in Service,0,1,5,3,0,9
Jammu & Kashmir,2008,Natural Deaths of Policemen while in Service,0,1,8,13,1,23
Jharkhand,2008,Natural Deaths of Policemen while in Service,1,2,12,17,3,35
Karnataka,2008,Natural Deaths of Policemen while in Service,2,11,32,61,19,125
Kerala,2008,Natural Deaths of Policemen while in Service,0,1,13,49,0,63
Lakshadweep,2008,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Madhya Pradesh,2008,Natural Deaths of Policemen while in Service,2,7,18,50,21,98
Maharashtra,2008,Natural Deaths of Policemen while in Service,4,20,78,91,14,207
Manipur,2008,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Meghalaya,2008,Natural Deaths of Policemen while in Service,0,0,4,4,1,9
Mizoram,2008,Natural Deaths of Policemen while in Service,0,1,2,2,0,5
Nagaland,2008,Natural Deaths of Policemen while in Service,1,0,2,0,1,4
Odisha,2008,Natural Deaths of Policemen while in Service,0,1,10,17,5,33
Puducherry,2008,Natural Deaths of Policemen while in Service,0,0,4,2,2,8
Punjab,2008,Natural Deaths of Policemen while in Service,1,18,57,80,5,161
Rajasthan,2008,Natural Deaths of Policemen while in Service,2,9,19,36,17,83
Sikkim,2008,Natural Deaths of Policemen while in Service,1,4,6,1,0,12
Tamil Nadu,2008,Natural Deaths of Policemen while in Service,1,10,46,105,29,191
Tripura,2008,Natural Deaths of Policemen while in Service,0,2,2,17,8,29
Uttar Pradesh,2008,Natural Deaths of Policemen while in Service,3,14,83,143,76,319
Uttarakhand,2008,Natural Deaths of Policemen while in Service,0,1,3,6,0,10
West Bengal,2008,Natural Deaths of Policemen while in Service,1,12,36,40,42,131
Andaman & Nicobar Islands,2009,Natural Deaths of Policemen while in Service,0,2,3,8,0,13
Andhra Pradesh,2009,Natural Deaths of Policemen while in Service,4,24,72,82,22,204
Arunachal Pradesh,2009,Natural Deaths of Policemen while in Service,0,0,1,0,0,1
Assam,2009,Natural Deaths of Policemen while in Service,0,0,5,7,4,16
Bihar,2009,Natural Deaths of Policemen while in Service,1,6,18,45,21,91
Chandigarh,2009,Natural Deaths of Policemen while in Service,1,0,8,11,0,20
Chhattisgarh,2009,Natural Deaths of Policemen while in Service,2,5,17,20,3,47
Dadra & Nagar Haveli,2009,Natural Deaths of Policemen while in Service,0,0,0,1,0,1
Daman & Diu,2009,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Delhi,2009,Natural Deaths of Policemen while in Service,6,11,53,77,31,178
Goa,2009,Natural Deaths of Policemen while in Service,1,3,5,3,0,12
Gujarat,2009,Natural Deaths of Policemen while in Service,1,8,48,93,7,157
Haryana,2009,Natural Deaths of Policemen while in Service,0,11,21,40,5,77
Himachal Pradesh,2009,Natural Deaths of Policemen while in Service,0,0,2,3,1,6
Jammu & Kashmir,2009,Natural Deaths of Policemen while in Service,2,7,13,9,7,38
Jharkhand,2009,Natural Deaths of Policemen while in Service,0,8,9,15,9,41
Karnataka,2009,Natural Deaths of Policemen while in Service,2,14,26,67,52,161
Kerala,2009,Natural Deaths of Policemen while in Service,0,6,24,54,0,84
Lakshadweep,2009,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Madhya Pradesh,2009,Natural Deaths of Policemen while in Service,4,6,38,48,12,108
Maharashtra,2009,Natural Deaths of Policemen while in Service,3,19,88,190,19,319
Manipur,2009,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Meghalaya,2009,Natural Deaths of Policemen while in Service,0,1,2,3,0,6
Mizoram,2009,Natural Deaths of Policemen while in Service,0,0,1,1,0,2
Nagaland,2009,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Odisha,2009,Natural Deaths of Policemen while in Service,0,6,10,18,7,41
Puducherry,2009,Natural Deaths of Policemen while in Service,0,0,0,6,3,9
Punjab,2009,Natural Deaths of Policemen while in Service,0,33,89,65,6,193
Rajasthan,2009,Natural Deaths of Policemen while in Service,3,10,32,39,16,100
Sikkim,2009,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Tamil Nadu,2009,Natural Deaths of Policemen while in Service,0,15,54,115,35,219
Tripura,2009,Natural Deaths of Policemen while in Service,2,2,9,8,3,24
Uttar Pradesh,2009,Natural Deaths of Policemen while in Service,1,16,84,177,98,376
Uttarakhand,2009,Natural Deaths of Policemen while in Service,2,4,3,14,1,24
West Bengal,2009,Natural Deaths of Policemen while in Service,0,3,8,49,28,88
Andaman & Nicobar Islands,2010,Natural Deaths of Policemen while in Service,0,2,13,3,1,19
Andhra Pradesh,2010,Natural Deaths of Policemen while in Service,2,25,63,84,25,199
Arunachal Pradesh,2010,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Assam,2010,Natural Deaths of Policemen while in Service,0,0,9,7,2,18
Bihar,2010,Natural Deaths of Policemen while in Service,0,3,23,38,30,94
Chandigarh,2010,Natural Deaths of Policemen while in Service,0,1,6,7,1,15
Chhattisgarh,2010,Natural Deaths of Policemen while in Service,7,15,18,24,4,68
Dadra & Nagar Haveli,2010,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Daman & Diu,2010,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Delhi,2010,Natural Deaths of Policemen while in Service,0,12,50,83,35,180
Goa,2010,Natural Deaths of Policemen while in Service,0,2,3,3,2,10
Gujarat,2010,Natural Deaths of Policemen while in Service,4,15,36,92,19,166
Haryana,2010,Natural Deaths of Policemen while in Service,0,3,20,30,2,55
Himachal Pradesh,2010,Natural Deaths of Policemen while in Service,0,0,4,7,1,12
Jammu & Kashmir,2010,Natural Deaths of Policemen while in Service,0,7,10,11,3,31
Jharkhand,2010,Natural Deaths of Policemen while in Service,1,12,17,26,9,65
Karnataka,2010,Natural Deaths of Policemen while in Service,1,15,31,56,33,136
Kerala,2010,Natural Deaths of Policemen while in Service,0,3,6,49,0,58
Lakshadweep,2010,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Madhya Pradesh,2010,Natural Deaths of Policemen while in Service,0,13,33,79,28,153
Maharashtra,2010,Natural Deaths of Policemen while in Service,5,33,106,140,21,305
Manipur,2010,Natural Deaths of Policemen while in Service,1,1,6,0,6,14
Meghalaya,2010,Natural Deaths of Policemen while in Service,0,12,8,10,0,30
Mizoram,2010,Natural Deaths of Policemen while in Service,0,0,4,3,2,9
Nagaland,2010,Natural Deaths of Policemen while in Service,0,2,0,1,1,4
Odisha,2010,Natural Deaths of Policemen while in Service,0,4,17,21,9,51
Puducherry,2010,Natural Deaths of Policemen while in Service,0,0,0,11,1,12
Punjab,2010,Natural Deaths of Policemen while in Service,0,21,99,62,19,201
Rajasthan,2010,Natural Deaths of Policemen while in Service,3,13,37,37,12,102
Sikkim,2010,Natural Deaths of Policemen while in Service,1,3,5,7,1,17
Tamil Nadu,2010,Natural Deaths of Policemen while in Service,2,31,47,137,30,247
