state_ut,crime_head,male_below_18_years,female_below_18_years,male_between_18_30_years,female_between_18_30_years,male_between_30_45_years,female_between_30_45_years,male_between_45_60_years,female_between_45_60_years,male_above_60_years,female_above_60_years,male_total,female_total,grand_total
MAHARASHTRA,"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",0,4,522,271,415,217,100,60,22,10,1059,562,1621
MANIPUR,"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",0,0,4,4,2,8,0,1,1,0,7,13,20
MIZORAM,"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",0,0,8,13,4,1,0,0,0,0,12,14,26
ODISHA,"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",0,0,34,19,18,8,3,0,0,0,55,27,82
PUNJAB,"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",0,0,101,94,93,66,23,25,0,0,217,185,402
RAJASTHAN,"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",0,1,103,136,59,36,6,5,3,0,171,178,349
SIKKIM,"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",0,0,232,141,283,134,97,26,6,8,618,309,927
TRIPURA,"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",0,0,78,52,39,18,0,0,0,0,117,70,187
UTTARAKHAND,"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",0,0,22,14,20,3,2,0,0,0,44,17,61
WEST BENGAL,"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",0,4,117,67,171,51,33,12,0,0,321,134,455
TOTAL (STATES),"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",2,17,2431,1613,1986,1102,434,216,50,24,4903,2972,7875
A & N ISLANDS,"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",0,0,5,7,2,2,0,0,0,0,7,9,16
CHANDIGARH,"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",0,0,1,3,4,3,1,0,0,0,6,6,12
DAMAN & DIU,"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",0,0,10,12,0,1,1,0,0,0,11,13,24
DELHI,"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",0,0,9,63,8,23,1,0,0,0,18,86,104
LAKSHADWEEP,"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",0,0,12,2,5,0,2,0,0,0,19,2,21
TOTAL (UTs),"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",0,0,37,87,19,29,5,0,0,0,61,116,177
TOTAL (ALL-INDIA),"IMMORAL TRAFFIC (PREVENTION) ACT, 1956",2,17,2468,1700,2005,1131,439,216,50,24,4964,3088,8052
ANDHRA PRADESH,"INDIAN RAILWAYS ACT, 1989",0,0,15,0,8,0,10,0,0,0,33,0,33
ARUNACHAL PRADESH,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,2,0,0,0,0,0,2,0,2
BIHAR,"INDIAN RAILWAYS ACT, 1989",0,0,1,0,0,0,0,0,0,0,1,0,1
CHHATTISGARH,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,6,0,0,0,0,0,6,0,6
GOA,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,1,0,0,0,1,0,1
GUJARAT,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,"INDIAN RAILWAYS ACT, 1989",0,0,1,0,0,0,0,0,0,0,1,0,1
HIMACHAL PRADESH,"INDIAN RAILWAYS ACT, 1989",0,0,1,0,0,0,1,0,0,0,2,0,2
JAMMU & KASHMIR,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,"INDIAN RAILWAYS ACT, 1989",0,0,3,0,10,0,3,0,0,0,16,0,16
KERALA,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,4,0,1,0,0,0,5,0,5
MADHYA PRADESH,"INDIAN RAILWAYS ACT, 1989",4,0,4,0,3,0,0,0,0,0,11,0,11
MAHARASHTRA,"INDIAN RAILWAYS ACT, 1989",1,0,2,0,0,0,0,0,0,0,3,0,3
MANIPUR,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,"INDIAN RAILWAYS ACT, 1989",0,0,4,0,3,0,3,0,0,0,10,0,10
RAJASTHAN,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,"INDIAN RAILWAYS ACT, 1989",2,0,4,0,1,0,0,0,0,0,7,0,7
TRIPURA,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,"INDIAN RAILWAYS ACT, 1989",0,0,31,0,18,0,0,0,0,0,49,0,49
UTTARAKHAND,"INDIAN RAILWAYS ACT, 1989",0,0,1,0,2,0,0,0,0,0,3,0,3
WEST BENGAL,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,1,0,0,0,0,0,1,0,1
TOTAL (STATES),"INDIAN RAILWAYS ACT, 1989",7,0,67,0,58,0,19,0,0,0,151,0,151
A & N ISLANDS,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (ALL-INDIA),"INDIAN RAILWAYS ACT, 1989",7,0,67,0,58,0,19,0,0,0,151,0,151
ANDHRA PRADESH,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,14,0,5,0,0,0,0,0,19,0,19
ARUNACHAL PRADESH,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,0,0,1,0,0,0,0,0,1,0,1
ASSAM,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,4,0,19,0,6,0,0,0,29,0,29
BIHAR,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,0,0,0,0,1,0,0,0,1,0,1
CHHATTISGARH,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,16,4,17,1,4,1,0,0,37,6,43
GUJARAT,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,11,1,11,2,6,0,2,0,30,3,33
HARYANA,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,24,1,19,0,3,0,0,0,46,1,47
HIMACHAL PRADESH,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,1,0,3,0,2,0,0,0,6,0,6
JAMMU & KASHMIR,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,6,3,8,3,2,0,0,0,16,6,22
JHARKHAND,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,0,0,1,0,0,0,0,0,1,0,1
KARNATAKA,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,66,7,26,3,3,1,1,1,96,12,108
KERALA,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,28,0,7,1,5,0,0,1,40,2,42
MADHYA PRADESH,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,16,1,6,0,0,0,1,0,23,1,24
MANIPUR,"REGISTRATION OF FOREIGNERS ACT, 1930",1,0,38,0,20,0,2,0,0,0,61,0,61
MEGHALAYA,"REGISTRATION OF FOREIGNERS ACT, 1930",6,0,183,0,56,1,14,0,2,0,261,1,262
MIZORAM,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,15,1,15,2,10,0,0,0,40,3,43
NAGALAND,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,0,0,3,0,0,0,0,0,3,0,3
PUNJAB,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,0,0,1,0,0,0,0,0,1,0,1
RAJASTHAN,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,0,0,1,0,0,0,0,0,1,0,1
SIKKIM,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,1,0,0,0,1,1,0,0,2,1,3
TAMIL NADU,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,2,1,11,0,2,0,0,0,15,1,16
TRIPURA,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,1,0,0,0,0,0,0,0,1,0,1
UTTAR PRADESH,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,0,0,1,0,0,0,0,0,1,0,1
UTTARAKHAND,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,1,0,2,0,0,0,0,0,3,0,3
WEST BENGAL,"REGISTRATION OF FOREIGNERS ACT, 1930",24,5,648,55,511,51,196,22,3,1,1382,134,1516
TOTAL (STATES),"REGISTRATION OF FOREIGNERS ACT, 1930",31,5,1075,74,744,64,257,25,9,3,2116,171,2287
A & N ISLANDS,"REGISTRATION OF FOREIGNERS ACT, 1930",2,0,34,0,39,0,10,0,1,0,86,0,86
CHANDIGARH,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,0,0,0,1,0,0,0,0,0,1,1
D & N HAVELI,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,3,0,0,0,0,0,0,0,3,0,3
DELHI,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,9,2,17,2,3,0,0,0,29,4,33
LAKSHADWEEP,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,"REGISTRATION OF FOREIGNERS ACT, 1930",0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),"REGISTRATION OF FOREIGNERS ACT, 1930",2,0,46,2,56,3,13,0,1,0,118,5,123
TOTAL (ALL-INDIA),"REGISTRATION OF FOREIGNERS ACT, 1930",33,5,1121,76,800,67,270,25,10,3,2234,176,2410
ANDHRA PRADESH,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,9,0,2,0,0,0,1,0,12,0,12
ARUNACHAL PRADESH,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,1,0,0,0,0,0,0,0,1,0,1
GUJARAT,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,2,0,0,0,0,0,2,0,2
HARYANA,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,5,0,5,0,1,0,1,0,12,0,12
JAMMU & KASHMIR,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,1,0,1,0,0,0,2,0,2
JHARKHAND,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,8,0,20,3,11,1,0,0,39,4,43
KERALA,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,1,0,6,0,0,0,0,0,7,0,7
MANIPUR,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,10,0,0,0,1,0,0,0,11,0,11
TRIPURA,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,1,0,2,0,0,0,0,0,3,0,3
UTTARAKHAND,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (STATES),"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,35,0,38,3,14,1,2,0,89,4,93
A & N ISLANDS,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,5,0,7,0,3,0,1,0,16,0,16
TOTAL (UTs),"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,5,0,7,0,3,0,1,0,16,0,16
TOTAL (ALL-INDIA),"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,40,0,45,3,17,1,3,0,105,4,109
ANDHRA PRADESH,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,9,0,2,0,0,0,1,0,12,0,12
ARUNACHAL PRADESH,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,1,0,0,0,0,0,0,0,1,0,1
GUJARAT,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,2,0,0,0,0,0,2,0,2
HARYANA,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,5,0,5,0,1,0,1,0,12,0,12
JAMMU & KASHMIR,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,1,0,1,0,0,0,2,0,2
JHARKHAND,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,8,0,20,3,11,1,0,0,39,4,43
KERALA,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,1,0,6,0,0,0,0,0,7,0,7
MANIPUR,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,10,0,0,0,1,0,0,0,11,0,11
TRIPURA,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,1,0,2,0,0,0,0,0,3,0,3
UTTARAKHAND,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (STATES),"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,35,0,38,3,14,1,2,0,89,4,93
A & N ISLANDS,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,5,0,7,0,3,0,1,0,16,0,16
TOTAL (UTs),"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,5,0,7,0,3,0,1,0,16,0,16
TOTAL (ALL-INDIA),"PROTECTION OF CIVIL RIGHTS ACT,1955",0,0,40,0,45,3,17,1,3,0,105,4,109
ANDHRA PRADESH,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
KERALA,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (STATES),"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,"PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES",0,0,0,0,0,0,0,0,0,0,0,0,0
