states_uts,crime_head,year,18_and_above_and_below_30_years_male,18_and_above_and_below_30_years_female,18_and_above_and_below_30_years_total,30_and_above_and_below_45_years_male,30_and_above_and_below_45_years_female,30_and_above_and_below_45_years_total,45_and_above_and_below_60_years_male,45_and_above_and_below_60_years_female,45_and_above_and_below_60_years_total,60_years_and_above_male,60_years_and_above_female,60_years_and_above_total,total_male,total_female,total_persons_arrested_by_age_and_sex
Andhra Pradesh,"51 - Suppression of Unlawful Acts against Safety of Civil Aviation Act, 1982",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"52 - Safety of Maritime Navigation Act, 2002",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"53 - Manual Scavengers and Construction of Dry Latrines (P) Act, 1993",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"54 - Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act, 1994",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"55 - The Maritime Zones of India (Reg of Fishing by Foreign Vessels) Act, 1981",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,56 - Other SLL crimes,2014,707,28,735,1398,42,1440,433,7,440,78,0,78,2616,77,2693
Andhra Pradesh,57 - Total Cognizable SLL crimes,2014,17104,176,17280,14506,300,14806,6199,144,6343,469,12,481,38278,632,38910
Arunachal Pradesh,"1 - Arms Act, 1959",2014,19,0,19,9,0,9,1,0,1,0,0,0,29,0,29
Arunachal Pradesh,"2 - Narcotic Drugs & Psychotropic Substances Act, 1985",2014,68,9,77,32,6,38,1,0,1,1,1,2,102,16,118
Arunachal Pradesh,"3 - Gambling Act, 1867",2014,9,0,9,3,2,5,0,1,1,0,0,0,12,3,15
Arunachal Pradesh,"4 - Excise Act, 1944",2014,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
Arunachal Pradesh,5 - Prohibition Act,2014,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5
Arunachal Pradesh,6 - Explosives and Explosive Substances Act,2014,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
Arunachal Pradesh,"7 - Immoral Traffic (Prevention) Act, 1956",2014,1,5,6,0,1,1,1,0,1,0,0,0,2,6,8
Arunachal Pradesh,7.1 - Under Section 5,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,7.2 - Under Section 6,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,7.3 - Under Section 7,2014,1,5,6,0,1,1,1,0,1,0,0,0,2,6,8
Arunachal Pradesh,7.4 - Under Section 8,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,7.5 - Other Sections under ITP Act,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"8 - Indian Railways Act, 1989",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"9 - Registration of Foreigners Act, 1939",2014,9,0,9,3,0,3,0,0,0,0,0,0,12,0,12
Arunachal Pradesh,"10 - Protection of Civil Rights Act, 1955",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,10.1 - PCR Act for crimes committed against SCs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,10.2 - PCR Act for crimes committed against STs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,10.3 - PCR Act for crimes committed against Others,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"11 - Passport Act, 1967",2014,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Arunachal Pradesh,"12 - Essential Commodities Act, 1955",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"13 - Antiquities & Art Treasures Act, 1972",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
