area_name,year,sub_group_name,recidivism_new_delinquent,recidivism_old_delinquent,recidivism_total
Jharkhand,2010,4. Recidivism,98,6,104
Karnataka,2010,4. Recidivism,194,10,204
Kerala,2010,4. Recidivism,794,32,826
Lakshadweep,2010,4. Recidivism,0,0,0
Madhya Pradesh,2010,4. Recidivism,4849,1600,6449
Maharashtra,2010,4. Recidivism,6120,268,6388
Manipur,2010,4. Recidivism,0,0,0
Meghalaya,2010,4. Recidivism,106,12,118
Mizoram,2010,4. Recidivism,106,10,116
Nagaland,2010,4. Recidivism,53,0,53
Odisha,2010,4. Recidivism,536,8,544
Puducherry,2010,4. Recidivism,49,0,49
Punjab,2010,4. Recidivism,241,5,246
Rajasthan,2010,4. Recidivism,2174,204,2378
Sikkim,2010,4. Recidivism,78,4,82
Tamil Nadu,2010,4. Recidivism,1522,122,1644
Tripura,2010,4. Recidivism,46,0,46
Uttar Pradesh,2010,4. Recidivism,852,0,852
Uttarakhand,2010,4. Recidivism,154,0,154
West Bengal,2010,4. Recidivism,327,10,337
