area_name,year,group_name,sub_group_name,police_injured_by_criminals,police_injured_by_riotous_mobs,police_injured_in_accidents,police_injured_in_dacoity_operationsother_raids,police_injured_in_terroristsextremists_operations,police_injured_on_border_duties,police_injured_total_policemen,police_killed_by_criminals,police_killed_by_riotous_mobs,police_killed_in_accidents,police_killed_in_dacoity_operationsother_raids,police_killed_in_terroristsextremists_operations,police_killed_on_border_duties,police_killed_total_policemen
Bihar,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,2,0,0,1,0,3,2,0,0,0,2,0,4
Chandigarh,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,2,0,0,0,0,2,0,0,0,0,0,0,0
Chhattisgarh,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,1,0,1,1,0,1,0,1,0,3
Dadra & Nagar Haveli,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,3,3,1,0,0,7,0,0,1,0,0,0,1
Goa,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,5,0,0,0,0,5,0,0,12,1,0,0,13
Haryana,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,6,1,0,0,0,7,1,0,3,0,0,0,4
Himachal Pradesh,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,2,0,0,0,4,0,6,1,0,0,0,3,0,4
Jharkhand,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,2,17,1,0,0,0,20,1,0,1,0,0,0,2
Kerala,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,2,11,1,0,0,0,14,0,0,0,0,0,0,0
Lakshadweep,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,10,10,6,0,0,0,26,1,0,1,1,0,0,3
Maharashtra,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,4,15,9,2,0,0,30,0,0,8,0,0,0,8
Manipur,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,1,0,1,0,2
Meghalaya,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Mizoram,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,6,2,0,0,0,0,8,0,0,0,0,1,0,1
Puducherry,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,1,0,0,0,1,2,0,6,0,0,0,8
Rajasthan,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,2,0,0,0,2,1,0,3,0,0,0,4
