area_name,year,group_name,sub_group_name,police_injured_by_criminals,police_injured_by_riotous_mobs,police_injured_in_accidents,police_injured_in_dacoity_operationsother_raids,police_injured_in_terroristsextremists_operations,police_injured_on_border_duties,police_injured_total_policemen,police_killed_by_criminals,police_killed_by_riotous_mobs,police_killed_in_accidents,police_killed_in_dacoity_operationsother_raids,police_killed_in_terroristsextremists_operations,police_killed_on_border_duties,police_killed_total_policemen
Chhattisgarh,2005,Police - Constables,1. Constables,2,0,0,0,3,0,5,3,0,2,0,5,0,10
Dadra & Nagar Haveli,2005,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2005,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2005,Police - Constables,1. Constables,5,14,34,2,0,0,55,0,0,7,0,0,0,7
Goa,2005,Police - Constables,1. Constables,0,39,0,0,0,0,39,0,0,0,0,0,0,0
Gujarat,2005,Police - Constables,1. Constables,6,12,9,0,0,0,27,1,0,21,0,0,0,22
Haryana,2005,Police - Constables,1. Constables,8,0,10,0,0,0,18,5,0,28,0,0,0,33
Himachal Pradesh,2005,Police - Constables,1. Constables,26,3,0,1,0,0,30,0,0,1,0,0,0,1
Jammu & Kashmir,2005,Police - Constables,1. Constables,0,28,0,0,92,0,120,0,0,14,0,25,0,39
Jharkhand,2005,Police - Constables,1. Constables,1,5,2,0,9,0,17,0,0,0,0,8,0,8
Karnataka,2005,Police - Constables,1. Constables,12,82,6,0,1,1,102,0,0,10,0,0,1,11
Kerala,2005,Police - Constables,1. Constables,55,218,50,0,0,0,323,1,0,8,0,0,0,9
Lakshadweep,2005,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2005,Police - Constables,1. Constables,29,79,10,1,1,0,120,11,0,23,0,0,0,34
Maharashtra,2005,Police - Constables,1. Constables,28,125,66,16,12,3,250,0,0,46,0,18,0,64
Manipur,2005,Police - Constables,1. Constables,0,0,1,0,2,0,3,1,0,1,0,0,0,2
Meghalaya,2005,Police - Constables,1. Constables,0,46,0,0,0,0,46,1,1,0,0,0,0,2
Mizoram,2005,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2005,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2005,Police - Constables,1. Constables,1,2,0,0,9,1,13,0,2,3,0,1,0,6
Puducherry,2005,Police - Constables,1. Constables,3,2,11,0,0,0,16,0,0,0,0,0,0,0
Punjab,2005,Police - Constables,1. Constables,9,0,8,0,0,0,17,7,0,47,0,0,6,60
Rajasthan,2005,Police - Constables,1. Constables,26,58,21,0,0,0,105,8,0,19,0,0,0,27
Sikkim,2005,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Tamil Nadu,2005,Police - Constables,1. Constables,3,1,43,0,0,0,47,1,0,10,0,0,0,11
Tripura,2005,Police - Constables,1. Constables,0,0,3,0,5,0,8,0,0,2,0,5,0,7
Uttar Pradesh,2005,Police - Constables,1. Constables,35,10,41,5,1,0,92,9,0,80,4,0,2,95
Uttarakhand,2005,Police - Constables,1. Constables,0,0,7,0,0,0,7,3,0,11,0,0,0,14
West Bengal,2005,Police - Constables,1. Constables,9,141,52,7,14,0,223,1,2,11,0,0,0,14
Andaman & Nicobar Islands,2006,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2006,Police - Constables,1. Constables,7,48,101,1,4,0,161,0,0,29,0,4,0,33
Arunachal Pradesh,2006,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2006,Police - Constables,1. Constables,0,2,0,0,21,0,23,2,0,4,0,8,0,14
Bihar,2006,Police - Constables,1. Constables,5,12,5,1,2,0,25,1,1,5,1,0,0,8
Chandigarh,2006,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Chhattisgarh,2006,Police - Constables,1. Constables,0,0,2,2,18,0,22,4,0,6,0,10,3,23
Dadra & Nagar Haveli,2006,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2006,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2006,Police - Constables,1. Constables,2,51,12,0,0,0,65,0,0,23,0,0,0,23
Goa,2006,Police - Constables,1. Constables,1,8,2,0,0,0,11,0,0,0,0,0,0,0
Gujarat,2006,Police - Constables,1. Constables,4,18,9,2,1,0,34,0,0,18,0,0,0,18
Haryana,2006,Police - Constables,1. Constables,1,1,11,0,0,0,13,1,0,24,0,0,0,25
Himachal Pradesh,2006,Police - Constables,1. Constables,1,16,0,0,0,0,17,0,0,0,0,0,0,0
Jammu & Kashmir,2006,Police - Constables,1. Constables,0,28,10,0,101,0,139,0,0,6,0,33,0,39
Jharkhand,2006,Police - Constables,1. Constables,2,25,3,0,2,0,32,0,5,0,0,16,0,21
Karnataka,2006,Police - Constables,1. Constables,5,150,38,42,2,0,237,1,0,6,0,0,0,7
Kerala,2006,Police - Constables,1. Constables,46,76,22,2,1,0,147,0,0,1,0,0,0,1
Lakshadweep,2006,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2006,Police - Constables,1. Constables,46,27,12,0,0,2,87,11,0,10,0,0,0,21
Maharashtra,2006,Police - Constables,1. Constables,34,321,84,1,60,0,500,1,2,54,0,3,0,60
Manipur,2006,Police - Constables,1. Constables,0,0,0,0,5,0,5,0,0,0,0,5,0,5
Meghalaya,2006,Police - Constables,1. Constables,0,8,0,0,0,0,8,0,0,0,0,0,0,0
Mizoram,2006,Police - Constables,1. Constables,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Nagaland,2006,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2006,Police - Constables,1. Constables,11,27,2,0,13,0,53,0,0,3,0,2,0,5
Puducherry,2006,Police - Constables,1. Constables,4,0,0,0,0,0,4,0,0,0,0,0,0,0
Punjab,2006,Police - Constables,1. Constables,4,5,12,0,0,0,21,3,0,53,0,0,5,61
Rajasthan,2006,Police - Constables,1. Constables,14,90,20,0,0,0,124,2,0,32,1,0,0,35
Sikkim,2006,Police - Constables,1. Constables,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Tamil Nadu,2006,Police - Constables,1. Constables,0,1,148,0,0,0,149,2,0,14,0,0,0,16
Tripura,2006,Police - Constables,1. Constables,0,0,1,0,13,0,14,0,0,1,0,7,0,8
Uttar Pradesh,2006,Police - Constables,1. Constables,18,9,25,5,0,9,66,9,1,83,1,0,2,96
Uttarakhand,2006,Police - Constables,1. Constables,0,0,13,0,0,0,13,1,0,4,0,0,0,5
West Bengal,2006,Police - Constables,1. Constables,27,109,106,8,0,0,250,3,0,12,1,0,0,16
Andaman & Nicobar Islands,2007,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2007,Police - Constables,1. Constables,9,58,85,0,5,0,157,2,0,23,1,3,0,29
Arunachal Pradesh,2007,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2007,Police - Constables,1. Constables,4,0,2,0,0,0,6,4,0,1,0,15,0,20
Bihar,2007,Police - Constables,1. Constables,1,0,0,0,9,0,10,2,0,4,0,11,0,17
Chandigarh,2007,Police - Constables,1. Constables,21,13,6,0,0,0,40,0,0,0,0,0,0,0
Chhattisgarh,2007,Police - Constables,1. Constables,1,1,2,0,40,1,45,0,0,3,0,51,0,54
Dadra & Nagar Haveli,2007,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2007,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2007,Police - Constables,1. Constables,9,66,12,0,0,0,87,0,0,18,0,0,0,18
Goa,2007,Police - Constables,1. Constables,3,0,0,0,0,0,3,0,0,0,0,0,0,0
Gujarat,2007,Police - Constables,1. Constables,2,12,8,5,0,0,27,0,0,24,0,0,1,25
Haryana,2007,Police - Constables,1. Constables,3,2,3,0,0,0,8,0,0,20,0,0,0,20
Himachal Pradesh,2007,Police - Constables,1. Constables,0,1,5,0,0,0,6,0,0,6,0,0,0,6
Jammu & Kashmir,2007,Police - Constables,1. Constables,6,2,0,0,53,0,61,1,0,4,0,17,0,22
Jharkhand,2007,Police - Constables,1. Constables,0,4,2,0,3,0,9,0,0,3,0,3,0,6
Karnataka,2007,Police - Constables,1. Constables,14,33,15,3,0,0,65,1,0,11,0,0,0,12
Kerala,2007,Police - Constables,1. Constables,62,75,16,0,0,0,153,1,0,9,0,0,0,10
Lakshadweep,2007,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2007,Police - Constables,1. Constables,26,62,9,6,0,1,104,1,0,21,1,1,9,33
Maharashtra,2007,Police - Constables,1. Constables,42,190,86,34,24,0,376,0,0,38,1,3,0,42
Manipur,2007,Police - Constables,1. Constables,0,0,0,0,4,0,4,0,0,0,0,0,0,0
Meghalaya,2007,Police - Constables,1. Constables,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Mizoram,2007,Police - Constables,1. Constables,0,0,0,0,0,0,0,1,0,0,0,7,0,8
Nagaland,2007,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Odisha,2007,Police - Constables,1. Constables,6,31,0,2,0,0,39,0,0,1,0,0,0,1
Puducherry,2007,Police - Constables,1. Constables,15,0,0,0,0,0,15,0,0,0,0,0,0,0
Punjab,2007,Police - Constables,1. Constables,0,0,5,0,0,0,5,0,0,59,0,0,2,61
Rajasthan,2007,Police - Constables,1. Constables,44,199,15,0,0,0,258,7,3,23,0,0,0,33
Sikkim,2007,Police - Constables,1. Constables,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Tamil Nadu,2007,Police - Constables,1. Constables,2,20,56,0,0,0,78,0,0,15,0,0,0,15
Tripura,2007,Police - Constables,1. Constables,0,0,14,0,1,0,15,1,0,3,1,4,1,10
Uttar Pradesh,2007,Police - Constables,1. Constables,13,1,56,12,0,0,82,12,2,85,10,0,1,110
Uttarakhand,2007,Police - Constables,1. Constables,0,0,8,0,0,0,8,1,0,4,0,0,0,5
West Bengal,2007,Police - Constables,1. Constables,21,272,37,8,0,0,338,0,0,7,0,0,0,7
Andaman & Nicobar Islands,2008,Police - Constables,1. Constables,4,0,0,0,0,0,4,0,0,0,0,0,0,0
Andhra Pradesh,2008,Police - Constables,1. Constables,6,6,67,0,6,0,85,0,0,23,0,1,0,24
Arunachal Pradesh,2008,Police - Constables,1. Constables,0,4,0,0,0,0,4,0,0,0,0,0,0,0
Assam,2008,Police - Constables,1. Constables,1,0,0,0,0,0,1,2,0,1,0,0,0,3
Bihar,2008,Police - Constables,1. Constables,4,4,21,0,1,0,30,9,0,2,0,3,7,21
Chandigarh,2008,Police - Constables,1. Constables,8,3,3,0,0,0,14,0,0,0,0,0,0,0
Chhattisgarh,2008,Police - Constables,1. Constables,3,12,1,0,40,0,56,0,0,1,0,27,0,28
Dadra & Nagar Haveli,2008,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2008,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2008,Police - Constables,1. Constables,17,13,26,1,0,0,57,0,0,7,0,0,0,7
Goa,2008,Police - Constables,1. Constables,2,47,1,0,0,0,50,0,0,0,0,0,0,0
Gujarat,2008,Police - Constables,1. Constables,0,30,15,0,0,0,45,0,0,18,0,0,0,18
Haryana,2008,Police - Constables,1. Constables,0,10,1,0,0,1,12,0,0,24,0,0,0,24
Himachal Pradesh,2008,Police - Constables,1. Constables,1,0,6,0,0,0,7,0,0,0,0,0,0,0
Jammu & Kashmir,2008,Police - Constables,1. Constables,0,412,8,1,39,1,461,2,0,3,0,16,0,21
Jharkhand,2008,Police - Constables,1. Constables,0,0,6,0,2,0,8,1,0,12,0,19,0,32
Karnataka,2008,Police - Constables,1. Constables,10,45,20,0,0,0,75,1,0,12,0,0,0,13
Kerala,2008,Police - Constables,1. Constables,99,131,23,0,0,0,253,0,0,6,0,0,0,6
Lakshadweep,2008,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2008,Police - Constables,1. Constables,19,41,12,0,0,0,72,0,0,17,0,0,0,17
Maharashtra,2008,Police - Constables,1. Constables,43,322,79,62,23,4,533,2,0,27,0,12,0,41
Manipur,2008,Police - Constables,1. Constables,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Meghalaya,2008,Police - Constables,1. Constables,0,0,1,0,0,0,1,0,0,3,0,0,0,3
Mizoram,2008,Police - Constables,1. Constables,1,0,0,0,2,0,3,0,0,0,0,3,0,3
Nagaland,2008,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2008,Police - Constables,1. Constables,2,0,0,0,6,1,9,0,0,1,0,8,0,9
Puducherry,2008,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2008,Police - Constables,1. Constables,1,0,6,1,0,0,8,0,0,46,0,0,7,53
Rajasthan,2008,Police - Constables,1. Constables,35,152,17,0,1,0,205,5,1,19,0,0,0,25
Sikkim,2008,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2008,Police - Constables,1. Constables,8,20,46,0,0,0,74,0,0,11,0,0,0,11
Tripura,2008,Police - Constables,1. Constables,0,0,10,0,0,0,10,1,0,1,0,0,0,2
Uttar Pradesh,2008,Police - Constables,1. Constables,4,5,28,1,0,0,38,9,1,87,1,0,0,98
Uttarakhand,2008,Police - Constables,1. Constables,2,0,2,0,0,0,4,0,0,5,0,0,0,5
West Bengal,2008,Police - Constables,1. Constables,20,147,74,1,0,0,242,1,0,8,0,0,0,9
Andaman & Nicobar Islands,2009,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2009,Police - Constables,1. Constables,12,15,70,7,0,0,104,1,0,33,0,0,0,34
Arunachal Pradesh,2009,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2009,Police - Constables,1. Constables,7,12,1,0,1,0,21,1,0,1,0,1,0,3
Bihar,2009,Police - Constables,1. Constables,1,3,4,2,9,0,19,2,0,4,0,5,0,11
Chandigarh,2009,Police - Constables,1. Constables,0,30,3,0,0,0,33,0,0,1,0,0,0,1
Chhattisgarh,2009,Police - Constables,1. Constables,15,19,5,0,58,3,100,4,0,6,0,71,1,82
Dadra & Nagar Haveli,2009,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2009,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2009,Police - Constables,1. Constables,10,54,11,5,0,0,80,1,0,5,0,0,0,6
Goa,2009,Police - Constables,1. Constables,0,2,1,0,0,0,3,0,0,1,0,0,0,1
Gujarat,2009,Police - Constables,1. Constables,5,30,15,0,0,0,50,0,0,12,1,0,5,18
Haryana,2009,Police - Constables,1. Constables,0,13,0,0,0,0,13,0,4,23,0,0,1,28
Himachal Pradesh,2009,Police - Constables,1. Constables,2,0,5,0,0,0,7,0,0,0,0,0,0,0
Jammu & Kashmir,2009,Police - Constables,1. Constables,14,194,4,0,15,0,227,3,0,2,0,6,0,11
Jharkhand,2009,Police - Constables,1. Constables,0,1,2,0,0,0,3,1,0,11,0,29,0,41
Karnataka,2009,Police - Constables,1. Constables,78,68,29,19,5,72,271,2,0,9,0,0,0,11
Kerala,2009,Police - Constables,1. Constables,125,110,44,0,0,0,279,1,0,8,0,0,0,9
Lakshadweep,2009,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2009,Police - Constables,1. Constables,32,56,10,10,0,18,126,3,0,14,0,0,0,17
Maharashtra,2009,Police - Constables,1. Constables,66,210,93,7,13,0,389,4,0,48,1,43,0,96
Manipur,2009,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Meghalaya,2009,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2009,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2009,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2009,Police - Constables,1. Constables,3,28,0,6,34,0,71,0,0,1,0,19,0,20
Puducherry,2009,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2009,Police - Constables,1. Constables,1,20,1,0,0,0,22,6,0,21,0,0,0,27
Rajasthan,2009,Police - Constables,1. Constables,190,42,6,0,0,0,238,2,0,29,0,0,0,31
Sikkim,2009,Police - Constables,1. Constables,0,0,0,0,0,0,0,1,0,1,0,0,0,2
Tamil Nadu,2009,Police - Constables,1. Constables,4,8,41,2,0,0,55,1,0,16,0,0,0,17
Tripura,2009,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Uttar Pradesh,2009,Police - Constables,1. Constables,16,22,18,14,0,0,70,4,0,77,5,0,5,91
Uttarakhand,2009,Police - Constables,1. Constables,0,10,7,0,0,0,17,0,0,12,0,0,0,12
West Bengal,2009,Police - Constables,1. Constables,2,154,126,0,29,0,311,1,0,10,0,4,0,15
Andaman & Nicobar Islands,2010,Police - Constables,1. Constables,3,0,0,0,0,0,3,0,0,1,0,0,0,1
Andhra Pradesh,2010,Police - Constables,1. Constables,11,58,57,2,3,0,131,3,0,27,0,0,0,30
Arunachal Pradesh,2010,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2010,Police - Constables,1. Constables,5,4,0,0,2,0,11,0,9,0,0,4,0,13
Bihar,2010,Police - Constables,1. Constables,0,4,4,0,0,0,8,0,0,2,0,5,0,7
Chandigarh,2010,Police - Constables,1. Constables,4,21,2,0,0,0,27,0,0,0,0,0,0,0
Chhattisgarh,2010,Police - Constables,1. Constables,2,0,3,0,15,0,20,0,0,9,0,47,0,56
Dadra & Nagar Haveli,2010,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2010,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2010,Police - Constables,1. Constables,15,35,12,2,0,0,64,2,0,3,0,0,0,5
Goa,2010,Police - Constables,1. Constables,1,1,1,0,0,0,3,0,0,0,0,0,0,0
Gujarat,2010,Police - Constables,1. Constables,4,30,13,0,0,0,47,0,0,21,0,0,0,21
Haryana,2010,Police - Constables,1. Constables,1,0,1,0,0,0,2,0,0,9,0,0,0,9
Himachal Pradesh,2010,Police - Constables,1. Constables,0,1,0,0,0,0,1,0,0,4,0,0,0,4
Jammu & Kashmir,2010,Police - Constables,1. Constables,1,2239,5,0,12,0,2257,0,1,2,0,11,0,14
Jharkhand,2010,Police - Constables,1. Constables,0,2,5,0,12,0,19,2,0,17,0,13,0,32
Karnataka,2010,Police - Constables,1. Constables,12,19,26,4,1,4,66,0,0,13,1,0,0,14
Kerala,2010,Police - Constables,1. Constables,153,83,30,0,0,0,266,0,0,3,0,0,0,3
Lakshadweep,2010,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2010,Police - Constables,1. Constables,27,8,17,0,0,0,52,1,0,22,1,0,0,24
Maharashtra,2010,Police - Constables,1. Constables,53,170,70,3,17,0,313,3,1,31,0,6,0,41
Manipur,2010,Police - Constables,1. Constables,0,2,0,0,0,0,2,0,0,1,0,0,0,1
Meghalaya,2010,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2010,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2010,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2010,Police - Constables,1. Constables,3,12,1,3,1,1,21,0,0,3,0,8,0,11
Puducherry,2010,Police - Constables,1. Constables,7,0,1,0,0,0,8,0,0,0,0,0,0,0
Punjab,2010,Police - Constables,1. Constables,0,0,2,0,2,0,4,0,0,65,0,2,0,67
Rajasthan,2010,Police - Constables,1. Constables,264,64,0,0,0,0,328,9,0,21,0,0,0,30
Sikkim,2010,Police - Constables,1. Constables,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Tamil Nadu,2010,Police - Constables,1. Constables,0,9,71,2,0,0,82,0,0,23,0,0,0,23
Tripura,2010,Police - Constables,1. Constables,0,0,0,0,1,0,1,0,0,0,0,0,2,2
Uttar Pradesh,2010,Police - Constables,1. Constables,2,7,6,4,0,7,26,0,1,82,0,0,1,84
Uttarakhand,2010,Police - Constables,1. Constables,0,0,1,0,0,0,1,0,0,1,0,0,0,1
West Bengal,2010,Police - Constables,1. Constables,9,157,50,16,20,0,252,1,0,14,0,1,0,16
Andaman & Nicobar Islands,2001,Police - Head Constables,2. Head Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,Police - Head Constables,2. Head Constables,0,26,7,6,10,0,49,0,0,6,0,5,0,11
Arunachal Pradesh,2001,Police - Head Constables,2. Head Constables,0,3,0,0,0,0,3,0,0,1,0,0,0,1
Assam,2001,Police - Head Constables,2. Head Constables,0,1,0,1,5,0,7,0,0,0,2,0,0,2
Bihar,2001,Police - Head Constables,2. Head Constables,0,0,0,0,12,0,12,0,0,0,0,4,0,4
Chandigarh,2001,Police - Head Constables,2. Head Constables,0,0,3,0,0,0,3,0,0,1,0,0,0,1
Chhattisgarh,2001,Police - Head Constables,2. Head Constables,0,0,0,0,2,0,2,0,0,5,0,0,0,5
Dadra & Nagar Haveli,2001,Police - Head Constables,2. Head Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2001,Police - Head Constables,2. Head Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2001,Police - Head Constables,2. Head Constables,17,12,6,1,2,0,38,0,0,15,0,3,0,18
Goa,2001,Police - Head Constables,2. Head Constables,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Gujarat,2001,Police - Head Constables,2. Head Constables,3,5,9,0,0,0,17,3,0,6,0,0,0,9
Haryana,2001,Police - Head Constables,2. Head Constables,0,4,2,0,0,0,6,0,0,3,0,0,0,3
Himachal Pradesh,2001,Police - Head Constables,2. Head Constables,0,9,0,0,0,0,9,0,0,1,0,0,0,1
Jammu & Kashmir,2001,Police - Head Constables,2. Head Constables,3,4,0,0,23,0,30,0,0,1,0,13,0,14
Jharkhand,2001,Police - Head Constables,2. Head Constables,0,0,0,0,2,0,2,2,0,2,0,0,0,4
Karnataka,2001,Police - Head Constables,2. Head Constables,2,38,7,0,0,1,48,0,0,5,0,0,0,5
Kerala,2001,Police - Head Constables,2. Head Constables,11,34,7,0,0,0,52,0,0,1,0,0,0,1
Lakshadweep,2001,Police - Head Constables,2. Head Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2001,Police - Head Constables,2. Head Constables,11,14,5,0,0,0,30,0,0,2,0,0,0,2
Maharashtra,2001,Police - Head Constables,2. Head Constables,6,68,18,12,0,0,104,1,1,15,0,0,0,17
Manipur,2001,Police - Head Constables,2. Head Constables,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Meghalaya,2001,Police - Head Constables,2. Head Constables,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Mizoram,2001,Police - Head Constables,2. Head Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2001,Police - Head Constables,2. Head Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2001,Police - Head Constables,2. Head Constables,9,1,2,0,2,0,14,0,0,1,0,1,0,2
Puducherry,2001,Police - Head Constables,2. Head Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2001,Police - Head Constables,2. Head Constables,0,0,2,0,0,0,2,4,0,18,0,0,0,22
Rajasthan,2001,Police - Head Constables,2. Head Constables,4,17,3,1,0,0,25,0,0,4,0,0,0,4
Sikkim,2001,Police - Head Constables,2. Head Constables,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Tamil Nadu,2001,Police - Head Constables,2. Head Constables,10,25,47,9,0,0,91,0,0,21,0,0,0,21
Tripura,2001,Police - Head Constables,2. Head Constables,0,0,2,0,5,0,7,0,0,1,0,4,0,5
Uttar Pradesh,2001,Police - Head Constables,2. Head Constables,6,3,3,1,1,0,14,2,0,2,0,0,0,4
Uttarakhand,2001,Police - Head Constables,2. Head Constables,0,1,0,0,0,0,1,0,0,0,0,0,0,0
West Bengal,2001,Police - Head Constables,2. Head Constables,2,5,8,2,0,0,17,0,0,1,0,0,0,1
Andaman & Nicobar Islands,2002,Police - Head Constables,2. Head Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2002,Police - Head Constables,2. Head Constables,3,12,10,0,6,0,31,0,0,8,0,1,0,9
Arunachal Pradesh,2002,Police - Head Constables,2. Head Constables,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Assam,2002,Police - Head Constables,2. Head Constables,0,0,0,0,1,2,3,0,0,0,0,1,1,2
Bihar,2002,Police - Head Constables,2. Head Constables,1,3,0,1,0,0,5,1,0,1,0,0,0,2
Chandigarh,2002,Police - Head Constables,2. Head Constables,0,2,2,0,0,0,4,0,0,0,0,0,0,0
Chhattisgarh,2002,Police - Head Constables,2. Head Constables,0,0,1,2,2,0,5,2,0,0,1,2,0,5
Dadra & Nagar Haveli,2002,Police - Head Constables,2. Head Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2002,Police - Head Constables,2. Head Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2002,Police - Head Constables,2. Head Constables,0,7,5,2,0,0,14,1,0,3,0,0,0,4
Goa,2002,Police - Head Constables,2. Head Constables,0,0,2,0,0,0,2,0,0,0,0,0,0,0
Gujarat,2002,Police - Head Constables,2. Head Constables,6,50,4,2,4,0,66,1,1,8,0,0,0,10
Haryana,2002,Police - Head Constables,2. Head Constables,0,10,2,0,0,0,12,0,1,6,0,0,1,8
Himachal Pradesh,2002,Police - Head Constables,2. Head Constables,0,0,2,0,0,0,2,0,0,0,0,0,0,0
Jammu & Kashmir,2002,Police - Head Constables,2. Head Constables,2,0,0,0,15,0,17,0,0,1,0,9,0,10
Jharkhand,2002,Police - Head Constables,2. Head Constables,0,0,0,0,4,0,4,0,0,0,0,5,0,5
Karnataka,2002,Police - Head Constables,2. Head Constables,1,54,7,0,0,0,62,2,0,3,0,0,0,5
Kerala,2002,Police - Head Constables,2. Head Constables,14,57,4,0,0,0,75,0,0,0,0,0,0,0
Lakshadweep,2002,Police - Head Constables,2. Head Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2002,Police - Head Constables,2. Head Constables,38,11,8,1,0,0,58,3,0,8,0,0,0,11
Maharashtra,2002,Police - Head Constables,2. Head Constables,6,36,19,6,1,0,68,0,0,7,0,1,0,8
Manipur,2002,Police - Head Constables,2. Head Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2002,Police - Head Constables,2. Head Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2002,Police - Head Constables,2. Head Constables,0,0,0,0,0,0,0,0,0,0,0,0,0,0
