area_name,year,aca01_no_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,aca02_no_of_persons_arrested_during_the_year,aca04_no_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,aca05_no_of_persons_in_whose_cases_charge_sheets_were_laid_during_the_year,aca06_no_of_persons_under_trial_at_the_beginning_of_the_year,aca07_total_no_of_persons_under_trial_during_the_year,aca08_no_of_persons_whose_cases_were_withdrawn_or_otherwise_disposed_off_during_the_year,aca09_no_of_persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,aca10_no_of_persons_in_whose_cases_trials_were_completed_during_the_year,aca11_no_of_persons_convicted_during_the_year,aca12_no_of_persons_acquitted_during_the_year,aca13_percentage_of_persons_convicted_to_total_persons_in_whose_cases_trials_were_completed_during_the_year,aca14_no_of_persons_involved_in_the_cases_reported_for_regular_departmental_action_during_the_year,aca15_no_of_persons_involved_in_the_cases_reported_for_suitable_action_during_the_year,aca16_no_of_persons_punished_departmentally_during_the_year,aca161_no_of_persons_dismissed_from_service_during_the_year,aca162_no_of_persons_removed_from_service_during_the_year,aca163_no_of_persons_awarded_other_major_punishments_during_the_year,aca164_no_of_persons_awarded_minor_punishments_during_the_year,aca171_no_of_group_a_officers_out_of_above,aca172_no_of_group_b_officers_out_of_above,aca19_no_of_private_persons_involved_during_the_year
Uttarakhand,2007,27.0000,5.0000,19.0000,13.0000,18.0000,31.0000,0.0000,30.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Sikkim,2001,4.0000,4.0000,4.0000,3.0000,6.0000,9.0000,0.0000,3.0000,6.0000,3.0000,3.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Uttarakhand,2001,5.0000,4.0000,5.0000,4.0000,8.0000,12.0000,3.0000,8.0000,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
West Bengal,2001,33.0000,4.0000,33.0000,4.0000,53.0000,57.0000,0.0000,56.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000
Manipur,2007,8.0000,4.0000,8.0000,4.0000,35.0000,39.0000,0.0000,39.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.0000,0.0000
West Bengal,2007,2.0000,4.0000,3.0000,1.0000,36.0000,37.0000,0.0000,9.0000,28.0000,0.0000,28.0000,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Uttarakhand,2008,19.0000,4.0000,20.0000,3.0000,30.0000,33.0000,0.0000,32.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Assam,2001,27.0000,3.0000,5.0000,25.0000,27.0000,52.0000,1.0000,50.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,0.0000
Tripura,2001,0.0000,3.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Manipur,2002,3.0000,3.0000,3.0000,3.0000,18.0000,21.0000,0.0000,21.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,3.0000,4.0000
Sikkim,2002,4.0000,3.0000,7.0000,0.0000,7.0000,7.0000,0.0000,3.0000,4.0000,3.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000
Chandigarh,2003,37.0000,3.0000,37.0000,3.0000,70.0000,75.0000,0.0000,74.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,5.0000
Goa,2003,7.0000,3.0000,4.0000,5.0000,33.0000,38.0000,1.0000,34.0000,3.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Manipur,2003,3.0000,3.0000,3.0000,3.0000,21.0000,24.0000,0.0000,24.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,1.0000,0.0000
Tripura,2004,1.0000,3.0000,4.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mizoram,2006,3.0000,3.0000,3.0000,2.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,2.0000
Nagaland,2006,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Arunachal Pradesh,2009,0.0000,3.0000,1.0000,2.0000,0.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Uttarakhand,2009,20.0000,3.0000,16.0000,7.0000,32.0000,39.0000,0.0000,38.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Andaman & Nicobar Islands,2010,14.0000,3.0000,3.0000,8.0000,14.0000,22.0000,0.0000,22.0000,0.0000,0.0000,0.0000,0.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Goa,2002,17.0000,2.0000,7.0000,12.0000,27.0000,39.0000,1.0000,33.0000,5.0000,0.0000,5.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
Andaman & Nicobar Islands,2004,3.0000,2.0000,5.0000,0.0000,3.0000,3.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
Meghalaya,2005,0.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Goa,2006,4.0000,2.0000,6.0000,0.0000,31.0000,31.0000,0.0000,29.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Puducherry,2006,12.0000,2.0000,10.0000,3.0000,25.0000,28.0000,0.0000,24.0000,4.0000,1.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000
Tripura,2006,5.0000,2.0000,4.0000,3.0000,1.0000,4.0000,0.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Meghalaya,2007,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,3.0000
Andaman & Nicobar Islands,2008,12.0000,2.0000,12.0000,2.0000,10.0000,12.0000,0.0000,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Goa,2008,7.0000,2.0000,4.0000,5.0000,23.0000,28.0000,0.0000,27.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
Puducherry,2008,28.0000,2.0000,7.0000,21.0000,18.0000,39.0000,0.0000,39.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
