area_name,year,aca01_no_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,aca02_no_of_persons_arrested_during_the_year,aca04_no_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,aca05_no_of_persons_in_whose_cases_charge_sheets_were_laid_during_the_year,aca06_no_of_persons_under_trial_at_the_beginning_of_the_year,aca07_total_no_of_persons_under_trial_during_the_year,aca08_no_of_persons_whose_cases_were_withdrawn_or_otherwise_disposed_off_during_the_year,aca09_no_of_persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,aca10_no_of_persons_in_whose_cases_trials_were_completed_during_the_year,aca11_no_of_persons_convicted_during_the_year,aca12_no_of_persons_acquitted_during_the_year,aca13_percentage_of_persons_convicted_to_total_persons_in_whose_cases_trials_were_completed_during_the_year,aca14_no_of_persons_involved_in_the_cases_reported_for_regular_departmental_action_during_the_year,aca15_no_of_persons_involved_in_the_cases_reported_for_suitable_action_during_the_year,aca16_no_of_persons_punished_departmentally_during_the_year,aca161_no_of_persons_dismissed_from_service_during_the_year,aca162_no_of_persons_removed_from_service_during_the_year,aca163_no_of_persons_awarded_other_major_punishments_during_the_year,aca164_no_of_persons_awarded_minor_punishments_during_the_year,aca171_no_of_group_a_officers_out_of_above,aca172_no_of_group_b_officers_out_of_above,aca19_no_of_private_persons_involved_during_the_year
Punjab,2007,330.0000,296.0000,212.0000,329.0000,1393.0000,1722.0000,49.0000,1450.0000,223.0000,70.0000,153.0000,0.0000,0.0000,3.0000,0.0000,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.0000
Tamil Nadu,2010,258.0000,296.0000,173.0000,322.0000,1389.0000,1711.0000,38.0000,1418.0000,255.0000,31.0000,224.0000,0.0000,187.0000,206.0000,97.0000,12.0000,4.0000,29.0000,52.0000,5.0000,226.0000,90.0000
Gujarat,2008,120.0000,295.0000,115.0000,140.0000,1028.0000,1168.0000,40.0000,928.0000,200.0000,70.0000,130.0000,0.0000,15.0000,24.0000,6.0000,1.0000,1.0000,0.0000,4.0000,4.0000,36.0000,29.0000
Andhra Pradesh,2007,533.0000,292.0000,629.0000,196.0000,1200.0000,1396.0000,7.0000,1091.0000,298.0000,188.0000,110.0000,0.0000,90.0000,0.0000,0.0000,14.0000,2.0000,45.0000,2.0000,0.0000,0.0000,5.0000
Punjab,2008,212.0000,290.0000,195.0000,237.0000,1450.0000,1687.0000,20.0000,1421.0000,246.0000,80.0000,166.0000,0.0000,0.0000,17.0000,0.0000,23.0000,0.0000,0.0000,0.0000,0.0000,0.0000,106.0000
Andhra Pradesh,2006,498.0000,285.0000,533.0000,250.0000,1218.0000,1468.0000,2.0000,1200.0000,266.0000,149.0000,117.0000,0.0000,15.0000,0.0000,84.0000,65.0000,2.0000,8.0000,9.0000,0.0000,0.0000,4.0000
Haryana,2007,989.0000,285.0000,940.0000,307.0000,2655.0000,2962.0000,26.0000,2532.0000,404.0000,42.0000,362.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,17.0000,32.0000
Karnataka,2007,250.0000,284.0000,181.0000,252.0000,848.0000,1100.0000,56.0000,873.0000,171.0000,35.0000,136.0000,0.0000,1.0000,20.0000,0.0000,0.0000,1.0000,0.0000,0.0000,31.0000,58.0000,14.0000
Gujarat,2001,27.0000,281.0000,44.0000,262.0000,1903.0000,2165.0000,2.0000,1998.0000,165.0000,24.0000,141.0000,0.0000,9.0000,0.0000,2.0000,0.0000,0.0000,0.0000,2.0000,35.0000,6.0000,18.0000
Gujarat,2009,115.0000,276.0000,144.0000,247.0000,928.0000,1175.0000,9.0000,959.0000,207.0000,66.0000,141.0000,0.0000,9.0000,36.0000,16.0000,5.0000,6.0000,0.0000,5.0000,11.0000,38.0000,21.0000
Odisha,2003,65.0000,261.0000,104.0000,210.0000,1953.0000,2163.0000,18.0000,2081.0000,64.0000,14.0000,50.0000,0.0000,0.0000,153.0000,0.0000,0.0000,77.0000,77.0000,35.0000,207.0000,89.0000,141.0000
Haryana,2004,1099.0000,259.0000,1059.0000,272.0000,2546.0000,2818.0000,2.0000,2580.0000,236.0000,51.0000,185.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,23.0000,130.0000
Tamil Nadu,2003,525.0000,252.0000,586.0000,191.0000,358.0000,549.0000,0.0000,510.0000,39.0000,23.0000,16.0000,0.0000,27.0000,0.0000,0.0000,9.0000,1.0000,22.0000,6.0000,5.0000,84.0000,15.0000
Rajasthan,2006,436.0000,251.0000,390.0000,297.0000,2482.0000,3599.0000,0.0000,3144.0000,455.0000,97.0000,358.0000,0.0000,134.0000,134.0000,42.0000,0.0000,2.0000,26.0000,14.0000,0.0000,0.0000,0.0000
Tamil Nadu,2002,448.0000,249.0000,525.0000,172.0000,274.0000,446.0000,1.0000,358.0000,87.0000,72.0000,15.0000,0.0000,3.0000,0.0000,7.0000,5.0000,100.0000,6.0000,0.0000,5.0000,69.0000,14.0000
Gujarat,2004,125.0000,247.0000,125.0000,247.0000,1998.0000,2245.0000,18.0000,1915.0000,312.0000,100.0000,212.0000,0.0000,1.0000,0.0000,9.0000,4.0000,1.0000,4.0000,0.0000,28.0000,13.0000,34.0000
Andhra Pradesh,2010,895.0000,245.0000,873.0000,267.0000,1025.0000,1292.0000,28.0000,1072.0000,192.0000,109.0000,83.0000,0.0000,11.0000,0.0000,77.0000,5.0000,3.0000,38.0000,31.0000,0.0000,0.0000,28.0000
Andhra Pradesh,2004,402.0000,240.0000,443.0000,199.0000,1039.0000,1238.0000,0.0000,1138.0000,100.0000,49.0000,51.0000,0.0000,35.0000,1.0000,0.0000,26.0000,0.0000,0.0000,15.0000,0.0000,0.0000,5.0000
Odisha,2001,78.0000,239.0000,75.0000,151.0000,1708.0000,1859.0000,7.0000,1789.0000,63.0000,10.0000,53.0000,0.0000,208.0000,5.0000,13.0000,0.0000,0.0000,9.0000,4.0000,77.0000,71.0000,46.0000
Gujarat,2005,125.0000,239.0000,125.0000,239.0000,1915.0000,2154.0000,5.0000,1694.0000,455.0000,122.0000,333.0000,0.0000,0.0000,0.0000,2.0000,2.0000,0.0000,0.0000,0.0000,21.0000,37.0000,32.0000
Odisha,2007,35.0000,239.0000,26.0000,232.0000,2549.0000,2781.0000,16.0000,2641.0000,124.0000,46.0000,78.0000,0.0000,62.0000,27.0000,0.0000,1.0000,2.0000,3.0000,4.0000,93.0000,90.0000,193.0000
Himachal Pradesh,2009,206.0000,239.0000,272.0000,170.0000,526.0000,701.0000,2.0000,524.0000,175.0000,14.0000,161.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,8.0000,96.0000
Odisha,2006,74.0000,238.0000,35.0000,238.0000,2514.0000,2752.0000,6.0000,2549.0000,197.0000,55.0000,142.0000,0.0000,178.0000,15.0000,10.0000,0.0000,0.0000,8.0000,2.0000,55.0000,40.0000,93.0000
Haryana,2005,1059.0000,236.0000,1014.0000,239.0000,2580.0000,2819.0000,5.0000,2525.0000,289.0000,80.0000,209.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,26.0000,106.0000
Haryana,2009,1020.0000,233.0000,968.0000,184.0000,2522.0000,2559.0000,15.0000,2219.0000,420.0000,104.0000,316.0000,0.0000,0.0000,0.0000,16.0000,16.0000,0.0000,0.0000,0.0000,5.0000,10.0000,40.0000
Gujarat,2006,125.0000,229.0000,125.0000,229.0000,1694.0000,1923.0000,8.0000,1492.0000,423.0000,130.0000,293.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.0000
Gujarat,2002,44.0000,228.0000,108.0000,160.0000,1998.0000,2158.0000,16.0000,1988.0000,154.0000,39.0000,115.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.0000,5.0000,179.0000
Rajasthan,2009,335.0000,228.0000,381.0000,432.0000,3663.0000,4095.0000,0.0000,4019.0000,76.0000,23.0000,53.0000,0.0000,179.0000,70.0000,73.0000,0.0000,0.0000,11.0000,15.0000,34.0000,39.0000,0.0000
Bihar,2008,20.0000,227.0000,31.0000,216.0000,959.0000,1175.0000,0.0000,1166.0000,9.0000,8.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,56.0000,25.0000
Rajasthan,2008,377.0000,227.0000,335.0000,635.0000,3231.0000,3866.0000,0.0000,3663.0000,203.0000,72.0000,131.0000,0.0000,158.0000,158.0000,0.0000,1.0000,5.0000,14.0000,0.0000,0.0000,28.0000,0.0000
Madhya Pradesh,2002,693.0000,226.0000,0.0000,251.0000,997.0000,1248.0000,6.0000,1058.0000,190.0000,74.0000,95.0000,0.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,31.0000,67.0000,24.0000
Gujarat,2007,125.0000,225.0000,120.0000,120.0000,1492.0000,1612.0000,90.0000,1028.0000,494.0000,167.0000,327.0000,87.0000,5.0000,9.0000,4.0000,0.0000,0.0000,0.0000,4.0000,27.0000,11.0000,19.0000
Rajasthan,2010,381.0000,225.0000,366.0000,454.0000,4019.0000,4473.0000,9.0000,4338.0000,135.0000,14.0000,121.0000,0.0000,183.0000,69.0000,12.0000,0.0000,0.0000,7.0000,5.0000,80.0000,46.0000,0.0000
Tamil Nadu,2005,583.0000,224.0000,733.0000,74.0000,609.0000,683.0000,2.0000,627.0000,54.0000,27.0000,27.0000,0.0000,28.0000,1.0000,0.0000,5.0000,1.0000,17.0000,0.0000,5.0000,65.0000,13.0000
Rajasthan,2007,390.0000,223.0000,377.0000,548.0000,2827.0000,3692.0000,0.0000,3231.0000,461.0000,169.0000,292.0000,0.0000,292.0000,292.0000,32.0000,0.0000,0.0000,13.0000,19.0000,7.0000,0.0000,0.0000
Tamil Nadu,2007,811.0000,223.0000,142.0000,784.0000,642.0000,1426.0000,46.0000,1292.0000,88.0000,43.0000,45.0000,0.0000,396.0000,171.0000,65.0000,13.0000,3.0000,24.0000,25.0000,12.0000,148.0000,131.0000
Odisha,2005,81.0000,219.0000,74.0000,219.0000,2379.0000,2598.0000,6.0000,2514.0000,78.0000,19.0000,59.0000,0.0000,111.0000,10.0000,23.0000,1.0000,1.0000,13.0000,8.0000,64.0000,161.0000,165.0000
Rajasthan,2001,196.0000,216.0000,118.0000,294.0000,2109.0000,2403.0000,0.0000,2058.0000,345.0000,77.0000,268.0000,0.0000,139.0000,139.0000,30.0000,1.0000,1.0000,4.0000,24.0000,0.0000,11.0000,0.0000
Rajasthan,2002,196.0000,216.0000,294.0000,463.0000,2109.0000,2572.0000,0.0000,2227.0000,345.0000,77.0000,268.0000,0.0000,139.0000,139.0000,30.0000,1.0000,1.0000,4.0000,24.0000,0.0000,11.0000,0.0000
Rajasthan,2003,387.0000,214.0000,420.0000,385.0000,2383.0000,2768.0000,0.0000,2421.0000,347.0000,106.0000,241.0000,0.0000,118.0000,118.0000,23.0000,0.0000,0.0000,0.0000,23.0000,0.0000,21.0000,0.0000
Rajasthan,2004,420.0000,213.0000,428.0000,516.0000,2491.0000,3007.0000,0.0000,2610.0000,397.0000,108.0000,289.0000,0.0000,61.0000,61.0000,0.0000,0.0000,0.0000,1.0000,5.0000,0.0000,5.0000,0.0000
Gujarat,2003,108.0000,212.0000,125.0000,195.0000,1988.0000,2183.0000,8.0000,1998.0000,177.0000,55.0000,122.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,4.0000,231.0000
Bihar,2009,31.0000,203.0000,42.0000,192.0000,1166.0000,1358.0000,0.0000,1353.0000,5.0000,3.0000,2.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,40.0000,21.0000
Karnataka,2001,473.0000,202.0000,425.0000,98.0000,1145.0000,1243.0000,7.0000,1062.0000,174.0000,15.0000,159.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.0000,32.0000,6.0000
Andhra Pradesh,2001,92.0000,201.0000,54.0000,156.0000,479.0000,635.0000,5.0000,586.0000,44.0000,22.0000,22.0000,0.0000,17.0000,0.0000,13.0000,0.0000,0.0000,0.0000,13.0000,0.0000,0.0000,5.0000
Haryana,2001,1805.0000,198.0000,906.0000,1090.0000,1235.0000,2325.0000,24.0000,2238.0000,63.0000,4.0000,59.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.0000,79.0000
Rajasthan,2005,428.0000,197.0000,436.0000,189.0000,2610.0000,2799.0000,0.0000,2482.0000,317.0000,96.0000,221.0000,0.0000,103.0000,103.0000,26.0000,0.0000,0.0000,1.0000,25.0000,0.0000,0.0000,0.0000
Himachal Pradesh,2010,272.0000,187.0000,263.0000,189.0000,524.0000,713.0000,4.0000,626.0000,83.0000,11.0000,72.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,83.0000
Punjab,2009,195.0000,182.0000,57.0000,265.0000,1421.0000,1686.0000,17.0000,1135.0000,534.0000,164.0000,370.0000,0.0000,3.0000,26.0000,0.0000,52.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.0000
Himachal Pradesh,2007,186.0000,177.0000,184.0000,119.0000,426.0000,545.0000,26.0000,417.0000,105.0000,1.0000,88.0000,0.0000,5.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,46.0000,105.0000
Karnataka,2002,425.0000,175.0000,221.0000,159.0000,1062.0000,1221.0000,32.0000,1967.0000,122.0000,9.0000,113.0000,0.0000,16.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.0000,107.0000,14.0000
Bihar,2010,42.0000,160.0000,65.0000,137.0000,1353.0000,1490.0000,3.0000,1475.0000,12.0000,10.0000,2.0000,90.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,42.0000,15.0000
Himachal Pradesh,2008,209.0000,153.0000,206.0000,115.0000,514.0000,629.0000,0.0000,526.0000,103.0000,12.0000,91.0000,0.0000,3.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.0000
Tamil Nadu,2004,586.0000,144.0000,583.0000,147.0000,510.0000,657.0000,3.0000,609.0000,42.0000,26.0000,16.0000,0.0000,24.0000,0.0000,5.0000,2.0000,19.0000,28.0000,0.0000,0.0000,41.0000,5.0000
Tamil Nadu,2006,733.0000,135.0000,811.0000,57.0000,627.0000,684.0000,1.0000,642.0000,41.0000,20.0000,21.0000,0.0000,3.0000,0.0000,20.0000,2.0000,1.0000,2.0000,15.0000,3.0000,38.0000,6.0000
Jammu & Kashmir,2001,204.0000,134.0000,259.0000,79.0000,2108.0000,2187.0000,4.0000,2146.0000,37.0000,6.0000,31.0000,14.6000,140.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.0000,9.0000
Jammu & Kashmir,2007,39.0000,131.0000,0.0000,160.0000,2086.0000,2246.0000,26.0000,2172.0000,48.0000,5.0000,43.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.0000,22.0000,18.0000
Jammu & Kashmir,2008,0.0000,131.0000,0.0000,131.0000,2172.0000,2303.0000,2.0000,2208.0000,93.0000,6.0000,87.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000
Jammu & Kashmir,2009,0.0000,131.0000,0.0000,131.0000,2172.0000,2303.0000,2.0000,2208.0000,93.0000,6.0000,87.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000
Uttar Pradesh,2007,152.0000,130.0000,168.0000,115.0000,476.0000,591.0000,0.0000,576.0000,15.0000,2.0000,13.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Tamil Nadu,2001,437.0000,129.0000,448.0000,118.0000,181.0000,299.0000,0.0000,274.0000,25.0000,13.0000,12.0000,0.0000,32.0000,0.0000,18.0000,2.0000,3.0000,4.0000,9.0000,1.0000,25.0000,3.0000
Madhya Pradesh,2004,476.0000,129.0000,0.0000,378.0000,811.0000,1189.0000,6.0000,102.0000,161.0000,72.0000,89.0000,45.0000,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0000,25.0000,10.0000
Bihar,2006,16.0000,129.0000,13.0000,132.0000,0.0000,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.0000,71.0000,48.0000
Delhi,2008,162.0000,121.0000,204.0000,79.0000,611.0000,690.0000,8.0000,595.0000,87.0000,61.0000,26.0000,0.0000,43.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,26.0000,23.0000
Delhi,2006,160.0000,116.0000,169.0000,107.0000,573.0000,680.0000,2.0000,628.0000,50.0000,37.0000,13.0000,0.0000,105.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,8.0000,26.0000
Haryana,2010,968.0000,114.0000,929.0000,119.0000,2219.0000,2338.0000,17.0000,1797.0000,524.0000,88.0000,436.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,18.0000,14.0000
Uttar Pradesh,2001,53.0000,108.0000,41.0000,119.0000,163.0000,282.0000,2.0000,277.0000,3.0000,0.0000,3.0000,0.0000,1.0000,5.0000,6.0000,0.0000,0.0000,6.0000,0.0000,3.0000,0.0000,20.0000
Delhi,2003,111.0000,106.0000,146.0000,71.0000,508.0000,579.0000,0.0000,539.0000,40.0000,9.0000,31.0000,0.0000,58.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,8.0000,13.0000
Delhi,2005,136.0000,102.0000,160.0000,78.0000,558.0000,636.0000,7.0000,573.0000,56.0000,22.0000,34.0000,0.0000,78.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,10.0000,9.0000
Delhi,2009,204.0000,95.0000,226.0000,73.0000,595.0000,668.0000,4.0000,572.0000,92.0000,50.0000,42.0000,0.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,18.0000,8.0000
Delhi,2002,103.0000,94.0000,111.0000,82.0000,477.0000,559.0000,4.0000,508.0000,47.0000,14.0000,33.0000,0.0000,112.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,2.0000,8.0000
Karnataka,2003,221.0000,93.0000,221.0000,43.0000,1967.0000,2010.0000,562.0000,1262.0000,186.0000,19.0000,167.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,112.0000,6.0000
Delhi,2001,144.0000,87.0000,103.0000,123.0000,443.0000,566.0000,12.0000,477.0000,77.0000,5.0000,72.0000,0.0000,78.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,11.0000
Jharkhand,2002,26.0000,84.0000,84.0000,72.0000,26.0000,108.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,78.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,9.0000,6.0000
Bihar,2004,14.0000,81.0000,12.0000,83.0000,1195.0000,1278.0000,0.0000,0.0000,11.0000,10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,25.0000,37.0000
Himachal Pradesh,2005,87.0000,81.0000,103.0000,51.0000,94.0000,145.0000,1.0000,113.0000,31.0000,9.0000,22.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,13.0000,12.0000
Himachal Pradesh,2006,103.0000,79.0000,112.0000,59.0000,113.0000,172.0000,8.0000,141.0000,23.0000,5.0000,18.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,2.0000,0.0000,1.0000,4.0000,7.0000
Uttar Pradesh,2006,135.0000,78.0000,152.0000,61.0000,436.0000,497.0000,0.0000,476.0000,21.0000,0.0000,21.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Karnataka,2004,221.0000,77.0000,142.0000,60.0000,1262.0000,1322.0000,14.0000,1043.0000,265.0000,41.0000,224.0000,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,26.0000,18.0000
Uttar Pradesh,2008,168.0000,76.0000,134.0000,110.0000,576.0000,686.0000,0.0000,666.0000,20.0000,3.0000,17.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Himachal Pradesh,2003,112.0000,70.0000,74.0000,55.0000,130.0000,185.0000,19.0000,123.0000,43.0000,8.0000,35.0000,0.0000,2.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,7.0000,19.0000
Nagaland,2009,17.0000,68.0000,68.0000,68.0000,17.0000,17.0000,1.0000,17.0000,14.0000,14.0000,2.0000,0.0000,2.0000,2.0000,0.0000,5.0000,0.0000,12.0000,3.0000,72.0000,3.0000,1.0000
Madhya Pradesh,2001,411.0000,66.0000,288.0000,189.0000,942.0000,1131.0000,17.0000,900.0000,214.0000,69.0000,145.0000,0.0000,4.0000,0.0000,4.0000,0.0000,0.0000,0.0000,4.0000,28.0000,97.0000,14.0000
Himachal Pradesh,2002,105.0000,66.0000,112.0000,41.0000,111.0000,213.0000,24.0000,130.0000,59.0000,9.0000,50.0000,0.0000,3.0000,19.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,18.0000,23.0000
Bihar,2005,12.0000,64.0000,16.0000,60.0000,0.0000,0.0000,2.0000,0.0000,5.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,28.0000,29.0000
Delhi,2007,169.0000,64.0000,162.0000,71.0000,628.0000,699.0000,2.0000,611.0000,86.0000,44.0000,42.0000,0.0000,53.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,1.0000,12.0000
Delhi,2004,146.0000,63.0000,136.0000,72.0000,539.0000,612.0000,5.0000,558.0000,49.0000,22.0000,27.0000,0.0000,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,9.0000
Chhattisgarh,2002,74.0000,62.0000,76.0000,60.0000,261.0000,321.0000,6.0000,210.0000,105.0000,49.0000,56.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,6.0000,0.0000
Chhattisgarh,2003,74.0000,62.0000,76.0000,60.0000,261.0000,321.0000,6.0000,210.0000,105.0000,49.0000,56.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,6.0000,0.0000
Bihar,2003,12.0000,61.0000,14.0000,59.0000,1136.0000,1195.0000,1.0000,1136.0000,6.0000,3.0000,2.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,18.0000,52.0000
Himachal Pradesh,2001,96.0000,58.0000,105.0000,35.0000,103.0000,138.0000,4.0000,111.0000,23.0000,4.0000,19.0000,0.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0000,31.0000,13.0000
Jammu & Kashmir,2010,0.0000,56.0000,53.0000,109.0000,2208.0000,2317.0000,3.0000,2279.0000,35.0000,4.0000,31.0000,0.0000,18.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000
Himachal Pradesh,2004,74.0000,55.0000,87.0000,42.0000,123.0000,152.0000,14.0000,94.0000,44.0000,20.0000,24.0000,0.0000,3.0000,19.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,2.0000,13.0000
Jammu & Kashmir,2005,59.0000,53.0000,53.0000,59.0000,2110.0000,2169.0000,10.0000,2117.0000,42.0000,7.0000,35.0000,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.0000,16.0000
Jharkhand,2010,52.0000,52.0000,77.0000,0.0000,0.0000,52.0000,0.0000,77.0000,0.0000,1.0000,1.0000,0.0000,311.0000,311.0000,12.0000,0.0000,0.0000,4.0000,8.0000,54.0000,86.0000,53.0000
Chhattisgarh,2006,54.0000,50.0000,70.0000,34.0000,215.0000,249.0000,0.0000,228.0000,21.0000,6.0000,15.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,4.0000
Chhattisgarh,2009,86.0000,50.0000,97.0000,34.0000,219.0000,253.0000,2.0000,230.0000,21.0000,3.0000,18.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,1.0000
Kerala,2001,185.0000,49.0000,0.0000,185.0000,453.0000,638.0000,0.0000,560.0000,78.0000,58.0000,20.0000,74.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,404.0000,476.0000
Sikkim,2008,45.0000,49.0000,88.0000,2.0000,45.0000,47.0000,4.0000,36.0000,7.0000,3.0000,4.0000,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,2.0000,18.0000
Chhattisgarh,2010,97.0000,49.0000,118.0000,28.0000,230.0000,258.0000,3.0000,246.0000,9.0000,4.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,4.0000
Uttar Pradesh,2004,214.0000,46.0000,159.0000,61.0000,366.0000,427.0000,2.0000,414.0000,11.0000,1.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,8.0000
Delhi,2010,226.0000,44.0000,251.0000,19.0000,572.0000,591.0000,10.0000,449.0000,132.0000,61.0000,71.0000,0.0000,34.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,4.0000,4.0000
Chandigarh,2001,9.0000,43.0000,35.0000,12.0000,60.0000,72.0000,0.0000,71.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,33.0000
Uttar Pradesh,2009,134.0000,43.0000,118.0000,59.0000,666.0000,725.0000,0.0000,714.0000,11.0000,4.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Madhya Pradesh,2005,148.0000,41.0000,189.0000,310.0000,762.0000,499.0000,8.0000,288.0000,203.0000,82.0000,98.0000,48.0000,12.0000,,13.0000,,,1.0000,12.0000,2.0000,11.0000,4.0000
Jammu & Kashmir,2003,111.0000,39.0000,63.0000,87.0000,2260.0000,2347.0000,13.0000,2264.0000,70.0000,5.0000,65.0000,0.0000,217.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.0000,8.0000
Chhattisgarh,2005,40.0000,39.0000,54.0000,25.0000,222.0000,247.0000,0.0000,215.0000,32.0000,15.0000,17.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,6.0000
Jammu & Kashmir,2006,53.0000,39.0000,39.0000,53.0000,2117.0000,2170.0000,1.0000,2086.0000,83.0000,8.0000,75.0000,0.0000,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000
